collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,30.9,0.841,243.6,420.7,0.901,0.826,242.5,420.7,0.849,243.7,421.9,0.014,0.0,244.9,100.0,10.25,15.0,30.690952,4.1046314,0.0
2025-05-09 06:05:00,512,31.0,0.734,242.9,419.6,-0.506,0.72,241.7,419.0,0.74,242.6,421.1,0.018,0.0,265.0,100.0,10.366667,19.666666,45.54299,4.0344195,0.0
2025-05-09 06:10:00,512,31.1,1.009,242.2,418.8,-0.715,0.994,241.1,418.4,1.016,242.0,420.4,0.036,0.0,288.9,100.0,10.483334,24.333334,60.39503,3.9642074,0.0
2025-05-09 06:15:00,512,31.1,0.96,242.2,418.0,-0.814,0.944,241.1,418.5,0.968,242.0,420.4,0.028,0.0,313.6,100.0,10.6,29.0,75.24707,3.8939953,0.0
2025-05-09 06:20:00,512,31.4,0.492,242.2,418.2,-0.33,0.478,241.1,418.1,0.502,242.0,420.1,0.004,0.0,309.9,100.0,10.783334,35.0,90.80544,3.8314724,0.0
2025-05-09 06:25:00,512,31.4,0.887,242.2,419.2,-0.431,0.873,241.1,418.1,0.894,242.0,420.1,0.008,0.0,321.7,100.0,10.966666,41.0,106.363815,3.7689495,0.0
2025-05-09 06:30:00,512,31.3,1.13,242.0,417.2,-0.033,1.115,241.0,417.5,1.137,242.1,419.5,0.063,0.0,345.4,100.0,11.15,47.0,121.92219,3.7064266,0.0
2025-05-09 06:35:00,512,32.4,0.444,242.2,417.6,-1.639,0.431,241.1,416.4,0.455,241.6,418.6,0.196,0.21,380.9,100.0,11.333333,52.333332,137.7994,3.652814,0.0
2025-05-09 06:40:00,512,30.9,2.215,241.7,417.8,-1.594,2.204,240.7,416.9,2.229,241.3,418.9,0.301,0.43,366.1,100.0,11.516666,57.666668,153.67659,3.5992014,0.0
2025-05-09 06:45:00,512,32.1,4.45,241.7,417.3,-3.212,4.444,240.7,416.9,4.476,241.3,418.9,0.467,0.63,377.7,100.0,11.7,63.0,169.55379,3.5455887,0.0
