collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,21.6,0.31,236.4,411.1,0.188,0.312,240.7,409.6,0.333,231.1,406.3,0.21,0.23,410.8,89.16,9.8,15.0,25.565521,4.2136917,0.0
2025-05-09 06:05:00,512,22.9,0.398,230.7,404.8,0.248,0.392,240.4,404.3,0.421,225.7,398.3,0.273,0.3,418.9,90.68,9.883333,20.333334,40.830555,4.2136917,0.0
2025-05-09 06:10:00,512,23.8,0.489,231.0,404.7,0.313,0.484,240.5,404.5,0.512,225.6,398.5,0.338,0.37,419.1,92.58,9.966667,25.666666,56.095592,4.2136917,0.0
2025-05-09 06:15:00,512,24.5,0.597,236.9,411.2,0.4,0.599,242.2,408.2,0.625,226.7,403.5,0.429,0.46,427.2,93.33,10.05,31.0,71.36063,4.2136917,0.0
2025-05-09 06:20:00,512,25.4,0.703,237.7,408.6,0.475,0.711,235.4,404.7,0.733,229.0,403.1,0.504,0.55,426.5,94.2,10.133333,37.333332,88.10952,4.0619645,0.0
2025-05-09 06:25:00,512,26.0,0.814,236.4,410.9,0.555,0.814,239.0,409.2,0.843,231.9,405.2,0.588,0.64,431.5,94.38,10.216667,43.666668,104.85841,3.9102376,0.0
2025-05-09 06:30:00,512,26.5,0.938,236.7,409.0,0.644,0.943,237.4,406.2,0.969,229.4,403.7,0.677,0.74,431.6,95.24,10.3,50.0,121.60731,3.7585104,0.0
2025-05-09 06:35:00,512,27.2,1.092,236.9,412.6,0.759,1.09,240.9,411.1,1.122,232.9,407.6,0.793,0.86,435.8,95.65,10.433333,55.0,138.56653,3.7585104,0.0
2025-05-09 06:40:00,512,27.6,1.148,236.3,410.4,0.798,1.151,237.4,409.2,1.174,234.8,408.0,0.835,0.9,438.9,95.61,10.566667,60.0,155.52576,3.7585104,0.0
2025-05-09 06:45:00,512,28.1,1.211,239.9,414.2,0.847,1.22,240.3,410.3,1.246,231.4,408.3,0.884,0.97,431.9,95.79,10.7,65.0,172.48497,3.7585104,0.0
2025-05-09 06:50:00,512,28.5,1.28,240.2,415.5,0.908,1.288,241.9,412.7,1.314,233.1,410.9,0.946,1.03,436.0,96.05,10.9,67.0,189.90509,3.6120188,0.0
2025-05-09 06:55:00,512,29.1,1.343,238.2,414.9,0.949,1.35,241.7,413.0,1.376,235.0,410.6,0.987,1.06,440.0,96.13,11.1,69.0,207.32521,3.4655275,0.0
2025-05-09 07:00:00,512,29.7,1.378,237.5,413.3,0.966,1.38,242.3,411.7,1.413,231.2,407.0,1.003,1.07,444.0,96.26,11.3,71.0,224.74533,3.319036,0.0
2025-05-09 07:05:00,512,30.1,1.351,236.7,410.5,0.937,1.357,237.9,408.5,1.383,232.6,406.4,0.974,1.05,443.9,96.22,11.6,71.0,242.71292,3.202236,0.0
2025-05-09 07:10:00,512,30.5,1.437,234.3,410.7,1.032,1.437,239.9,410.5,1.465,235.0,407.5,1.069,1.1,456.8,96.51,11.9,71.0,260.6805,3.085436,0.0
2025-05-09 07:15:00,512,30.9,1.465,235.9,412.5,1.006,1.467,239.6,411.6,1.497,236.3,409.1,1.038,1.1,459.1,96.94,12.2,71.0,278.6481,2.968636,0.0
2025-05-09 07:20:00,512,31.6,1.573,236.2,410.0,1.182,1.584,237.8,407.3,1.606,232.4,406.6,1.22,1.21,448.0,96.9,12.583333,70.333336,295.77747,2.7380373,0.0
2025-05-09 07:25:00,512,31.9,1.347,238.4,413.3,0.953,1.358,239.6,409.8,1.381,233.4,409.6,0.991,1.02,451.9,96.16,12.966667,69.666664,312.9068,2.5074384,0.0
2025-05-09 07:30:00,512,32.4,2.119,239.6,414.1,1.477,2.134,239.8,411.3,2.168,233.1,409.0,1.522,1.65,452.3,97.01,13.35,69.0,330.03616,2.2768397,0.0
2025-05-09 07:35:00,512,33.1,2.533,237.5,412.4,1.72,2.548,239.2,410.9,2.579,234.6,409.0,1.764,1.96,449.3,97.51,13.716667,70.333336,345.67563,2.0126657,0.0
2025-05-09 07:40:00,512,34.2,3.001,238.8,414.9,2.164,3.023,240.6,413.4,3.053,236.2,411.5,2.214,2.3,460.4,97.74,14.083333,71.666664,361.31506,1.7484919,0.0
2025-05-09 07:45:00,512,34.5,2.659,240.2,415.3,1.902,2.681,240.8,412.9,2.713,234.1,410.9,1.95,2.11,445.4,97.52,14.45,73.0,376.95453,1.484318,0.0
