collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,24.2,1.103,230.2,403.5,0.723,1.091,231.7,404.6,1.141,230.8,402.6,0.808,0.0,594.8,88.48,9.75,16.0,27.2432,5.3999996,0.0
2025-05-09 06:05:00,512,24.5,1.248,230.2,404.7,0.842,1.258,231.7,404.6,1.289,230.8,402.7,0.916,0.0,600.6,91.24,9.85,21.666666,39.012623,5.3999996,0.0
2025-05-09 06:10:00,512,25.0,1.631,230.2,403.5,1.136,1.663,231.7,403.6,1.678,230.8,402.7,1.228,0.0,607.5,92.53,9.95,27.333334,50.782043,5.3999996,0.0
2025-05-09 06:15:00,512,25.3,1.903,230.2,403.9,1.323,1.924,232.7,404.5,1.944,230.8,402.7,1.413,0.0,607.9,93.54,10.05,33.0,62.551468,5.3999996,0.0
2025-05-09 06:20:00,512,25.7,2.01,230.2,403.9,1.397,2.006,231.7,404.5,2.049,230.8,402.7,1.5,0.0,611.6,93.52,10.216667,39.333332,74.51614,5.403995,0.0
2025-05-09 06:25:00,512,26.2,2.531,230.2,404.9,1.749,2.539,232.7,405.4,2.589,230.8,403.8,1.862,0.37,619.9,93.75,10.383333,45.666668,86.48082,5.407991,0.0
2025-05-09 06:30:00,512,26.6,3.038,230.2,404.8,2.131,3.033,232.7,405.4,3.072,230.8,402.7,2.244,0.44,621.8,94.7,10.55,52.0,98.445496,5.4119864,0.0
2025-05-09 06:35:00,512,26.9,3.966,230.8,406.0,2.802,3.982,232.9,405.9,4.016,231.5,403.8,2.924,0.58,627.6,95.88,10.733334,58.333332,112.70864,5.4119864,0.0
2025-05-09 06:40:00,512,27.6,4.842,230.8,404.7,3.417,4.85,232.9,405.7,4.888,231.5,403.7,3.55,0.7,634.9,96.26,10.916667,64.666664,126.97178,5.4119864,0.0
2025-05-09 06:45:00,512,28.0,5.879,230.8,406.2,4.127,5.884,232.9,405.7,5.883,231.5,403.6,4.264,0.85,638.9,96.63,11.1,71.0,141.23492,5.4119864,0.0
2025-05-09 06:50:00,512,28.7,6.643,230.8,405.2,4.687,6.659,232.9,405.7,6.676,231.5,404.6,4.837,0.96,638.9,96.9,11.283334,76.333336,157.07552,5.407991,0.0
2025-05-09 06:55:00,512,29.2,7.076,230.8,406.3,4.99,7.078,232.9,405.5,7.103,231.5,403.6,5.14,1.02,643.1,97.04,11.466666,81.666664,172.91612,5.403995,0.0
2025-05-09 07:00:00,512,29.9,7.836,230.8,405.2,5.514,7.844,232.9,405.6,7.87,231.5,403.7,5.656,1.12,646.9,97.4,11.65,87.0,188.75671,5.3999996,0.0
2025-05-09 07:05:00,512,30.4,8.686,229.8,402.5,6.093,8.701,230.6,401.9,8.739,229.5,401.6,6.255,1.26,643.0,97.4,11.833333,91.333336,205.8443,5.553458,0.0
2025-05-09 07:10:00,512,31.3,9.603,229.1,402.7,6.742,9.644,231.6,403.0,9.663,229.5,400.5,6.907,1.39,646.9,97.65,12.016666,95.666664,222.9319,5.706917,0.0
2025-05-09 07:15:00,512,32.2,9.693,229.1,403.0,6.792,9.696,231.3,403.0,9.73,229.5,401.5,6.95,1.4,647.0,97.68,12.2,100.0,240.01949,5.8603754,0.0
2025-05-09 07:20:00,512,32.9,10.586,230.1,403.3,7.433,10.614,231.3,402.9,10.634,229.5,402.5,7.61,1.53,646.9,97.66,12.416667,103.666664,256.9565,6.183757,0.0
2025-05-09 07:25:00,512,33.7,11.849,230.0,403.4,8.297,11.85,231.3,402.9,11.882,229.5,401.2,8.452,1.7,646.9,98.16,12.633333,107.333336,273.89352,6.507138,0.0
2025-05-09 07:30:00,512,34.7,12.615,229.0,402.8,8.842,12.66,231.3,402.6,12.679,229.5,401.2,9.012,1.81,650.8,98.14,12.85,111.0,290.83054,6.830519,0.0
2025-05-09 07:35:00,512,35.7,12.311,232.6,407.9,8.741,12.343,234.7,408.2,12.366,233.4,406.3,8.91,1.83,659.0,98.11,13.05,114.333336,304.13812,7.1301885,0.0
2025-05-09 07:40:00,512,36.5,23.961,233.9,410.9,17.099,24.026,235.8,410.6,24.044,234.5,408.4,17.394,3.27,638.9,98.25,13.25,117.666664,317.44568,7.4298577,0.0
2025-05-09 07:45:00,512,38.5,23.611,234.9,413.0,16.963,23.668,236.8,412.7,23.691,235.5,410.4,17.254,3.24,622.9,98.31,13.45,121.0,330.75327,7.729527,0.0
2025-05-09 07:50:00,512,40.2,25.166,234.9,413.0,18.07,25.23,236.8,412.4,25.226,235.6,411.2,18.371,3.51,615.1,98.36,13.633333,124.0,339.129,8.082591,0.0
2025-05-09 07:55:00,512,40.6,26.381,234.9,414.2,18.928,26.436,236.8,413.3,26.423,235.6,411.5,19.247,3.53,638.9,98.36,13.816667,127.0,347.50473,8.435656,0.0
2025-05-09 08:00:00,512,39.5,27.917,235.1,413.7,20.028,27.98,237.0,413.3,27.985,235.8,411.6,20.358,4.05,590.8,98.38,14.0,130.0,355.88046,8.78872,0.0
2025-05-09 08:05:00,512,39.2,29.11,236.3,415.0,20.954,29.147,237.6,414.2,29.167,236.3,412.0,21.293,4.33,583.0,98.41,14.116667,132.33333,360.45084,8.918558,0.0
2025-05-09 08:10:00,512,41.1,31.802,236.3,414.8,22.914,31.84,237.6,414.0,31.853,236.2,412.3,23.277,4.52,610.8,98.44,14.233334,134.66667,365.0212,9.048397,0.0
2025-05-09 08:15:00,512,41.5,34.7,235.9,415.1,25.028,34.78,237.3,414.4,34.762,236.3,413.2,25.414,5.11,594.9,98.48,14.35,137.0,369.59158,9.178235,0.0
2025-05-09 08:20:00,512,42.6,34.206,235.9,416.0,24.685,34.281,238.3,415.3,34.294,237.3,413.3,25.069,5.14,594.9,98.47,14.45,139.33333,372.4805,9.268681,0.0
2025-05-09 08:25:00,512,43.6,37.378,236.1,415.5,26.894,37.44,238.7,415.0,37.448,236.9,413.4,27.309,5.6,598.9,98.48,14.55,141.66667,375.36942,9.359126,0.0
2025-05-09 08:30:00,512,44.5,13.805,233.6,410.1,9.679,13.846,235.4,409.0,13.867,233.6,407.3,9.86,2.19,587.2,98.17,14.65,144.0,378.25833,9.449572,0.0
2025-05-09 08:35:00,512,44.2,38.116,235.6,415.2,27.385,38.168,237.9,414.5,38.16,236.5,412.5,27.805,5.84,595.0,98.49,14.716666,148.0,383.2662,9.530813,0.0
2025-05-09 08:40:00,512,45.0,37.876,236.0,415.6,27.014,37.927,237.8,414.3,37.946,235.6,412.5,27.45,5.68,626.9,98.41,14.783334,152.0,388.27405,9.612055,0.0
2025-05-09 08:45:00,512,45.5,12.486,233.6,409.4,8.898,12.525,235.1,408.2,12.556,233.2,407.4,9.062,1.92,623.1,98.19,14.85,156.0,393.28192,9.693296,0.0
2025-05-09 08:50:00,512,45.7,45.842,236.3,416.5,33.121,45.925,238.8,415.2,45.92,236.7,414.5,33.653,7.05,618.9,98.42,14.933333,161.33333,398.65585,9.843558,0.0
