collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,29.0,0.227,245.5,419.8,0.04,0.221,236.1,419.3,0.267,246.6,422.0,0.051,0.0,0.0,79.59,11.65,23.0,35.022133,2.1897945,0.0
2025-05-09 06:05:00,512,30.6,0.245,245.8,419.9,0.056,0.235,235.5,417.7,0.281,246.0,422.0,0.068,0.0,0.0,82.56,11.75,28.333334,44.101257,2.0717454,0.0
2025-05-09 06:10:00,512,31.7,0.25,245.9,419.9,0.078,0.245,235.5,418.0,0.287,246.2,422.2,0.091,0.0,0.0,86.2,11.849999,33.666668,53.180378,1.9536961,0.0
2025-05-09 06:15:00,512,32.7,0.297,245.3,419.7,0.12,0.298,236.4,419.2,0.331,246.3,421.9,0.133,0.0,0.0,90.38,11.95,39.0,62.259502,1.835647,0.0
2025-05-09 06:20:00,512,33.4,0.35,245.9,420.9,0.174,0.351,237.1,420.4,0.384,247.0,422.9,0.188,0.0,0.0,92.42,12.083333,45.0,72.7636,1.8237647,0.0
2025-05-09 06:25:00,512,33.9,0.396,246.1,420.9,0.212,0.398,237.0,419.9,0.432,246.7,423.1,0.227,0.0,0.0,93.55,12.216667,51.0,83.26771,1.8118823,0.0
2025-05-09 06:30:00,512,34.4,0.419,246.1,420.2,0.234,0.425,237.2,419.3,0.457,244.8,421.6,0.249,0.0,0.0,93.98,12.35,57.0,93.77181,1.8,0.0
2025-05-09 06:35:00,512,34.7,0.515,242.3,413.2,0.299,0.517,231.6,412.6,0.549,242.9,415.5,0.316,0.0,0.0,94.85,12.5,62.666668,104.7917,1.68,0.0
2025-05-09 06:40:00,512,35.0,0.484,241.8,412.3,0.276,0.491,233.9,410.3,0.53,236.2,410.5,0.293,0.0,0.0,94.24,12.650001,68.333336,115.811584,1.56,0.0
2025-05-09 06:45:00,512,35.3,0.432,237.5,412.0,0.23,0.422,239.5,416.0,0.47,239.3,412.8,0.245,0.0,0.0,94.09,12.8,74.0,126.831474,1.4399999,0.0
2025-05-09 06:50:00,512,35.7,0.511,237.9,412.5,0.293,0.504,240.1,416.1,0.551,238.5,412.3,0.309,0.0,0.0,94.89,12.933333,79.0,138.07396,1.3394732,0.0
2025-05-09 06:55:00,512,35.8,0.51,237.3,411.8,0.292,0.503,239.3,415.4,0.55,238.6,411.5,0.308,0.0,0.0,94.82,13.066667,84.0,149.31645,1.2389466,0.0
2025-05-09 07:00:00,512,36.0,0.55,236.1,408.3,0.319,0.546,234.9,410.9,0.583,238.4,409.7,0.336,0.0,0.0,95.01,13.2,89.0,160.55894,1.1384199,0.0
2025-05-09 07:05:00,512,36.1,0.607,240.2,414.1,0.373,0.607,237.9,415.9,0.642,240.6,414.8,0.391,0.0,0.0,95.38,13.349999,93.0,172.06462,1.0983578,0.0
2025-05-09 07:10:00,512,36.3,0.643,235.0,403.8,0.383,0.641,231.7,405.6,0.674,234.7,405.3,0.4,0.0,0.0,95.84,13.5,97.0,183.57031,1.0582958,0.0
2025-05-09 07:15:00,512,36.4,0.634,239.6,412.6,0.392,0.634,237.5,415.2,0.668,239.9,413.9,0.409,0.0,0.0,95.68,13.65,101.0,195.07599,1.0182338,0.0
2025-05-09 07:20:00,512,36.5,0.643,236.7,406.3,0.39,0.644,232.8,407.3,0.674,235.5,407.5,0.406,0.0,0.0,95.88,13.783333,105.0,207.21881,1.2154789,0.0
2025-05-09 07:25:00,512,36.7,0.74,234.4,402.6,0.454,0.742,230.2,401.9,0.777,232.2,402.4,0.473,0.0,0.0,96.05,13.916667,109.0,219.36165,1.4127239,0.0
2025-05-09 07:30:00,512,36.9,0.811,237.0,407.5,0.513,0.816,233.6,407.8,0.846,235.6,407.8,0.531,0.0,0.0,96.57,14.05,113.0,231.50447,1.609969,0.0
2025-05-09 07:35:00,512,36.9,0.9,238.3,409.0,0.581,0.904,234.1,409.7,0.935,237.0,410.0,0.601,0.0,0.0,96.76,14.2,117.333336,244.28728,1.8032442,0.0
2025-05-09 07:40:00,512,37.2,0.974,236.1,404.5,0.625,0.973,232.1,405.9,1.007,234.2,405.9,0.647,0.0,0.0,96.71,14.35,121.666664,257.07007,1.9965193,0.0
2025-05-09 07:45:00,512,37.2,1.052,240.7,411.4,0.696,1.061,233.9,410.9,1.081,239.1,413.8,0.718,0.0,0.0,97.03,14.5,126.0,269.85287,2.1897945,0.0
2025-05-09 07:50:00,512,37.5,1.023,237.8,408.5,0.669,1.028,233.6,408.1,1.06,235.7,408.1,0.689,0.0,0.0,96.99,14.616667,130.33333,283.97455,2.308391,0.0
2025-05-09 07:55:00,512,37.5,1.052,241.8,415.2,0.703,1.056,238.3,415.8,1.087,239.6,415.6,0.724,0.0,0.0,97.07,14.733334,134.66667,298.09622,2.4269876,0.0
