collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,19.5,0.321,245.1,422.3,0.13,0.298,243.5,422.6,0.305,243.8,423.7,0.143,0.27,545.9,91.18,8.5,19.0,29.433826,2.16,0.0
2025-05-09 06:05:00,512,20.1,0.338,245.3,421.9,0.144,0.314,243.1,421.2,0.319,241.8,421.4,0.156,0.31,545.9,92.38,8.6,24.0,38.606174,2.04,0.0
2025-05-09 06:10:00,512,20.8,0.353,244.5,421.2,0.169,0.331,242.8,421.4,0.336,243.1,422.6,0.181,0.35,546.0,93.49,8.7,29.0,47.778526,1.92,0.0
2025-05-09 06:15:00,512,21.4,0.411,245.1,421.4,0.221,0.386,243.4,421.1,0.396,242.1,422.6,0.233,0.43,554.0,94.66,8.8,34.0,56.950874,1.8,0.0
2025-05-09 06:20:00,512,21.8,0.499,245.8,421.2,0.293,0.474,242.7,421.4,0.483,241.6,421.9,0.306,0.56,559.7,95.64,8.900001,39.666668,66.749596,1.6947726,0.0
2025-05-09 06:25:00,512,22.1,0.596,246.4,421.6,0.375,0.571,243.0,422.0,0.582,241.4,422.1,0.389,0.7,562.2,96.39,9.0,45.333332,76.54832,1.5895454,0.0
2025-05-09 06:30:00,512,22.6,0.699,245.3,421.3,0.454,0.677,243.6,421.1,0.684,241.1,421.9,0.47,0.83,568.6,96.74,9.1,51.0,86.34704,1.484318,0.0
2025-05-09 06:35:00,512,23.0,0.753,244.7,421.5,0.494,0.733,243.2,423.2,0.739,244.1,423.0,0.509,0.9,575.7,97.0,9.216667,56.0,95.935974,1.3690187,0.0
2025-05-09 06:40:00,512,23.3,0.745,245.0,420.7,0.491,0.723,242.6,422.4,0.73,243.2,422.6,0.506,0.9,568.6,96.86,9.333333,61.0,105.52492,1.2537192,0.0
2025-05-09 06:45:00,512,23.5,0.82,245.8,422.0,0.548,0.798,242.6,422.6,0.805,243.0,422.2,0.564,1.0,570.2,97.07,9.45,66.0,115.11385,1.1384199,0.0
2025-05-09 06:50:00,512,24.0,0.861,245.0,421.8,0.581,0.842,242.8,422.4,0.849,243.9,423.1,0.598,1.05,575.7,97.15,9.583333,70.333336,125.68301,1.1384199,0.0
2025-05-09 06:55:00,512,24.3,0.94,245.5,421.9,0.636,0.921,242.7,422.0,0.927,243.5,423.3,0.653,1.14,582.0,97.39,9.716667,74.666664,136.25217,1.1384199,0.0
2025-05-09 07:00:00,512,24.7,1.024,246.3,421.7,0.7,1.002,242.3,421.2,1.011,242.1,422.5,0.719,1.26,578.0,97.39,9.85,79.0,146.82132,1.1384199,0.0
2025-05-09 07:05:00,512,25.0,1.081,244.9,418.4,0.74,1.064,239.2,417.6,1.073,240.9,419.8,0.76,1.32,580.4,97.42,9.983334,82.333336,157.65588,1.2389466,0.0
2025-05-09 07:10:00,512,25.4,1.091,244.2,418.8,0.749,1.074,240.0,418.7,1.081,242.3,420.8,0.767,1.34,581.9,97.57,10.116667,85.666664,168.49043,1.3394732,0.0
2025-05-09 07:15:00,512,25.7,1.171,243.8,420.2,0.807,1.152,241.7,418.7,1.162,241.7,420.6,0.822,1.45,581.9,98.11,10.25,89.0,179.325,1.4399999,0.0
2025-05-09 07:20:00,512,26.0,1.234,244.9,419.8,0.852,1.212,241.0,419.2,1.221,240.9,419.8,0.869,1.51,585.9,98.04,10.4,91.666664,189.73615,1.7189466,0.0
2025-05-09 07:25:00,512,26.2,1.165,243.8,418.0,0.8,1.149,239.8,419.2,1.153,242.8,420.8,0.816,1.42,585.9,98.07,10.55,94.333336,200.1473,1.9978931,0.0
2025-05-09 07:30:00,512,26.4,1.554,240.5,417.7,1.059,1.526,241.8,420.8,1.536,244.4,420.0,1.081,1.86,605.8,97.98,10.7,97.0,210.55844,2.2768397,0.0
2025-05-09 07:35:00,512,26.6,1.631,244.3,419.8,1.145,1.615,242.0,418.9,1.62,241.1,421.1,1.168,1.98,601.8,98.04,10.849999,99.666664,220.22028,2.5912058,0.0
2025-05-09 07:40:00,512,27.1,1.867,245.4,420.8,1.308,1.844,242.6,418.1,1.861,238.9,420.1,1.332,2.3,593.8,98.18,11.0,102.333336,229.8821,2.905572,0.0
2025-05-09 07:45:00,512,27.4,2.207,244.9,421.4,1.815,2.192,243.5,420.2,2.204,241.4,422.2,1.849,2.92,559.1,98.18,11.15,105.0,239.54393,3.219938,0.0
2025-05-09 07:50:00,512,27.9,1.808,245.3,420.8,1.277,1.783,243.8,417.8,1.799,237.2,419.4,1.301,2.26,581.9,98.22,11.283333,107.333336,247.43114,3.5460536,0.0
