collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,38.7,0.4,234.7,406.0,0.327,0.4,235.4,409.9,0.4,235.7,406.5,0.368,0.1,591.3,89.16,13.15,15.0,23.338385,4.3498964,0.2
2025-05-09 06:05:00,512,38.9,0.8,234.1,405.3,0.472,0.8,235.4,407.7,0.8,234.8,405.5,0.525,0.1,609.3,91.7,13.2,19.666666,32.160362,4.4178243,0.13333334
2025-05-09 06:10:00,512,38.9,1.2,234.1,404.6,0.707,1.1,234.5,407.7,1.2,234.8,405.9,0.763,0.3,622.0,92.63,13.25,24.333334,40.98234,4.4857516,0.06666667
2025-05-09 06:15:00,512,38.9,1.5,234.8,405.4,0.857,1.4,234.5,408.1,1.5,234.9,406.1,0.904,0.3,621.0,94.21,13.3,29.0,49.80432,4.5536795,0.0
2025-05-09 06:20:00,512,39.1,2.1,234.2,405.2,1.283,2.0,235.6,409.6,2.1,235.7,406.2,1.345,0.5,632.8,95.23,13.35,35.0,60.46498,4.636786,0.0
2025-05-09 06:25:00,512,39.1,2.0,233.2,404.1,1.186,1.9,234.6,407.2,2.0,234.4,405.2,1.248,0.5,627.5,95.25,13.4,41.0,71.12564,4.7198925,0.0
2025-05-09 06:30:00,512,39.3,2.2,233.2,404.1,1.349,1.9,234.6,407.2,2.2,234.3,405.1,1.406,0.5,640.5,95.57,13.45,47.0,81.7863,4.802999,0.0
2025-05-09 06:35:00,512,39.3,2.3,235.4,408.0,1.443,2.1,235.9,410.5,2.5,235.7,408.9,1.505,0.5,633.6,95.88,13.516666,52.666668,92.156075,4.8862796,0.0
2025-05-09 06:40:00,512,39.5,2.4,235.4,408.0,1.529,2.3,235.9,409.5,2.5,236.1,407.9,1.594,0.5,639.7,96.2,13.583333,58.333332,102.525856,4.96956,0.0
2025-05-09 06:45:00,512,39.5,2.6,235.4,407.8,1.656,2.3,235.8,411.2,2.6,237.2,409.6,1.718,0.5,645.6,96.47,13.65,64.0,112.89563,5.0528407,0.0
