collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,41.8,0.779,232.3,404.3,0.551,0.807,235.8,409.4,0.812,235.8,405.5,0.018,0.0,252.9,100.0,13.25,15.0,22.32728,2.5455842,0.3
2025-05-09 06:05:00,512,41.8,0.515,233.4,404.3,0.357,0.54,234.3,408.2,0.549,235.5,405.6,0.054,0.0,261.0,100.0,13.283334,18.666666,28.697136,2.5455842,0.33333334
2025-05-09 06:10:00,512,41.8,0.819,233.5,404.4,0.579,0.845,234.5,408.2,0.852,235.3,405.4,0.071,0.0,261.0,100.0,13.316667,22.333334,35.066994,2.5455842,0.36666667
2025-05-09 06:15:00,512,41.9,0.568,233.8,404.9,0.395,0.595,234.9,408.8,0.6,235.3,405.6,0.096,0.23,261.1,100.0,13.35,26.0,41.436848,2.5455842,0.4
2025-05-09 06:20:00,512,41.8,0.812,235.9,405.9,0.577,0.838,235.3,409.2,0.841,233.7,405.5,0.132,0.3,261.2,100.0,13.400001,30.666666,48.808903,2.5455842,0.4
2025-05-09 06:25:00,512,41.8,0.78,235.1,405.7,0.551,0.807,234.7,409.2,0.813,235.2,406.0,0.148,0.33,265.3,100.0,13.45,35.333332,56.180954,2.5455842,0.4
2025-05-09 06:30:00,1,41.9,0.0,234.7,404.8,0.0,0.0,234.5,408.4,0.0,234.6,405.7,0.0,0.0,298.9,100.0,13.5,40.0,63.55301,2.5455842,0.4
2025-05-09 06:35:00,512,41.0,0.846,231.1,404.6,0.603,0.878,237.6,411.0,0.879,237.1,406.7,0.293,0.59,267.4,100.0,13.55,44.666668,71.12826,2.6342862,0.4
2025-05-09 06:40:00,512,41.3,0.476,238.4,408.1,0.34,0.499,235.7,410.4,0.511,234.7,409.2,0.223,0.48,263.3,100.0,13.599999,49.333332,78.70351,2.722988,0.4
2025-05-09 06:45:00,512,41.4,0.383,236.5,406.8,0.274,0.406,236.2,410.3,0.419,235.1,408.8,0.168,0.37,271.2,100.0,13.65,54.0,86.278755,2.8116899,0.4
