collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,768,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.9,98.0,8.85,23.0,41.605003,5.04,0.0
2025-05-09 06:05:00,768,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.8,98.0,8.916667,28.333334,51.163513,5.2837462,0.0
2025-05-09 06:10:00,768,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.8,98.0,8.983334,33.666668,60.722023,5.5274925,0.0
2025-05-09 06:15:00,768,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.7,98.0,9.05,39.0,70.28053,5.771239,0.0
2025-05-09 06:20:00,768,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.1,98.0,9.150001,45.0,81.44136,6.020785,0.0
2025-05-09 06:25:00,768,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.2,98.0,9.25,51.0,92.602196,6.270331,0.0
2025-05-09 06:30:00,768,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.7,98.0,9.35,57.0,103.76302,6.519877,0.0
2025-05-09 06:35:00,768,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.7,98.0,9.433333,63.0,114.70821,6.794114,0.0
2025-05-09 06:40:00,768,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.5,98.0,9.516667,69.0,125.65341,7.068351,0.0
2025-05-09 06:45:00,768,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.5,98.0,9.6,75.0,136.5986,7.342588,0.0
2025-05-09 06:50:00,768,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.9,98.0,9.683333,81.0,147.79135,7.602382,0.0
2025-05-09 06:55:00,768,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.6,98.0,9.766667,87.0,158.98412,7.862176,0.0
2025-05-09 07:00:00,768,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.7,98.0,9.85,93.0,170.17686,8.12197,0.0
2025-05-09 07:05:00,768,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.4,98.0,9.933333,99.0,181.64651,8.499837,0.0
2025-05-09 07:10:00,768,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,98.0,10.016667,105.0,193.11618,8.877705,0.0
2025-05-09 07:15:00,768,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.3,98.0,10.1,111.0,204.58583,9.255571,0.0
2025-05-09 07:20:00,768,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.9,98.0,10.166667,116.333336,216.34688,9.517499,0.0
2025-05-09 07:25:00,768,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.2,98.0,10.233334,121.666664,228.10791,9.779427,0.0
2025-05-09 07:30:00,768,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.3,98.0,10.3,127.0,239.86896,10.041354,0.0
2025-05-09 07:35:00,768,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.6,98.0,10.366667,132.0,252.9829,10.390937,0.0
2025-05-09 07:40:00,768,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.3,98.0,10.433333,137.0,266.09683,10.7405205,0.0
2025-05-09 07:45:00,768,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.7,98.0,10.5,142.0,279.2108,11.090103,0.0
2025-05-09 07:50:00,768,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.5,98.0,10.55,146.0,294.36057,11.3515835,0.0
2025-05-09 07:55:00,768,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.7,98.0,10.599999,150.0,309.51035,11.613064,0.0
