collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,24.0,0.316,236.3,404.9,0.121,0.304,230.9,405.6,0.314,234.7,405.4,0.136,0.34,235.0,89.0,11.7,18.0,27.973686,2.8116899,0.0
2025-05-09 06:05:00,512,24.7,0.329,236.6,404.6,0.135,0.313,230.7,404.9,0.328,234.0,405.2,0.151,0.37,235.1,89.49,11.783333,23.0,37.25737,2.739792,0.0
2025-05-09 06:10:00,512,25.5,0.369,236.6,404.9,0.172,0.35,231.3,405.4,0.371,233.8,405.2,0.188,0.44,235.2,91.38,11.866667,28.0,46.541054,2.6678946,0.0
2025-05-09 06:15:00,512,25.9,0.357,239.5,403.6,0.171,0.341,226.9,405.0,0.364,235.0,406.0,0.187,0.42,236.4,91.48,11.95,33.0,55.824738,2.5959969,0.0
2025-05-09 06:20:00,512,26.6,0.393,239.0,405.9,0.197,0.371,230.1,405.9,0.397,234.4,406.7,0.214,0.49,231.3,91.98,12.05,39.0,66.77642,2.5959969,0.0
2025-05-09 06:25:00,512,27.0,0.419,239.3,405.4,0.22,0.4,229.3,406.5,0.426,235.1,406.9,0.238,0.52,239.3,92.43,12.15,45.0,77.7281,2.5959969,0.0
2025-05-09 06:30:00,512,27.2,0.536,236.9,407.0,0.31,0.515,232.8,407.3,0.543,235.1,406.5,0.33,0.72,239.6,93.92,12.25,51.0,88.67979,2.5959969,0.0
2025-05-09 06:35:00,512,27.4,0.738,236.7,405.4,0.46,0.721,232.2,404.5,0.752,232.3,404.6,0.484,0.97,252.1,95.13,12.383333,56.666668,99.724785,2.5959969,0.0
2025-05-09 06:40:00,512,27.9,0.738,235.8,404.0,0.454,0.724,231.3,404.6,0.751,233.0,404.0,0.477,0.98,252.1,95.18,12.516666,62.333332,110.76979,2.5959969,0.0
2025-05-09 06:45:00,512,28.2,0.928,238.3,401.3,0.604,0.919,226.3,402.1,0.949,232.5,403.8,0.632,1.21,260.4,95.58,12.65,68.0,121.81479,2.5959969,0.0
2025-05-09 06:50:00,512,28.4,1.044,236.4,404.3,0.679,1.032,230.8,404.6,1.064,233.7,405.2,0.705,1.4,256.5,96.43,12.783333,73.333336,132.70822,2.5791926,0.0
