collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,28.4,0.315,234.0,405.6,0.124,0.301,234.7,407.2,0.315,235.2,406.4,0.159,0.0,525.4,78.03,14.5,11.0,18.792229,5.5887027,0.0
2025-05-09 06:05:00,512,29.4,0.336,233.8,404.1,0.148,0.317,234.0,406.6,0.33,235.3,406.9,0.186,0.0,536.9,79.51,14.533334,16.0,31.041426,5.5887027,0.0
2025-05-09 06:10:00,512,30.0,0.381,233.4,404.1,0.194,0.367,234.2,406.4,0.381,234.8,405.9,0.232,0.0,551.1,83.55,14.566667,21.0,43.290623,5.5887027,0.0
2025-05-09 06:15:00,512,30.6,0.451,233.5,404.4,0.245,0.433,234.4,406.4,0.45,235.0,406.5,0.278,0.0,555.1,88.0,14.6,26.0,55.53982,5.5887027,0.0
2025-05-09 06:20:00,512,31.1,0.532,233.9,405.2,0.314,0.518,234.6,407.2,0.53,235.1,406.3,0.358,0.24,567.1,87.7,14.633333,32.0,67.96254,5.6792603,0.0
2025-05-09 06:25:00,512,31.6,0.701,234.2,404.9,0.438,0.686,234.2,406.0,0.699,235.0,407.2,0.476,0.3,577.0,92.0,14.666667,38.0,80.385254,5.769818,0.0
2025-05-09 06:30:00,512,32.0,1.042,233.9,405.4,0.687,1.026,234.5,406.8,1.039,235.2,406.3,0.732,0.44,583.0,93.83,14.7,44.0,92.80797,5.8603754,0.0
2025-05-09 06:35:00,512,32.5,1.408,234.0,404.7,0.955,1.395,233.7,405.6,1.407,234.9,406.5,1.001,0.57,586.9,95.35,14.75,50.0,105.97488,5.830663,0.0
2025-05-09 06:40:00,512,32.8,1.685,233.8,405.2,1.155,1.668,234.5,406.8,1.681,234.7,405.6,1.203,0.6,582.1,96.03,14.8,56.0,119.14179,5.800951,0.0
2025-05-09 06:45:00,512,33.2,2.28,234.8,405.9,1.575,2.27,234.5,406.9,2.278,235.2,407.3,1.633,0.89,607.0,96.45,14.85,62.0,132.3087,5.771239,0.0
2025-05-09 06:50:00,512,33.7,2.087,233.0,404.3,1.44,2.076,234.3,406.1,2.083,235.2,406.1,1.494,0.81,599.8,96.37,14.900001,67.0,144.16321,5.891019,0.0
2025-05-09 06:55:00,512,34.1,1.844,236.3,409.9,1.282,1.833,237.6,412.1,1.838,238.6,411.8,1.333,0.67,586.5,96.2,14.95,72.0,156.01773,6.010799,0.0
2025-05-09 07:00:00,512,34.5,1.97,235.8,409.0,1.368,1.96,237.0,411.2,1.963,238.1,410.9,1.42,0.74,599.9,96.35,15.0,77.0,167.87224,6.130579,0.0
2025-05-09 07:05:00,512,34.9,2.049,234.1,406.5,1.416,2.039,235.8,408.8,2.043,236.6,408.3,1.472,0.76,609.3,96.24,15.05,81.333336,179.64038,6.276847,0.0
2025-05-09 07:10:00,512,35.2,2.042,234.4,406.4,1.412,2.036,235.3,407.7,2.042,236.6,409.1,1.468,0.78,616.0,96.18,15.099999,85.666664,191.40854,6.423115,0.0
2025-05-09 07:15:00,512,35.5,2.512,234.4,406.6,1.748,2.502,236.0,409.2,2.505,236.9,409.1,1.807,0.93,616.0,96.72,15.15,90.0,203.17668,6.5693827,0.0
2025-05-09 07:20:00,512,35.8,2.551,233.5,404.7,1.767,2.543,234.6,406.4,2.547,235.8,407.6,1.823,1.01,601.1,96.93,15.2,93.666664,214.53143,6.8534517,0.0
2025-05-09 07:25:00,512,36.1,3.458,233.2,404.8,2.414,3.442,235.3,407.3,3.448,235.4,406.8,2.484,2.04,524.1,97.2,15.25,97.333336,225.88618,7.137521,0.0
2025-05-09 07:30:00,512,36.5,3.595,234.5,405.1,2.5,3.58,234.6,406.9,3.585,235.2,407.4,2.571,2.49,518.8,97.21,15.3,101.0,237.24094,7.42159,0.0
2025-05-09 07:35:00,512,36.8,4.323,234.9,406.0,3.016,4.306,235.2,408.0,4.312,235.4,407.7,3.085,2.89,580.2,97.74,15.35,105.0,250.32504,7.6040397,0.0
2025-05-09 07:40:00,512,37.3,5.015,234.9,406.1,3.506,4.998,235.1,407.5,5.004,235.4,408.0,3.57,3.29,596.3,98.2,15.4,109.0,263.40915,7.786489,0.0
2025-05-09 07:45:00,512,37.8,5.397,234.4,405.7,3.772,5.376,235.0,407.7,5.386,235.3,406.9,3.841,3.51,596.1,98.21,15.45,113.0,276.49326,7.968939,0.0
2025-05-09 07:50:00,512,38.2,4.951,234.5,405.4,3.37,4.936,234.5,406.6,4.939,235.2,407.5,3.435,3.59,600.7,98.11,15.5,116.333336,289.5231,8.164993,0.0
2025-05-09 07:55:00,512,38.3,4.718,234.7,406.8,3.324,4.698,235.8,408.6,4.705,236.1,408.2,3.388,3.6,606.9,98.11,15.55,119.666664,302.55298,8.361048,0.0
2025-05-09 08:00:00,512,38.7,5.197,234.0,404.8,3.624,5.178,234.4,406.2,5.184,234.8,406.7,3.694,4.04,601.7,98.1,15.6,123.0,315.58282,8.557102,0.0
2025-05-09 08:05:00,512,39.0,6.116,237.9,411.3,4.328,6.099,237.9,412.1,6.105,238.6,413.7,4.414,4.35,601.0,98.06,15.683333,126.333336,328.9169,8.714319,0.0
2025-05-09 08:10:00,512,39.5,5.792,236.3,409.3,4.091,5.772,237.0,410.5,5.783,237.1,410.6,4.17,4.4,601.9,98.1,15.766667,129.66667,342.25098,8.871537,0.0
2025-05-09 08:15:00,512,39.9,4.396,235.9,407.7,3.239,4.382,236.1,408.8,4.382,236.7,410.6,3.304,3.59,594.4,98.04,15.85,133.0,355.58505,9.028754,0.0
2025-05-09 08:20:00,512,40.0,4.778,235.9,407.6,3.228,4.766,236.1,408.8,4.766,236.9,411.0,3.291,3.86,599.7,98.08,15.933333,136.0,368.87823,9.078581,0.0
2025-05-09 08:25:00,512,40.3,5.757,236.4,408.5,4.057,5.742,236.7,410.2,5.745,237.7,412.0,4.138,4.84,593.7,98.04,16.016666,139.0,382.1714,9.128408,0.0
2025-05-09 08:30:00,512,40.6,5.787,236.0,407.9,4.07,5.773,236.0,408.7,5.777,236.7,410.5,4.152,4.84,594.4,98.04,16.1,142.0,395.46457,9.178235,0.0
2025-05-09 08:35:00,512,41.1,6.104,235.6,406.8,4.277,6.089,235.2,407.5,6.094,236.3,410.0,4.361,5.15,593.5,98.06,16.183334,145.0,408.03113,9.338761,0.0
2025-05-09 08:40:00,512,41.6,6.305,235.6,406.8,4.418,6.291,234.7,406.9,6.295,235.8,409.2,4.506,5.34,589.5,98.05,16.266666,148.0,420.59766,9.499288,0.0
2025-05-09 08:45:00,512,42.1,6.538,235.1,407.2,4.603,6.521,236.0,408.1,6.526,236.8,410.4,4.69,5.63,585.4,98.15,16.35,151.0,433.1642,9.659814,0.0
2025-05-09 08:50:00,512,42.5,8.509,236.6,410.8,6.001,8.485,238.4,411.8,8.495,238.7,413.2,6.131,5.98,491.2,97.87,16.416666,154.66667,444.6706,9.659814,0.0
2025-05-09 08:55:00,512,42.5,9.351,238.1,412.0,6.625,9.329,238.3,412.3,9.342,238.4,413.6,6.767,6.2,496.6,97.9,16.483334,158.33333,456.17694,9.659814,0.0
2025-05-09 09:00:00,512,37.0,9.517,238.9,412.3,6.87,9.499,238.0,412.0,9.501,238.7,414.8,7.029,6.3,508.8,97.74,16.55,162.0,467.68332,9.659814,0.0
2025-05-09 09:05:00,512,37.6,5.026,237.1,410.0,3.19,5.009,237.4,410.4,5.013,237.5,412.4,3.268,2.5,532.4,97.63,16.616667,165.33333,478.14127,9.659814,0.0
