collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,26.6,0.148,234.8,405.6,0.058,0.143,236.6,407.0,0.152,231.0,404.0,0.067,0.3,301.5,86.87,13.4,15.0,22.055426,5.904439,0.3
2025-05-09 06:05:00,512,27.5,0.179,234.3,404.4,0.08,0.162,234.5,405.6,0.181,231.9,403.5,0.09,0.37,306.2,89.47,13.416666,19.333334,28.966902,5.979819,0.33333334
2025-05-09 06:10:00,512,28.2,0.197,236.4,408.8,0.105,0.188,238.3,410.3,0.195,233.4,407.4,0.117,0.43,308.5,90.29,13.433333,23.666666,35.878376,6.0551987,0.36666667
2025-05-09 06:15:00,512,28.6,0.213,237.2,409.8,0.119,0.201,239.2,410.3,0.21,232.5,407.5,0.132,0.47,310.5,90.67,13.45,28.0,42.789852,6.1305785,0.4
2025-05-09 06:20:00,512,28.9,0.236,236.9,409.9,0.134,0.225,239.7,410.7,0.234,232.6,407.8,0.146,0.53,306.7,91.42,13.483334,32.666668,50.51643,6.1305785,0.4
2025-05-09 06:25:00,512,29.4,0.255,235.9,407.9,0.158,0.247,238.1,409.3,0.257,232.6,406.5,0.17,0.59,314.8,92.6,13.516666,37.333332,58.243004,6.1305785,0.4
2025-05-09 06:30:00,512,29.6,0.313,235.7,410.2,0.2,0.303,239.5,411.7,0.312,235.0,408.2,0.215,0.71,320.5,93.1,13.55,42.0,65.96958,6.1305785,0.4
2025-05-09 06:35:00,512,29.8,0.382,234.7,409.2,0.256,0.371,239.6,411.5,0.383,234.9,407.5,0.271,0.86,327.0,94.28,13.6,47.333332,74.62659,6.2235913,0.4
2025-05-09 06:40:00,512,30.2,0.51,233.8,408.8,0.347,0.499,238.8,410.9,0.51,235.6,406.9,0.363,1.13,333.0,95.46,13.65,52.666668,83.2836,6.3166046,0.4
2025-05-09 06:45:00,512,30.4,0.571,235.4,408.2,0.389,0.555,237.3,409.7,0.569,233.9,406.2,0.406,1.25,335.4,95.74,13.7,58.0,91.940605,6.4096174,0.4
2025-05-09 06:50:00,512,30.7,0.672,235.7,408.3,0.453,0.658,239.0,410.8,0.67,233.0,406.5,0.469,1.45,339.7,96.62,13.75,62.666668,100.83255,6.603057,0.4
2025-05-09 06:55:00,512,30.7,0.706,236.5,409.4,0.494,0.693,238.8,411.5,0.708,234.4,408.2,0.512,1.57,331.8,96.56,13.8,67.333336,109.7245,6.7964964,0.4
2025-05-09 07:00:00,512,30.9,0.675,234.6,407.3,0.471,0.663,238.4,409.7,0.677,232.7,405.4,0.488,1.51,329.4,96.55,13.85,72.0,118.61645,6.989936,0.4
2025-05-09 07:05:00,512,31.2,0.6,236.1,408.5,0.427,0.591,238.6,409.7,0.603,232.2,406.2,0.446,1.35,331.5,95.72,13.883333,77.0,128.49753,7.2364664,0.33333334
2025-05-09 07:10:00,512,31.4,0.534,238.2,411.2,0.366,0.524,240.0,410.7,0.537,232.6,409.1,0.383,1.23,323.4,95.45,13.916667,82.0,138.3786,7.4829965,0.26666668
