collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,23.5,0.96,233.03,401.8,0.59,0.93,233.93,402.8,0.94,233.89,401.8,0.617,0.21,583.0,95.6,11.0,20.0,30.938276,2.4149535,0.1
2025-05-09 06:05:00,512,23.7,1.32,233.02,401.8,0.864,1.32,233.68,402.8,1.32,233.48,400.8,0.903,0.32,590.0,95.6,11.066667,25.0,39.894314,2.4149535,0.1
2025-05-09 06:10:00,512,24.0,1.49,235.28,405.8,1.002,1.45,235.99,407.8,1.47,236.0,404.8,1.039,0.38,591.7,96.41,11.133333,30.0,48.85035,2.4149535,0.1
2025-05-09 06:15:00,512,24.2,1.4,235.94,406.8,0.932,1.36,236.54,407.8,1.38,236.43,406.8,0.975,0.35,590.3,95.6,11.2,35.0,57.80639,2.4149535,0.1
2025-05-09 06:20:00,512,24.4,1.43,235.83,406.8,0.955,1.38,236.62,407.8,1.41,236.44,406.8,0.998,0.36,594.6,95.6,11.3,41.0,67.60692,2.4149535,0.1
2025-05-09 06:25:00,512,24.6,1.32,235.32,405.8,0.967,1.32,236.21,406.8,1.32,235.91,404.8,1.011,0.37,590.1,95.6,11.4,47.0,77.407455,2.4149535,0.1
2025-05-09 06:30:00,512,24.7,1.58,235.67,405.97,1.073,1.54,236.17,406.72,1.57,235.97,405.06,1.113,0.4,590.7,96.41,11.5,53.0,87.207985,2.4149535,0.1
2025-05-09 06:35:00,512,25.0,2.0,234.39,403.8,1.371,1.96,234.97,404.8,1.98,234.53,402.8,1.401,0.53,594.4,97.85,11.6,58.666668,97.17055,2.309683,0.1
2025-05-09 06:40:00,512,25.2,2.13,233.81,402.8,1.459,2.08,234.37,403.8,2.12,234.24,401.8,1.491,0.56,597.5,97.85,11.7,64.333336,107.13311,2.204413,0.1
2025-05-09 06:45:00,512,25.4,2.32,233.48,402.8,1.595,2.29,234.01,403.8,2.31,233.85,401.8,1.63,0.62,597.0,97.85,11.8,70.0,117.09567,2.0991426,0.1
2025-05-09 06:50:00,512,25.6,2.78,232.54,400.72,1.91,2.75,233.2,401.52,2.77,232.81,399.66,1.952,0.75,593.7,97.85,11.883333,74.333336,126.21467,1.9360847,0.1
2025-05-09 06:55:00,512,25.8,2.67,234.63,404.15,1.854,2.63,235.12,404.95,2.66,234.93,403.4,1.895,0.73,596.0,97.85,11.966667,78.666664,135.33366,1.7730268,0.1
2025-05-09 07:00:00,512,26.0,2.44,234.07,403.14,1.687,2.41,234.92,404.57,2.43,234.78,402.48,1.724,0.66,581.2,97.85,12.05,83.0,144.45267,1.609969,0.1
2025-05-09 07:05:00,512,26.1,2.06,234.82,404.8,1.408,2.01,235.61,406.8,2.05,235.43,404.8,1.448,0.56,585.2,97.24,12.150001,86.666664,153.87448,1.452786,0.1
