collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,28.6,1.036,234.2,410.1,0.656,1.053,234.8,410.0,1.04,235.1,409.4,0.724,0.0,701.4,90.36,11.8,19.0,29.057426,5.95906,0.0
2025-05-09 06:05:00,512,29.2,1.116,234.2,410.1,0.72,1.149,233.8,409.8,1.131,234.1,409.4,0.791,0.0,697.4,90.54,11.883333,24.666666,39.98226,5.911366,0.0
2025-05-09 06:10:00,512,29.8,1.098,233.2,409.1,0.704,1.13,233.8,408.6,1.109,234.1,408.4,0.779,0.0,699.7,90.62,11.966667,30.333334,50.907097,5.8636723,0.0
2025-05-09 06:15:00,512,30.4,1.147,233.2,409.1,0.741,1.193,233.8,408.6,1.16,234.1,408.4,0.822,0.3,701.4,90.12,12.05,36.0,61.831932,5.815978,0.0
2025-05-09 06:20:00,512,30.8,1.365,233.2,409.2,0.909,1.391,233.8,408.6,1.389,234.1,408.4,0.991,0.3,707.1,91.46,12.166667,42.666668,73.83329,5.8888855,0.0
2025-05-09 06:25:00,512,31.2,1.664,232.2,407.1,0.9,1.692,232.8,406.5,1.65,232.9,406.3,0.975,0.3,713.4,91.51,12.283333,49.333332,85.83465,5.9617925,0.0
2025-05-09 06:30:00,512,31.8,1.649,231.2,405.0,0.995,1.697,231.7,406.5,1.683,231.9,405.0,1.085,0.3,717.3,92.33,12.4,56.0,97.836006,6.0347,0.0
2025-05-09 06:35:00,512,32.2,1.808,229.4,402.3,1.115,1.849,230.7,403.1,1.843,230.5,401.8,1.195,0.3,713.6,93.15,12.516666,62.666668,110.64489,6.118843,0.0
2025-05-09 06:40:00,512,32.6,1.986,229.5,402.8,1.242,2.035,230.4,403.6,2.019,231.3,401.9,1.328,0.3,717.4,93.7,12.633333,69.333336,123.453766,6.2029867,0.0
2025-05-09 06:45:00,512,33.0,2.279,231.8,405.2,1.387,2.336,231.6,406.0,2.331,232.3,404.6,1.472,0.5,713.5,94.15,12.75,76.0,136.26265,6.28713,0.0
2025-05-09 06:50:00,512,33.4,2.85,231.6,405.0,1.879,2.881,231.8,404.5,2.865,232.0,404.1,1.985,0.5,745.4,94.71,12.85,82.0,148.5207,6.4996657,0.0
2025-05-09 06:55:00,512,33.8,4.109,230.6,404.8,2.769,4.14,231.3,404.0,4.142,230.9,404.1,2.883,0.9,752.4,95.76,12.95,88.0,160.77878,6.712202,0.0
2025-05-09 07:00:00,512,34.2,4.751,229.7,405.2,3.21,4.769,230.6,405.1,4.773,230.7,404.3,3.327,1.11,745.4,96.43,13.05,94.0,173.03683,6.924738,0.0
2025-05-09 07:05:00,512,34.7,5.077,231.4,405.0,3.459,5.082,231.1,404.5,5.084,231.6,404.9,3.578,1.31,761.4,96.43,13.133333,99.333336,185.54976,7.2673783,0.0
2025-05-09 07:10:00,512,35.3,5.533,231.8,406.5,3.762,5.541,232.3,406.5,5.537,232.3,405.7,3.898,1.31,761.4,96.43,13.216667,104.666664,198.06267,7.610019,0.0
2025-05-09 07:15:00,512,35.7,6.262,232.4,407.4,4.299,6.257,232.7,406.6,6.285,232.6,406.5,4.44,1.51,762.4,96.83,13.3,110.0,210.57559,7.9526596,0.0
2025-05-09 07:20:00,512,36.1,8.387,232.8,409.9,5.877,8.403,233.5,409.6,8.413,233.3,408.9,5.992,1.91,761.4,98.12,13.383333,114.666664,223.36725,8.43099,0.0
