collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,33.4,0.295,236.3,405.9,0.126,0.301,234.9,402.6,0.295,230.4,406.2,0.14,0.28,560.6,89.8,13.05,20.0,32.28432,5.6233797,0.0
2025-05-09 06:05:00,512,34.0,0.322,234.5,405.9,0.151,0.33,236.7,405.5,0.33,232.3,406.7,0.166,0.33,550.8,91.11,13.1,25.333334,43.378345,5.7170663,0.0
2025-05-09 06:10:00,512,34.4,0.449,240.7,406.5,0.265,0.46,231.1,401.0,0.454,228.0,404.1,0.281,0.54,543.0,94.32,13.15,30.666666,54.472366,5.8107524,0.0
2025-05-09 06:15:00,512,34.9,0.459,240.1,407.1,0.276,0.465,231.3,402.5,0.465,230.0,404.8,0.292,0.54,562.9,94.6,13.2,36.0,65.56639,5.904439,0.0
2025-05-09 06:20:00,512,35.1,0.798,238.2,407.8,0.532,0.809,237.5,403.2,0.812,226.6,405.0,0.55,1.01,555.0,96.69,13.283333,42.333332,78.267784,6.035435,0.0
2025-05-09 06:25:00,512,35.7,1.348,239.1,408.3,0.922,1.369,235.1,400.4,1.373,225.8,403.5,0.94,1.69,570.8,98.06,13.366667,48.666668,90.96918,6.166432,0.0
2025-05-09 06:30:00,512,36.0,1.481,239.1,407.6,1.015,1.475,233.2,402.1,1.505,228.6,403.9,1.036,1.73,608.9,97.96,13.45,55.0,103.67057,6.297428,0.0
2025-05-09 06:35:00,512,36.5,1.612,235.5,405.8,1.107,1.611,232.9,402.3,1.635,232.2,404.9,1.13,1.83,626.8,97.95,13.55,61.333332,117.53314,6.5065317,0.0
2025-05-09 06:40:00,512,36.9,1.01,235.3,406.9,0.681,1.002,236.6,401.6,1.029,228.5,404.2,0.702,1.09,654.8,97.01,13.65,67.666664,131.39572,6.715635,0.0
2025-05-09 06:45:00,512,37.0,1.031,235.2,406.3,0.717,1.025,237.3,402.1,1.049,228.0,404.4,0.739,1.1,661.0,97.03,13.75,74.0,145.25829,6.9247384,0.0
2025-05-09 06:50:00,512,37.3,1.956,234.4,405.9,1.347,1.957,235.1,402.5,1.98,231.2,404.9,1.376,2.12,656.9,97.94,13.85,79.333336,159.63612,7.0903554,0.0
2025-05-09 06:55:00,512,37.9,2.196,237.9,406.7,1.524,2.199,231.8,402.6,2.223,231.6,405.0,1.553,2.38,657.0,98.09,13.95,84.666664,174.01395,7.255973,0.0
2025-05-09 07:00:00,512,38.3,2.382,231.0,402.0,1.65,2.388,234.7,401.0,2.403,230.9,403.0,1.681,2.56,658.8,98.13,14.05,90.0,188.39178,7.42159,0.0
2025-05-09 07:05:00,512,38.6,2.184,231.8,398.9,1.493,2.187,229.9,395.7,2.207,226.8,397.5,1.529,2.24,681.0,97.59,14.150001,94.333336,203.34372,7.7568545,0.0
2025-05-09 07:10:00,512,39.2,2.774,231.8,397.9,1.882,2.78,228.8,395.6,2.797,227.1,397.2,1.923,2.78,698.8,97.88,14.25,98.666664,218.29564,8.092119,0.0
2025-05-09 07:15:00,512,39.7,3.192,232.5,399.0,2.18,3.201,228.5,396.1,3.22,228.0,397.8,2.226,3.2,698.8,97.95,14.35,103.0,233.24757,8.427383,0.0
2025-05-09 07:20:00,512,40.5,3.494,235.0,406.9,2.442,3.506,235.0,404.3,3.526,233.2,406.2,2.493,3.6,696.7,97.96,14.45,106.666664,248.09056,8.768113,0.0
2025-05-09 07:25:00,512,41.1,3.694,233.9,404.2,2.57,3.705,233.2,401.4,3.729,231.4,403.7,2.622,3.79,694.9,98.0,14.55,110.333336,262.93356,9.108842,0.0
2025-05-09 07:30:00,512,41.8,3.96,232.1,402.9,2.756,3.972,236.0,400.8,3.995,228.2,401.7,2.811,4.06,693.0,98.03,14.65,114.0,277.77655,9.449572,0.0
2025-05-09 07:35:00,512,42.6,4.413,230.6,403.7,3.076,4.434,234.0,402.2,4.448,234.6,404.4,3.127,4.9,640.7,98.39,14.733333,117.333336,292.89325,9.879659,0.0
2025-05-09 07:40:00,512,43.1,4.509,227.6,402.7,3.146,4.517,238.5,404.4,4.528,233.8,404.3,3.198,4.98,642.8,98.39,14.816667,120.666664,308.00992,10.309746,0.0
2025-05-09 07:45:00,512,43.6,4.789,232.4,406.4,3.36,4.808,238.1,405.2,4.821,233.2,406.4,3.417,5.3,646.8,98.34,14.9,124.0,323.12662,10.739833,0.0
2025-05-09 07:50:00,512,44.1,4.958,232.6,405.2,3.478,4.975,237.5,404.4,4.991,231.4,404.7,3.536,5.43,650.9,98.35,15.0,126.333336,337.4788,10.948925,0.0
2025-05-09 07:55:00,512,44.7,5.141,234.8,406.7,3.613,5.16,235.9,404.8,5.179,232.4,405.8,3.671,5.74,640.7,98.42,15.099999,128.66667,351.83096,11.158017,0.0
2025-05-09 08:00:00,512,45.4,4.513,230.2,402.7,3.174,4.531,235.1,400.9,4.544,231.8,403.2,3.226,5.02,637.0,98.4,15.2,131.0,366.18314,11.367109,0.0
2025-05-09 08:05:00,512,45.6,5.715,232.1,403.0,4.004,5.739,234.7,400.8,5.755,229.7,402.0,4.072,6.34,638.9,98.34,15.3,132.33333,379.44626,11.447956,0.0
2025-05-09 08:10:00,512,46.3,5.635,232.5,403.6,3.963,5.655,235.0,402.1,5.67,230.7,403.1,4.028,6.29,637.0,98.38,15.4,133.66667,392.70938,11.528804,0.0
2025-05-09 08:15:00,512,45.5,3.504,231.9,403.4,2.487,3.511,235.6,402.4,3.528,231.1,403.6,2.527,3.9,636.7,98.41,15.5,135.0,405.9725,11.609651,0.0
2025-05-09 08:20:00,512,45.5,4.467,230.5,402.9,3.51,4.486,237.0,400.6,4.502,229.0,402.3,3.567,4.86,650.5,98.41,15.6,136.66667,417.82043,11.699767,0.0
2025-05-09 08:25:00,512,45.3,3.044,232.1,403.4,2.108,3.049,238.6,401.6,3.07,226.5,401.8,2.144,3.28,654.8,98.32,15.7,138.33333,429.66833,11.789883,0.0
2025-05-09 08:30:00,512,45.0,3.251,223.6,394.8,2.178,3.249,234.8,395.2,3.271,224.8,392.9,2.216,3.47,646.8,98.28,15.8,140.0,441.51627,11.879999,0.0
2025-05-09 08:35:00,512,45.0,3.785,225.4,392.4,2.549,3.795,227.7,389.1,3.821,223.0,389.2,2.592,4.02,646.8,98.34,15.883333,142.33333,450.58865,11.776837,0.0
2025-05-09 08:40:00,512,45.0,3.796,225.6,397.9,2.57,3.799,235.8,396.6,3.825,226.0,395.5,2.613,4.1,644.7,98.36,15.966666,144.66667,459.66104,11.6736765,0.0
2025-05-09 08:45:00,512,45.8,7.262,230.1,400.2,5.029,7.309,230.2,397.4,7.313,231.4,400.0,5.113,8.02,638.9,98.36,16.05,147.0,468.73343,11.570515,0.0
2025-05-09 08:50:00,512,46.6,3.268,230.0,400.6,2.252,3.27,236.5,399.2,3.293,225.4,398.0,2.292,3.54,646.8,98.29,16.1,150.66667,474.02664,11.620593,0.0
2025-05-09 08:55:00,512,46.0,4.985,233.4,403.1,3.314,5.009,231.3,401.7,5.018,233.7,404.4,3.367,5.5,643.1,98.41,16.15,154.33333,479.31982,11.670672,0.0
2025-05-09 09:00:00,512,46.0,8.455,234.6,404.8,5.837,8.506,232.0,402.7,8.511,233.6,404.9,5.938,9.44,640.9,98.3,16.2,158.0,484.61304,11.720751,0.0
2025-05-09 09:05:00,512,47.5,2.597,232.8,402.9,1.827,2.604,232.6,399.5,2.626,229.9,401.6,1.86,2.85,640.7,98.22,16.216667,162.33333,487.1872,11.655708,0.033333335
2025-05-09 09:10:00,512,46.2,3.504,230.8,402.3,2.162,3.51,240.0,401.3,3.533,225.3,400.9,2.198,3.81,647.2,98.36,16.233334,166.66667,489.76138,11.590666,0.06666667
2025-05-09 09:15:00,512,45.7,2.623,228.3,400.3,1.813,2.625,236.5,398.9,2.647,227.3,398.9,1.847,2.8,654.8,98.16,16.25,171.0,492.33554,11.525623,0.1
2025-05-09 09:20:00,512,45.4,3.442,230.2,400.6,2.588,3.454,237.0,398.1,3.475,225.1,399.6,2.634,3.62,667.1,98.27,16.233334,175.33333,495.28333,11.442259,0.1
2025-05-09 09:25:00,512,45.8,8.278,228.7,401.1,5.831,8.321,236.3,398.5,8.339,228.3,400.2,5.934,8.86,661.1,98.27,16.216667,179.66667,498.23114,11.358894,0.1
2025-05-09 09:30:00,512,48.2,5.234,233.9,399.1,3.802,5.269,226.9,395.6,5.279,228.9,399.3,3.865,5.73,641.0,98.37,16.2,184.0,501.17892,11.27553,0.1
2025-05-09 09:35:00,512,46.7,2.383,232.8,402.3,1.635,2.382,234.9,397.4,2.413,223.9,397.5,1.665,2.59,640.7,98.2,16.166668,188.0,508.57812,11.160754,0.1
2025-05-09 09:40:00,512,45.7,1.707,233.1,400.9,1.154,1.706,231.0,396.2,1.731,226.9,399.2,1.176,1.81,650.8,98.08,16.133333,192.0,515.9773,11.045979,0.1
2025-05-09 09:45:00,512,45.0,1.892,224.3,395.2,1.269,1.888,235.7,394.0,1.91,222.7,392.5,1.293,1.96,658.8,98.09,16.1,196.0,523.3765,10.931203,0.1
2025-05-09 09:50:00,512,44.5,2.564,218.7,390.4,1.719,2.566,229.5,393.3,2.578,231.6,393.0,1.75,2.65,662.8,98.22,16.1,200.33333,536.2104,10.855325,0.1
2025-05-09 09:55:00,512,45.5,2.258,218.7,391.4,1.515,2.255,234.4,393.3,2.272,226.2,391.0,1.543,2.37,650.8,98.15,16.1,204.66667,549.0443,10.779448,0.1
2025-05-09 10:00:00,512,44.5,2.28,221.9,393.0,1.535,2.279,234.4,393.9,2.296,225.2,392.6,1.563,2.37,658.8,98.19,16.1,209.0,561.8782,10.703569,0.1
2025-05-09 10:05:00,512,44.2,1.891,219.1,393.8,1.276,1.889,238.1,395.5,1.904,226.4,393.6,1.302,1.97,658.8,98.04,16.133333,213.0,576.0375,10.590796,0.1
2025-05-09 10:10:00,512,43.7,2.09,217.4,393.8,1.389,2.084,237.5,396.7,2.096,229.8,394.3,1.417,2.18,660.6,98.02,16.166668,217.0,590.19684,10.478024,0.1
2025-05-09 10:15:00,512,46.9,3.129,213.4,393.1,2.374,3.118,240.7,398.7,3.136,231.2,393.8,2.415,3.39,636.7,98.28,16.2,221.0,604.35614,10.365251,0.1
2025-05-09 10:20:00,512,46.8,2.152,211.8,391.4,1.45,2.139,243.7,397.9,2.153,227.6,391.9,1.478,2.28,644.9,98.06,16.266666,225.0,617.80237,10.408738,0.1
2025-05-09 10:25:00,512,46.3,9.328,222.0,396.9,6.371,9.337,238.7,399.4,9.363,229.1,397.5,6.487,10.01,655.0,98.21,16.333334,229.0,631.24854,10.452226,0.1
2025-05-09 10:30:00,512,49.7,8.977,221.8,396.9,6.183,9.001,236.4,398.3,9.014,231.1,397.9,6.292,9.98,632.9,98.27,16.4,233.0,644.69476,10.495713,0.1
2025-05-09 10:35:00,512,50.8,9.029,218.2,397.3,6.224,9.023,240.4,402.5,9.032,235.5,401.0,6.333,10.24,622.9,98.27,16.449999,237.33333,655.06757,10.384885,0.1
2025-05-09 10:40:00,512,52.5,8.796,218.8,397.7,6.093,8.793,240.9,402.8,8.804,234.9,401.2,6.197,10.05,619.0,98.31,16.5,241.66667,665.4403,10.2740555,0.1
2025-05-09 10:45:00,512,52.9,8.654,224.4,397.7,5.979,8.701,231.6,397.0,8.695,234.2,400.1,6.08,9.93,614.9,98.33,16.55,246.0,675.8131,10.163227,0.1
2025-05-09 10:50:00,512,53.6,8.518,226.5,398.1,5.898,8.57,230.1,398.6,8.541,236.5,403.1,5.998,9.84,613.1,98.33,16.6,251.0,683.8052,10.163227,0.1
2025-05-09 10:55:00,512,52.9,3.756,226.5,401.8,2.332,3.761,237.3,403.6,3.772,234.4,403.0,2.37,4.28,619.2,98.4,16.65,256.0,691.7973,10.163227,0.1
2025-05-09 11:00:00,512,53.4,2.443,230.6,401.8,1.666,2.448,235.9,401.5,2.461,229.9,402.2,1.696,2.79,614.8,98.27,16.7,261.0,699.78937,10.163227,0.1
2025-05-09 11:05:00,512,52.0,7.909,230.9,403.9,4.358,7.938,239.5,403.4,7.948,229.3,403.7,4.433,8.9,634.9,98.31,16.716667,265.66666,706.0849,10.211761,0.1
2025-05-09 11:10:00,512,52.9,9.22,232.3,406.3,6.539,9.27,237.5,405.1,9.263,234.5,407.7,6.653,10.81,614.7,98.29,16.733334,270.33334,712.3804,10.260296,0.1
2025-05-09 11:15:00,512,54.5,8.909,236.3,406.5,6.273,8.981,231.2,403.3,8.964,235.9,407.8,6.381,10.54,608.7,98.31,16.75,275.0,718.6759,10.30883,0.1
2025-05-09 11:20:00,512,54.7,6.709,235.7,404.2,4.737,6.768,228.4,399.4,6.767,233.6,404.3,4.813,7.89,606.8,98.41,16.766666,278.33334,721.9391,10.30883,0.1
2025-05-09 11:25:00,512,54.8,7.306,228.5,400.0,5.031,7.338,234.3,399.8,7.344,230.9,401.1,5.115,8.48,610.6,98.37,16.783333,281.66666,725.2022,10.30883,0.1
2025-05-09 11:30:00,512,55.7,8.568,232.4,402.3,6.148,8.615,235.1,401.2,8.616,229.2,402.7,6.25,10.14,602.6,98.37,16.8,285.0,728.4654,10.30883,0.1
2025-05-09 11:35:00,512,56.1,9.379,232.7,400.1,6.36,9.448,227.6,397.7,9.422,232.8,402.0,6.472,11.02,604.8,98.27,16.8,286.66666,730.05066,10.360819,0.1
2025-05-09 11:40:00,512,57.1,9.064,237.1,404.7,6.35,9.138,231.2,401.5,9.116,232.1,406.4,6.458,10.77,604.7,98.32,16.8,288.33334,731.6359,10.412808,0.1
2025-05-09 11:45:00,512,57.3,8.359,233.2,398.0,5.957,8.418,227.7,394.7,8.417,226.5,397.5,6.058,9.78,602.6,98.34,16.8,290.0,733.2212,10.464797,0.1
2025-05-09 11:50:00,512,58.0,9.654,232.0,396.3,6.6,9.69,229.0,391.4,9.697,222.0,394.7,6.72,10.6,637.4,98.21,16.8,288.66666,731.12714,10.520089,0.1
