collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,27.8,0.964,235.3,408.1,0.64,0.883,236.7,409.4,0.896,235.6,408.0,0.707,0.0,447.1,90.54,13.0,15.0,23.39807,3.396233,0.2
2025-05-09 06:05:00,512,28.2,1.075,235.2,408.4,0.707,0.988,236.9,409.6,0.987,236.1,408.6,0.782,0.0,453.2,90.39,13.033334,19.333334,31.40764,3.396233,0.23333333
2025-05-09 06:10:00,512,28.8,1.299,234.8,407.9,0.871,1.215,236.8,409.2,1.183,235.8,408.1,0.949,0.34,455.1,91.8,13.066667,23.666666,39.417213,3.396233,0.26666668
2025-05-09 06:15:00,512,29.2,1.602,235.4,408.6,1.026,1.524,237.1,409.9,1.489,236.0,408.5,1.109,0.4,463.1,92.45,13.1,28.0,47.426785,3.396233,0.3
2025-05-09 06:20:00,512,29.6,1.633,234.9,408.1,1.045,1.553,237.3,409.7,1.493,236.2,408.9,1.132,0.4,462.8,92.35,13.166667,33.0,56.22733,3.3374681,0.3
2025-05-09 06:25:00,512,30.0,1.443,235.2,408.5,0.866,1.343,237.1,409.7,1.312,236.1,408.6,0.942,0.35,459.2,91.91,13.233334,38.0,65.02787,3.278703,0.3
2025-05-09 06:30:00,512,30.6,1.61,235.4,408.4,1.026,1.53,236.7,409.4,1.479,236.0,408.7,1.108,0.4,459.2,92.6,13.3,43.0,73.828415,3.219938,0.3
2025-05-09 06:35:00,512,30.7,1.435,234.2,406.1,0.881,1.373,235.7,407.5,1.301,234.8,406.9,0.959,0.36,458.9,91.85,13.383333,48.333332,82.789665,3.1789043,0.3
2025-05-09 06:40:00,512,31.2,1.953,233.2,405.0,1.281,1.903,235.4,406.8,1.83,234.4,405.6,1.365,0.5,467.2,93.83,13.466667,53.666668,91.750916,3.1378708,0.3
2025-05-09 06:45:00,512,31.5,2.563,234.2,406.8,1.737,2.524,236.5,408.7,2.452,235.7,407.9,1.831,0.68,471.1,94.87,13.55,59.0,100.712166,3.096837,0.3
2025-05-09 06:50:00,512,31.9,3.564,233.9,406.2,2.5,3.561,236.1,407.6,3.491,234.7,406.5,2.609,0.92,475.2,95.82,13.616667,64.333336,109.193245,3.1709034,0.3
2025-05-09 06:55:00,512,32.3,4.376,236.5,409.4,3.123,4.417,235.6,409.2,4.334,237.3,409.8,3.234,1.12,479.2,96.56,13.683333,69.666664,117.674324,3.2449696,0.3
2025-05-09 07:00:00,512,32.8,5.333,234.4,406.0,3.785,5.415,233.6,406.1,5.295,235.8,406.8,3.904,1.29,479.1,96.95,13.75,75.0,126.1554,3.319036,0.3
2025-05-09 07:05:00,512,33.3,5.529,233.4,405.0,3.812,5.498,235.1,407.3,5.41,235.1,406.4,3.934,1.21,479.1,96.91,13.8,80.333336,134.2164,3.510689,0.3
2025-05-09 07:10:00,512,33.6,4.135,232.6,404.2,2.833,4.025,235.2,407.2,4.238,234.1,404.2,2.95,0.92,471.1,96.06,13.849999,85.666664,142.2774,3.7023423,0.3
2025-05-09 07:15:00,512,33.9,4.17,233.2,405.8,2.871,4.066,237.4,409.7,4.161,234.5,405.7,2.99,0.99,476.3,96.02,13.9,91.0,150.3384,3.8939953,0.3
2025-05-09 07:20:00,512,34.3,4.993,238.3,413.7,3.574,4.924,241.0,416.4,5.022,238.1,412.2,3.7,1.12,480.5,96.6,13.95,96.333336,159.78188,4.4237823,0.3
2025-05-09 07:25:00,512,34.8,4.419,236.8,412.0,3.113,4.319,240.9,415.5,4.39,237.6,411.2,3.223,1.06,479.1,96.58,14.0,101.666664,169.22534,4.9535694,0.3
2025-05-09 07:30:00,512,34.9,4.388,236.6,411.2,3.104,4.342,239.5,413.9,4.374,237.6,411.0,3.215,1.06,476.3,96.52,14.05,107.0,178.66882,5.4833565,0.3
2025-05-09 07:35:00,512,35.2,5.129,236.0,410.6,3.687,5.023,239.8,414.0,5.101,237.5,410.8,3.816,1.17,477.8,96.61,14.116667,112.333336,190.52603,5.8973556,0.3
2025-05-09 07:40:00,512,35.5,4.652,237.6,412.5,3.316,4.622,240.2,415.6,4.644,238.5,412.6,3.433,1.15,476.3,96.61,14.183333,117.666664,202.38322,6.311355,0.3
2025-05-09 07:45:00,512,35.9,5.454,237.1,412.0,3.88,5.407,240.3,415.3,5.43,238.5,412.6,4.004,1.37,479.2,96.9,14.25,123.0,214.24043,6.725354,0.3
2025-05-09 07:50:00,512,36.2,6.755,236.8,411.7,4.815,6.688,240.1,414.6,6.711,237.7,411.4,4.93,1.68,482.0,97.67,14.333333,128.0,229.17447,7.166851,0.3
2025-05-09 07:55:00,512,36.7,7.643,237.8,413.1,5.479,7.61,240.6,415.8,7.63,238.8,413.0,5.62,1.91,483.2,97.49,14.416667,133.0,244.1085,7.608348,0.3
2025-05-09 08:00:00,512,37.5,7.789,235.3,409.1,5.529,7.711,238.7,412.4,7.728,236.8,409.7,5.664,1.97,479.1,97.61,14.5,138.0,259.04254,8.049845,0.3
2025-05-09 08:05:00,512,37.7,5.981,235.0,408.2,4.242,5.916,237.5,410.8,5.995,236.1,408.1,4.378,1.56,479.2,96.89,14.6,143.0,276.3235,8.268976,0.23333335
2025-05-09 08:10:00,512,37.8,4.96,234.2,407.0,3.476,4.892,237.2,410.1,4.921,235.9,407.7,3.598,1.27,475.2,96.61,14.7,148.0,293.60446,8.488107,0.16666667
2025-05-09 08:15:00,512,38.0,3.672,235.5,408.9,2.56,3.607,238.0,411.5,3.69,236.3,408.9,2.673,0.94,471.2,95.78,14.8,153.0,310.8854,8.707238,0.1
2025-05-09 08:20:00,512,37.8,2.661,234.0,407.0,1.834,2.629,237.2,409.6,2.674,235.4,407.2,1.93,0.7,469.9,95.03,14.933333,157.66667,328.07388,8.934042,0.1
2025-05-09 08:25:00,512,38.0,2.839,234.0,406.7,1.964,2.831,236.6,409.4,2.863,235.7,407.2,2.067,0.75,471.2,95.03,15.066667,162.33333,345.26233,9.160847,0.1
2025-05-09 08:30:00,512,38.2,3.064,235.9,410.1,2.156,3.013,239.3,413.6,3.1,237.6,410.5,2.262,0.83,471.2,95.3,15.2,167.0,362.4508,9.3876505,0.1
2025-05-09 08:35:00,512,38.0,3.422,234.7,408.1,2.39,3.348,237.6,411.0,3.399,236.4,408.4,2.499,0.93,476.3,95.62,15.316667,172.0,377.49265,9.500655,0.1
2025-05-09 08:40:00,512,38.3,4.931,233.9,407.1,3.451,4.825,237.9,411.0,4.847,236.5,408.7,3.572,1.29,486.0,96.63,15.433333,177.0,392.53445,9.61366,0.1
2025-05-09 08:45:00,512,38.5,6.648,235.6,409.3,4.746,6.58,238.1,411.9,6.641,236.8,409.3,4.861,1.74,485.9,97.64,15.55,182.0,407.5763,9.726665,0.1
2025-05-09 08:50:00,512,38.9,7.716,233.7,406.7,5.458,7.642,237.2,409.7,7.686,235.4,407.0,5.589,1.92,489.9,97.64,15.666667,188.0,421.19232,9.844443,0.1
2025-05-09 08:55:00,512,39.3,7.615,237.0,412.8,5.461,7.552,240.8,416.0,7.603,239.4,413.3,5.601,1.95,483.1,97.49,15.783333,194.0,434.80835,9.962221,0.1
2025-05-09 09:00:00,512,39.8,9.336,237.9,414.3,6.742,9.257,241.7,417.3,9.318,240.0,414.8,6.905,2.35,485.8,97.64,15.9,200.0,448.42438,10.08,0.1
2025-05-09 09:05:00,512,40.4,11.508,235.4,409.3,8.235,11.475,238.0,411.7,11.521,237.0,409.3,8.421,2.82,486.0,97.79,15.966666,206.0,460.2893,10.208266,0.1
2025-05-09 09:10:00,512,41.0,11.648,236.5,411.2,8.28,11.631,239.5,414.2,11.628,238.2,411.5,8.466,2.8,487.1,97.8,16.033333,212.0,472.15424,10.336532,0.1
2025-05-09 09:15:00,512,41.4,10.779,236.5,411.5,7.707,10.744,240.2,414.4,10.8,237.6,411.2,7.881,2.58,483.2,97.79,16.1,218.0,484.01917,10.464798,0.1
2025-05-09 09:20:00,512,41.9,11.222,237.4,412.4,7.99,11.16,240.2,415.0,11.211,237.7,411.3,8.169,2.61,483.2,97.8,16.15,223.0,494.49313,10.608391,0.1
2025-05-09 09:25:00,512,42.1,13.381,236.5,411.4,9.518,13.344,239.7,413.8,13.359,237.8,411.3,9.725,3.0,487.2,97.87,16.2,228.0,504.96707,10.751984,0.1
2025-05-09 09:30:00,512,43.2,14.388,238.2,414.7,10.336,14.324,242.0,417.7,14.396,239.8,414.4,10.559,3.29,483.2,97.89,16.25,233.0,515.44104,10.8955765,0.1
2025-05-09 09:35:00,512,45.3,23.281,239.3,415.9,17.105,23.227,242.2,418.8,23.328,240.2,415.1,17.468,5.21,487.2,97.92,16.3,235.33333,523.17114,10.960419,0.1
2025-05-09 09:40:00,512,46.9,26.725,238.8,415.9,19.886,26.629,242.4,419.1,26.672,241.1,416.1,20.302,6.27,476.4,97.95,16.35,237.66667,530.90125,11.025261,0.1
2025-05-09 09:45:00,512,49.7,39.877,240.7,418.2,28.992,39.8,243.6,420.9,39.993,241.2,417.3,29.662,9.6,468.4,97.74,16.4,240.0,538.63135,11.090103,0.1
2025-05-09 09:50:00,512,50.9,25.973,236.9,411.9,18.774,25.93,239.8,414.5,25.989,238.1,411.3,19.179,6.38,457.8,97.89,16.449999,239.33333,543.29755,11.151912,0.1
2025-05-09 09:55:00,512,50.8,16.602,235.1,410.0,11.814,16.53,239.8,413.7,16.584,238.0,410.8,12.081,4.19,465.9,97.79,16.5,238.66667,547.96375,11.213721,0.1
2025-05-09 10:00:00,512,51.3,13.816,236.1,410.9,9.808,13.789,239.5,414.0,13.707,238.5,411.7,10.037,3.51,468.4,97.72,16.55,238.0,552.62994,11.27553,0.1
2025-05-09 10:05:00,512,51.4,12.826,236.4,411.2,9.114,12.797,239.3,413.5,12.795,237.6,410.7,9.328,3.33,468.4,97.7,16.6,235.66667,554.92865,11.238955,0.1
2025-05-09 10:10:00,512,51.8,16.07,236.2,411.6,11.495,16.017,240.1,414.5,16.044,238.3,411.5,11.753,4.1,479.1,97.8,16.65,233.33333,557.22736,11.20238,0.1
2025-05-09 10:15:00,512,52.3,16.407,237.6,413.4,11.736,16.322,240.6,415.6,16.413,238.8,412.8,12.0,4.07,478.0,97.8,16.7,231.0,559.52606,11.165805,0.1
