collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,513,29.8,1.869,235.2,408.1,1.322,1.935,235.9,406.5,1.913,233.6,405.6,1.448,0.22,715.5,91.3,11.45,22.0,32.649235,5.8603754,0.0
2025-05-09 06:05:00,513,30.4,1.91,235.2,408.1,1.351,1.966,235.9,406.5,1.945,233.6,404.6,1.475,0.22,723.4,91.3,11.55,27.666666,43.148685,5.8603754,0.0
2025-05-09 06:10:00,512,31.0,1.894,234.2,407.1,1.329,1.949,234.9,405.4,1.927,232.6,404.6,1.454,0.22,714.7,91.36,11.65,33.333332,53.648132,5.8603754,0.0
2025-05-09 06:15:00,512,31.6,1.945,234.2,407.1,1.371,2.004,234.9,405.4,1.977,232.6,403.6,1.492,0.22,722.2,91.4,11.75,39.0,64.14758,5.8603754,0.0
2025-05-09 06:20:00,513,32.0,2.148,234.2,407.1,1.516,2.205,234.9,405.4,2.178,232.6,404.6,1.641,0.22,722.2,92.42,11.883333,45.0,75.35858,5.841859,0.0
2025-05-09 06:25:00,513,32.4,2.245,234.2,407.1,1.579,2.3,234.9,405.4,2.286,232.6,404.6,1.708,0.22,718.5,92.4,12.016666,51.0,86.56957,5.823342,0.0
2025-05-09 06:30:00,513,32.8,2.44,234.2,407.1,1.673,2.483,234.9,405.4,2.48,232.6,403.6,1.795,0.42,726.2,93.13,12.15,57.0,97.78057,5.8048253,0.0
2025-05-09 06:35:00,513,33.2,2.621,233.2,406.1,1.787,2.678,234.9,404.4,2.649,232.6,403.6,1.919,0.42,726.2,93.07,12.283333,62.666668,109.4846,5.9134097,0.0
2025-05-09 06:40:00,513,33.6,2.776,233.2,406.1,1.936,2.836,234.9,404.4,2.824,232.6,402.6,2.073,0.42,730.2,93.46,12.416667,68.333336,121.18863,6.0219946,0.0
2025-05-09 06:45:00,513,34.2,3.318,233.2,405.9,2.285,3.358,234.9,403.3,3.337,232.6,402.9,2.438,0.42,745.0,93.72,12.55,74.0,132.89265,6.130579,0.0
2025-05-09 06:50:00,513,34.6,7.84,233.2,405.9,5.536,7.852,234.9,404.3,7.857,232.6,402.9,5.732,1.02,757.7,96.65,12.666667,79.0,144.80888,6.2470527,0.0
2025-05-09 06:55:00,512,35.2,6.196,233.2,404.9,4.344,6.192,233.9,404.2,6.211,231.6,401.9,4.511,0.82,742.0,96.28,12.783333,84.0,156.7251,6.363526,0.0
2025-05-09 07:00:00,513,36.2,14.469,232.2,403.7,10.161,14.494,233.9,401.9,14.473,231.6,400.6,10.413,1.91,766.0,97.6,12.9,89.0,168.64133,6.4799995,0.0
2025-05-09 07:05:00,512,38.0,15.604,232.6,403.9,10.972,15.613,233.7,403.6,15.601,231.5,402.6,11.242,1.91,770.0,97.6,13.0,93.333336,181.1744,6.842855,0.0
2025-05-09 07:10:00,512,39.4,16.681,234.1,406.2,11.789,16.715,234.7,404.9,16.689,232.7,405.2,12.085,2.27,777.8,97.62,13.099999,97.666664,193.70746,7.205711,0.0
2025-05-09 07:15:00,512,40.4,16.346,234.1,406.1,11.583,16.398,234.7,404.9,16.375,232.7,404.1,11.867,2.27,758.0,97.62,13.2,102.0,206.24052,7.5685663,0.0
