collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,23.7,2.075,232.4,406.9,1.365,2.128,232.8,407.3,2.072,232.6,407.7,1.469,0.0,0.0,93.42,12.35,17.0,27.158333,2.8116899,0.1
2025-05-09 06:05:00,512,24.5,2.301,232.4,406.8,1.502,2.348,232.8,407.1,2.288,232.6,406.4,1.605,0.0,0.0,94.08,12.366667,21.0,35.052383,2.8116899,0.13333334
2025-05-09 06:10:00,512,25.1,1.939,231.4,406.4,1.156,1.966,231.6,405.6,1.896,231.6,406.5,1.246,0.0,0.0,92.76,12.383333,25.0,42.946438,2.8116899,0.16666667
2025-05-09 06:15:00,512,25.9,2.109,232.4,406.5,1.295,2.154,232.6,406.6,2.072,232.6,407.3,1.398,0.0,0.0,93.02,12.4,29.0,50.84049,2.8116899,0.2
2025-05-09 06:20:00,512,26.5,2.394,232.4,407.6,1.548,2.431,232.6,407.6,2.332,232.6,407.3,1.648,0.0,0.0,93.99,12.433333,34.0,59.97564,2.8419309,0.2
2025-05-09 06:25:00,512,27.1,2.413,232.4,407.3,1.548,2.468,232.6,406.6,2.376,232.6,407.3,1.647,0.0,0.0,93.97,12.466666,39.0,69.110794,2.8721716,0.2
2025-05-09 06:30:00,512,27.7,2.78,232.4,408.3,1.806,2.813,233.6,407.8,2.74,233.6,408.4,1.91,0.0,0.0,94.48,12.5,44.0,78.24594,2.9024127,0.2
2025-05-09 06:35:00,512,28.1,2.898,231.4,405.9,1.923,2.963,231.5,405.6,2.874,231.5,406.4,2.028,0.0,0.0,94.85,12.55,49.333332,88.28002,2.9024127,0.2
2025-05-09 06:40:00,512,28.9,3.414,231.4,405.9,2.275,3.445,231.5,404.5,3.368,231.5,405.4,2.385,0.0,0.0,95.36,12.599999,54.666668,98.31411,2.9024127,0.2
2025-05-09 06:45:00,512,29.3,3.485,231.4,406.2,2.326,3.546,232.5,405.1,3.437,232.5,406.3,2.431,0.0,0.0,95.41,12.65,60.0,108.34819,2.9024127,0.2
2025-05-09 06:50:00,512,29.9,3.54,233.9,409.3,2.416,3.596,234.0,409.0,3.501,234.2,409.9,2.525,0.0,0.0,95.64,12.716666,66.333336,119.6868,2.8721716,0.2
2025-05-09 06:55:00,512,30.5,3.534,234.9,412.3,2.387,3.573,235.1,411.7,3.481,235.5,412.5,2.495,0.0,0.0,95.64,12.783334,72.666664,131.0254,2.8419309,0.2
2025-05-09 07:00:00,512,30.9,3.516,233.9,410.3,2.38,3.596,235.1,409.4,3.498,234.4,410.3,2.486,0.0,0.0,95.67,12.85,79.0,142.36401,2.8116899,0.2
2025-05-09 07:05:00,512,31.5,4.361,233.4,409.3,2.991,4.411,234.0,409.4,4.319,233.7,409.8,3.11,0.0,0.0,96.2,12.933333,85.333336,154.6543,2.739792,0.2
2025-05-09 07:10:00,512,32.1,5.129,234.5,409.4,3.536,5.175,234.0,409.2,5.117,234.9,409.6,3.666,0.0,0.0,96.64,13.016667,91.666664,166.94458,2.6678946,0.2
2025-05-09 07:15:00,512,32.7,6.961,234.5,409.3,4.878,7.021,234.1,409.2,6.954,233.9,409.5,5.015,0.0,0.0,97.34,13.1,98.0,179.23486,2.5959969,0.2
2025-05-09 07:20:00,512,33.5,8.379,235.4,412.1,5.927,8.434,235.7,412.8,8.366,235.6,412.3,6.06,0.0,0.0,97.8,13.183333,104.666664,192.84033,2.83701,0.2
2025-05-09 07:25:00,512,34.5,10.406,236.4,413.1,7.39,10.456,236.7,413.8,10.388,235.6,413.3,7.551,0.0,0.0,97.9,13.266667,111.333336,206.44582,3.078023,0.2
2025-05-09 07:30:00,512,35.7,10.145,235.4,412.3,7.159,10.186,235.7,411.5,10.113,235.6,412.4,7.315,0.0,0.0,97.84,13.35,118.0,220.05128,3.319036,0.2
2025-05-09 07:35:00,512,36.3,10.137,235.4,411.9,7.176,10.194,235.7,411.4,10.122,235.6,412.0,7.327,0.0,0.0,97.84,13.45,123.666664,233.56314,3.5381339,0.2
2025-05-09 07:40:00,512,37.1,8.589,235.4,412.1,6.063,8.646,235.7,411.4,8.581,235.6,411.9,6.194,0.0,0.0,97.9,13.55,129.33333,247.075,3.757232,0.2
2025-05-09 07:45:00,512,37.7,9.857,236.4,414.1,7.01,9.928,236.8,413.7,9.848,235.6,414.1,7.162,0.0,0.0,97.88,13.65,135.0,260.58685,3.9763298,0.2
2025-05-09 07:50:00,512,38.5,11.171,236.4,414.0,7.931,11.212,236.8,412.5,11.134,235.7,413.1,8.099,0.0,0.0,97.94,13.75,139.66667,274.7257,4.369025,0.2
2025-05-09 07:55:00,512,39.3,10.835,235.3,413.0,7.633,10.887,235.7,412.1,10.835,235.7,411.9,7.796,0.0,0.0,97.97,13.849999,144.33333,288.8646,4.76172,0.2
2025-05-09 08:00:00,512,39.7,10.149,235.3,411.4,7.18,10.203,235.7,411.1,10.149,234.7,411.9,7.333,0.0,0.0,97.84,13.95,149.0,303.00345,5.1544156,0.2
2025-05-09 08:05:00,512,40.2,9.679,235.3,411.4,6.831,9.73,235.7,411.0,9.669,234.7,411.7,6.978,0.0,0.0,97.9,14.05,152.66667,317.42606,5.678062,0.16666667
2025-05-09 08:10:00,512,40.4,8.362,235.3,412.9,5.911,8.412,235.7,411.8,8.363,235.7,412.8,6.038,0.0,0.0,97.91,14.15,156.33333,331.84863,6.201708,0.13333334
2025-05-09 08:15:00,512,40.8,9.063,235.3,412.9,6.415,9.105,235.7,411.8,9.065,235.7,412.8,6.558,0.0,0.0,97.91,14.25,160.0,346.27124,6.725354,0.1
2025-05-09 08:20:00,512,41.0,8.579,236.3,412.9,6.11,8.647,235.7,411.8,8.58,235.7,412.8,6.235,0.0,0.0,97.89,14.333333,163.0,359.59937,7.2199903,0.1
2025-05-09 08:25:00,512,41.4,9.885,235.4,412.9,7.015,9.934,235.7,412.7,9.859,235.7,413.1,7.163,0.0,0.0,97.9,14.416667,166.0,372.92746,7.714627,0.1
2025-05-09 08:30:00,512,42.0,11.468,236.5,414.7,8.211,11.51,236.7,413.3,11.458,236.7,414.6,8.385,0.0,0.0,97.94,14.5,169.0,386.25558,8.209263,0.1
2025-05-09 08:35:00,512,42.6,11.841,236.5,413.6,8.443,11.881,236.7,413.3,11.829,235.7,413.6,8.627,0.0,0.0,97.92,14.583333,172.66667,399.1981,8.70394,0.1
2025-05-09 08:40:00,512,39.6,23.059,238.5,417.8,16.702,23.132,239.7,416.9,23.089,238.1,417.6,17.012,0.0,0.0,98.18,14.666667,176.33333,412.14056,9.198618,0.1
2025-05-09 08:45:00,512,37.7,6.713,235.0,411.6,4.728,6.772,235.2,410.7,6.719,234.8,411.3,4.857,0.0,0.0,97.34,14.75,180.0,425.08307,9.6932955,0.1
2025-05-09 08:50:00,512,36.5,5.945,234.0,408.2,4.124,5.993,234.0,408.4,5.92,233.7,409.0,4.252,0.0,0.0,97.03,14.833333,183.33333,436.27475,10.072184,0.1
2025-05-09 08:55:00,512,37.9,6.954,236.5,413.4,4.934,7.013,236.7,412.6,6.96,236.4,413.0,5.067,0.0,0.0,97.33,14.916667,186.66667,447.46646,10.451071,0.1
2025-05-09 09:00:00,512,39.3,9.404,236.3,413.5,6.692,9.441,236.6,412.6,9.411,236.0,413.1,6.841,0.0,0.0,97.84,15.0,190.0,458.65814,10.829959,0.1
2025-05-09 09:05:00,512,40.3,10.901,236.1,413.5,7.748,10.951,236.5,412.0,10.896,236.0,413.0,7.917,0.0,0.0,97.85,15.066667,193.66667,469.1432,10.945774,0.06666667
2025-05-09 09:10:00,512,41.1,8.745,237.2,415.2,6.529,8.806,237.5,414.9,8.762,237.0,415.0,6.672,0.0,0.0,97.85,15.133333,197.33333,479.6282,11.06159,0.033333335
2025-05-09 09:15:00,512,41.3,7.04,236.0,414.4,5.0,7.111,236.4,412.9,7.045,237.0,413.9,5.137,0.0,0.0,97.3,15.2,201.0,490.11325,11.177405,0.0
2025-05-09 09:20:00,512,41.3,5.669,236.0,413.3,3.979,5.708,236.4,413.1,5.645,236.0,414.0,4.1,0.0,0.0,97.02,15.266666,204.0,499.5571,11.177405,0.0
2025-05-09 09:25:00,512,41.1,5.287,235.8,413.710625,3.494,5.31,236.4,412.80562499999996,5.206,236.0,413.5068749999999,3.614,0.0,0.0,96.66,15.333333,207.0,509.00092,11.177405,0.0
2025-05-09 09:30:00,512,40.9,5.611,235.8,413.710625,3.931,5.672,236.4,412.80562499999996,5.589,236.0,413.5068749999999,4.054,0.0,0.0,97.04,15.4,210.0,518.44476,11.177405,0.0
2025-05-09 09:35:00,512,40.7,5.654,235.7,413.710625,3.959,5.711,236.4,412.80562499999996,5.646,236.1,413.5068749999999,4.082,0.0,0.0,97.0,15.45,212.66667,527.195,11.06159,0.0
2025-05-09 09:40:00,512,40.5,5.012,234.7,413.710625,3.42,5.067,234.4,412.80562499999996,4.974,234.9,413.5068749999999,3.544,0.0,0.0,96.51,15.5,215.33333,535.9453,10.945774,0.0
2025-05-09 09:45:00,512,40.3,5.145,234.7,413.710625,3.533,5.192,234.4,412.80562499999996,5.097,233.9,413.5068749999999,3.659,0.0,0.0,96.48,15.55,218.0,544.69556,10.829959,0.0
2025-05-09 09:50:00,512,40.1,5.919,234.7,413.710625,4.12,5.952,235.4,412.80562499999996,5.876,234.9,413.5068749999999,4.246,0.0,0.0,96.99,15.6,220.66667,552.7563,10.714425,0.0
2025-05-09 09:55:00,512,39.9,6.3,233.7,413.710625,4.362,6.349,234.3,412.80562499999996,6.272,233.9,413.5068749999999,4.491,0.0,0.0,97.03,15.65,223.33333,560.8171,10.598891,0.0
2025-05-09 10:00:00,512,39.7,6.527,234.7,409.7,4.558,6.583,234.3,410.4,6.519,233.9,410.7,4.69,0.0,0.0,97.25,15.7,226.0,568.8778,10.483357,0.0
2025-05-09 10:05:00,512,39.7,6.625,235.7,412.1,4.668,6.679,235.3,412.4,6.637,235.9,412.9,4.8,0.0,0.0,97.28,15.766666,228.0,575.9123,10.368135,0.033333335
2025-05-09 10:10:00,512,39.5,6.814,235.7,411.0,4.791,6.863,235.3,411.2,6.809,234.9,412.1,4.924,0.0,0.0,97.28,15.833333,230.0,582.94684,10.252914,0.06666667
2025-05-09 10:15:00,512,39.5,7.088,235.7,412.0,4.997,7.142,235.3,411.2,7.096,235.9,412.5,5.136,0.0,0.0,97.3,15.9,232.0,589.9813,10.137692,0.1
2025-05-09 10:20:00,512,39.3,8.129,235.7,412.1,5.769,8.185,235.4,411.1,8.137,234.8,412.1,5.897,0.0,0.0,97.82,15.95,234.0,596.3331,10.022815,0.1
2025-05-09 10:25:00,512,39.5,11.343,234.9,412.6,8.052,11.388,235.4,411.6,11.337,234.8,412.5,8.224,0.0,0.0,97.84,15.999999,236.0,602.6849,9.907936,0.1
2025-05-09 10:30:00,512,40.3,13.038,235.9,413.7,9.289,13.095,236.4,412.6,13.038,235.8,413.3,9.479,0.0,0.0,97.99,16.05,238.0,609.0367,9.793058,0.1
2025-05-09 10:35:00,512,41.1,12.594,235.9,413.3,8.938,12.65,236.4,412.4,12.562,235.8,413.2,9.134,0.0,0.0,97.87,16.1,239.66667,616.05865,9.678563,0.1
2025-05-09 10:40:00,512,41.5,13.393,236.9,414.0,9.56,13.439,236.3,413.7,13.397,236.8,413.8,9.756,0.0,0.0,97.95,16.15,241.33333,623.08057,9.564067,0.1
2025-05-09 10:45:00,512,42.1,14.507,236.9,416.0,10.39,14.539,237.3,414.8,14.488,236.8,416.0,10.602,0.0,0.0,98.0,16.2,243.0,630.10254,9.449572,0.1
2025-05-09 10:50:00,512,37.8,15.89,237.9,417.8,11.402,15.938,238.3,416.9,15.882,237.8,417.4,11.627,0.0,0.0,98.05,16.25,244.66667,639.8104,9.335501,0.1
2025-05-09 10:55:00,512,36.4,15.494,239.0,418.8,11.156,15.531,239.3,417.9,15.474,238.9,418.7,11.376,0.0,0.0,98.05,16.300001,246.33333,649.5184,9.22143,0.1
2025-05-09 11:00:00,512,36.8,16.44,238.7,418.4,11.846,16.48,238.7,417.1,16.419,238.1,418.0,12.08,0.0,0.0,98.06,16.35,248.0,659.22626,9.107359,0.1
2025-05-09 11:05:00,512,37.3,16.111,237.6,416.1,11.527,16.161,238.7,414.9,16.097,237.0,415.5,11.753,0.0,0.0,98.12,16.4,249.33333,667.5671,9.035354,0.1
2025-05-09 11:10:00,512,37.7,15.919,238.3,416.2,11.396,15.986,238.6,414.7,15.899,237.7,415.4,11.615,0.0,0.0,98.15,16.45,250.66667,675.9079,8.963349,0.1
2025-05-09 11:15:00,512,37.7,27.293,240.4,420.7,19.949,27.335,240.7,419.5,27.267,239.0,420.3,20.315,0.0,0.0,98.21,16.5,252.0,684.2487,8.891344,0.1
2025-05-09 11:20:00,512,40.1,17.786,237.6,417.0,12.715,17.816,237.9,415.6,17.758,237.1,416.2,12.953,0.0,0.0,98.21,16.55,253.0,686.52686,8.986975,0.1
2025-05-09 11:25:00,512,39.7,15.97,236.6,415.3,11.355,16.051,237.2,414.1,15.913,236.5,414.7,11.575,0.0,0.0,98.11,16.6,254.0,688.805,9.082604,0.1
2025-05-09 11:30:00,512,39.7,17.466,237.6,416.5,12.379,17.54,237.2,415.3,17.431,236.5,415.8,12.601,0.0,0.0,98.24,16.65,255.0,691.0831,9.178235,0.1
2025-05-09 11:35:00,512,41.2,10.367,236.6,413.2,7.263,10.409,236.0,412.0,10.359,235.6,412.6,7.419,0.0,0.0,97.93,16.683332,256.66666,682.636,9.231893,0.1
2025-05-09 11:40:00,512,42.2,2.032,234.5,410.1,1.248,2.124,234.0,408.6,2.021,233.5,410.3,1.341,0.0,0.0,93.04,16.716667,258.33334,674.1889,9.28555,0.1
2025-05-09 11:45:00,512,42.2,2.222,234.4,410.4,1.382,2.335,234.0,409.4,2.232,234.7,409.9,1.475,0.0,0.0,93.69,16.75,260.0,665.74176,9.339208,0.1
2025-05-09 11:50:00,512,42.2,3.982,235.4,411.4,2.679,4.041,235.0,409.4,3.961,234.7,411.0,2.787,0.0,0.0,95.98,16.75,261.66666,641.9367,9.421385,0.1
2025-05-09 11:55:00,512,42.0,4.368,234.4,410.2,2.947,4.397,234.0,409.4,4.312,234.7,411.0,3.064,0.0,0.0,96.13,16.75,263.33334,618.1317,9.503562,0.1
2025-05-09 12:00:00,512,41.8,10.127,235.4,412.9,7.222,10.188,236.0,411.4,10.125,234.8,413.2,7.371,0.0,0.0,97.98,16.75,265.0,594.32666,9.585739,0.1
2025-05-09 12:05:00,512,38.7,25.832,239.5,419.6,18.747,25.939,239.1,417.6,25.851,238.0,418.8,19.089,0.0,0.0,98.16,16.7,266.66666,565.5952,9.788845,0.16666667
2025-05-09 12:10:00,512,37.9,25.52,239.2,418.8,18.536,25.6,239.7,416.9,25.505,238.2,418.8,18.88,0.0,0.0,98.2,16.65,268.33334,536.8637,9.991951,0.23333335
2025-05-09 12:15:00,512,37.3,17.288,237.0,414.2,12.273,17.329,237.5,412.6,17.273,236.1,414.4,12.516,0.0,0.0,98.05,16.6,270.0,508.13226,10.195057,0.3
2025-05-09 12:20:00,512,38.7,9.409,235.0,410.3,6.557,9.439,234.3,408.4,9.389,234.1,410.1,6.698,0.0,0.0,97.89,16.5,271.0,486.1694,10.376649,0.3
2025-05-09 12:25:00,512,39.3,15.728,236.9,414.2,11.226,15.788,236.4,412.7,15.688,235.9,414.2,11.447,0.0,0.0,98.06,16.4,272.0,464.2065,10.55824,0.3
2025-05-09 12:30:00,512,37.3,18.224,236.7,415.2,12.995,18.27,237.4,413.7,18.205,236.9,413.8,13.248,0.0,0.0,98.03,16.3,273.0,442.24365,10.739832,0.3
2025-05-09 12:35:00,512,37.1,19.056,235.9,413.1,13.538,19.096,235.9,411.9,19.027,235.2,413.2,13.797,0.0,0.0,98.11,16.216665,273.66666,438.66705,11.09069,0.3
2025-05-09 12:40:00,512,38.3,20.824,237.4,415.9,14.843,20.91,237.4,414.4,20.809,236.7,415.1,15.121,0.0,0.0,98.11,16.133333,274.33334,435.09045,11.441546,0.3
2025-05-09 12:45:00,512,38.6,35.448,240.4,421.3,25.654,35.591,241.0,418.9,35.468,239.9,420.0,26.121,0.0,0.0,98.15,16.05,275.0,431.51385,11.792404,0.3
2025-05-09 12:50:00,512,40.3,18.599,237.1,414.4,13.172,18.658,237.2,412.3,18.546,236.2,413.4,13.417,0.0,0.0,98.11,15.999999,275.66666,446.56204,12.047866,0.3
2025-05-09 12:55:00,512,41.5,40.299,240.6,422.3,29.353,40.427,240.8,420.1,40.272,239.5,421.0,29.913,0.0,0.0,98.16,15.95,276.33334,461.6102,12.3033285,0.3
2025-05-09 13:00:00,512,44.4,39.177,240.9,422.4,28.508,39.304,241.4,420.4,39.138,240.7,421.7,29.028,0.0,0.0,98.24,15.9,277.0,476.6584,12.55879,0.3
2025-05-09 13:05:00,512,47.2,43.689,241.8,424.9,31.965,43.816,242.4,422.6,43.698,240.7,422.6,32.508,0.0,0.0,98.28,15.916666,277.0,498.62094,12.665777,0.23333335
2025-05-09 13:10:00,512,47.4,36.7,239.9,420.9,27.087,36.806,239.6,419.7,36.675,239.0,420.3,27.558,0.0,0.0,98.24,15.933333,277.0,520.5835,12.772765,0.16666667
2025-05-09 13:15:00,512,47.4,17.873,236.5,413.7,12.729,17.918,235.8,411.7,17.865,235.7,413.3,12.966,0.0,0.0,98.17,15.95,277.0,542.5461,12.879752,0.1
2025-05-09 13:20:00,512,47.4,20.951,236.5,414.7,14.856,21.014,236.9,412.5,20.935,235.7,414.2,15.125,0.0,0.0,98.19,16.016666,276.0,560.12164,12.879752,0.1
2025-05-09 13:25:00,512,48.0,26.803,240.3,418.0,18.153,26.884,239.9,416.2,26.777,239.4,416.5,18.482,0.0,0.0,98.27,16.083332,275.0,577.69727,12.879752,0.1
2025-05-09 13:30:00,512,47.4,13.429,235.6,412.2,9.432,13.515,235.4,410.4,13.375,234.9,412.4,9.622,0.0,0.0,98.11,16.15,274.0,595.2728,12.879752,0.1
2025-05-09 13:35:00,512,50.0,12.032,236.6,414.2,8.507,12.077,236.4,412.5,12.006,235.9,413.4,8.682,0.0,0.0,97.94,16.233334,272.0,598.5598,12.879752,0.1
2025-05-09 13:40:00,512,50.8,11.91,236.6,413.9,8.455,11.966,236.4,412.2,11.903,235.9,413.7,8.638,0.0,0.0,97.96,16.316666,270.0,601.84686,12.879752,0.1
2025-05-09 13:45:00,512,51.6,11.857,236.6,413.8,8.426,11.916,236.4,412.4,11.851,235.9,414.3,8.601,0.0,0.0,97.96,16.4,268.0,605.13385,12.879752,0.1
2025-05-09 13:50:00,512,52.0,10.767,236.5,413.7,7.617,10.838,236.4,412.5,10.758,235.9,413.4,7.777,0.0,0.0,97.96,16.433332,264.33334,597.50574,12.827445,0.1
2025-05-09 13:55:00,512,52.0,10.625,237.5,415.8,7.587,10.679,237.4,414.5,10.61,236.9,415.6,7.745,0.0,0.0,97.95,16.466667,260.66666,589.8776,12.775137,0.1
2025-05-09 14:00:00,512,52.2,15.233,238.5,417.7,10.924,15.289,239.4,416.1,15.203,237.9,417.1,11.135,0.0,0.0,98.1,16.5,257.0,582.2495,12.72283,0.1
2025-05-09 14:05:00,512,46.6,16.224,239.5,419.6,11.702,16.256,239.6,417.9,16.208,239.0,419.1,11.926,0.0,0.0,98.14,16.5,253.0,570.02423,12.849953,0.13333334
