collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,26.2,0.323,236.8,408.7,0.152,0.331,235.2,407.1,0.347,233.8,406.5,0.175,0.41,214.1,86.82,13.35,18.0,30.193626,5.1919937,0.1
2025-05-09 06:05:00,512,26.9,0.317,236.1,407.8,0.149,0.324,236.1,406.8,0.34,232.4,405.8,0.169,0.29,284.7,87.92,13.366667,23.333334,40.734097,5.1919937,0.13333334
2025-05-09 06:10:00,512,27.6,0.453,239.3,412.7,0.259,0.455,238.1,410.2,0.474,234.5,409.8,0.287,0.58,241.1,90.46,13.383333,28.666666,51.274567,5.1919937,0.16666667
2025-05-09 06:15:00,512,28.1,0.623,240.2,410.8,0.389,0.628,234.9,408.9,0.644,234.6,409.3,0.423,0.83,249.6,92.12,13.4,34.0,61.815037,5.1919937,0.2
2025-05-09 06:20:00,512,28.5,0.679,241.0,414.6,0.435,0.684,241.1,412.4,0.71,232.5,410.4,0.466,0.75,298.7,93.42,13.416666,40.333332,73.81757,5.1919937,0.2
2025-05-09 06:25:00,512,29.1,0.649,236.1,410.4,0.411,0.65,236.6,410.6,0.669,238.3,410.4,0.439,0.66,322.6,93.55,13.433333,46.666668,85.820114,5.1919937,0.2
2025-05-09 06:30:00,512,29.2,0.488,238.3,412.8,0.291,0.491,238.1,412.7,0.51,238.1,411.9,0.317,0.48,314.2,92.0,13.45,53.0,97.82265,5.1919937,0.2
2025-05-09 06:35:00,512,29.7,0.487,238.0,411.4,0.286,0.489,237.7,410.4,0.508,235.2,409.2,0.312,0.47,318.7,91.56,13.483334,58.666668,109.15601,5.2930493,0.2
2025-05-09 06:40:00,512,29.8,0.616,237.3,410.3,0.38,0.617,236.2,409.5,0.637,236.1,409.1,0.407,0.63,319.1,93.17,13.516666,64.333336,120.48937,5.3941054,0.2
2025-05-09 06:45:00,512,30.1,0.823,237.5,410.5,0.533,0.823,235.9,409.4,0.845,236.1,408.8,0.568,0.86,319.3,93.95,13.55,70.0,131.82274,5.495161,0.2
2025-05-09 06:50:00,512,30.4,1.049,237.7,409.3,0.693,1.051,234.0,406.9,1.075,234.0,405.9,0.73,1.1,325.6,95.0,13.6,74.333336,141.20586,5.5417376,0.2
2025-05-09 06:55:00,512,30.7,1.098,234.6,408.4,0.729,1.098,235.5,408.0,1.117,237.0,408.0,0.766,1.2,313.3,95.13,13.65,78.666664,150.58899,5.5883145,0.2
2025-05-09 07:00:00,512,31.0,1.054,238.0,409.0,0.703,1.055,233.8,406.6,1.078,233.8,406.3,0.74,1.15,316.7,94.95,13.7,83.0,159.9721,5.634891,0.2
2025-05-09 07:05:00,512,31.2,0.947,236.8,409.1,0.624,0.947,233.0,407.8,0.966,237.8,408.5,0.658,1.0,322.5,94.79,13.75,86.0,167.8863,5.6952534,0.2
