collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,28.1,2.348,233.0,412.7,1.554,2.356,239.6,415.4,2.368,237.7,411.7,1.633,0.44,583.7,95.14,12.75,17.0,29.206734,3.8268526,0.1
2025-05-09 06:05:00,512,28.6,2.192,231.6,409.4,1.404,2.17,239.1,410.8,2.169,233.0,408.1,1.483,0.39,579.0,94.65,12.783334,21.666666,39.243122,3.8268526,0.13333334
2025-05-09 06:10:00,512,29.1,2.673,231.1,407.9,1.72,2.683,238.1,410.6,2.646,233.0,407.3,1.801,0.49,583.7,95.5,12.816667,26.333334,49.27951,3.8268526,0.16666667
2025-05-09 06:15:00,512,29.6,3.394,232.5,409.6,2.29,3.4,238.9,411.8,3.386,233.4,408.8,2.38,0.66,591.7,96.24,12.85,31.0,59.3159,3.8268526,0.2
2025-05-09 06:20:00,512,30.0,2.938,235.0,415.3,1.906,2.933,241.4,419.1,2.937,239.3,414.9,1.986,0.55,579.7,95.93,12.933333,36.0,69.4629,3.9194455,0.2
2025-05-09 06:25:00,512,30.3,2.074,234.5,414.7,1.231,2.098,241.7,418.2,2.094,238.2,414.3,1.306,0.35,577.5,94.3,13.016667,41.0,79.60989,4.012038,0.2
2025-05-09 06:30:00,512,30.7,2.128,234.8,415.8,1.252,2.128,241.3,418.9,2.144,239.6,414.6,1.329,0.36,579.9,94.2,13.1,46.0,89.75689,4.1046314,0.2
2025-05-09 06:35:00,512,31.1,2.359,234.1,414.3,1.494,2.366,240.7,418.3,2.375,239.2,413.6,1.569,0.45,575.9,95.21,13.166667,51.333332,100.056725,4.2012076,0.2
2025-05-09 06:40:00,512,31.3,2.866,234.3,413.9,1.903,2.869,239.7,417.2,2.864,238.8,413.2,1.987,0.56,587.8,95.8,13.233334,56.666668,110.35655,4.297784,0.2
2025-05-09 06:45:00,512,31.7,3.731,230.5,408.0,2.474,3.73,237.5,411.9,3.746,235.3,407.7,2.568,0.73,593.1,96.37,13.3,62.0,120.65639,4.39436,0.2
2025-05-09 06:50:00,512,32.1,3.774,225.7,402.3,2.579,3.783,236.3,409.4,3.798,232.7,401.1,2.674,0.78,593.9,96.45,13.383333,66.666664,129.02097,4.433169,0.2
2025-05-09 06:55:00,512,32.4,4.65,229.0,400.2,3.183,4.657,229.1,409.0,4.667,235.7,401.8,3.283,0.97,597.9,96.95,13.466667,71.333336,137.38553,4.471978,0.2
2025-05-09 07:00:00,512,32.7,4.883,226.6,395.9,3.331,4.894,226.8,404.9,4.906,233.3,397.7,3.432,0.98,600.1,97.07,13.55,76.0,145.7501,4.510787,0.2
2025-05-09 07:05:00,512,33.1,5.639,227.8,396.8,3.862,5.638,226.2,405.7,5.634,234.3,399.0,3.967,1.14,594.7,97.37,13.6,80.666664,153.36992,4.678598,0.23333333
2025-05-09 07:10:00,512,33.3,5.184,233.0,404.5,3.612,5.175,231.0,412.3,5.186,237.2,407.1,3.717,1.02,602.6,97.18,13.65,85.333336,160.98975,4.8464084,0.26666668
2025-05-09 07:15:00,512,33.6,5.889,231.3,401.7,4.083,5.892,229.4,410.0,5.885,236.0,404.3,4.185,1.18,600.8,97.55,13.7,90.0,168.60956,5.0142193,0.3
2025-05-09 07:20:00,512,34.0,7.593,233.9,406.4,5.351,7.595,231.8,415.0,7.6,239.0,408.5,5.469,1.59,601.1,97.84,13.733334,94.333336,176.57593,5.3219037,0.3
2025-05-09 07:25:00,512,34.5,8.702,230.4,403.0,6.103,8.715,231.7,411.5,8.714,236.4,404.8,6.209,1.8,608.6,98.29,13.766666,98.666664,184.54231,5.6295877,0.3
2025-05-09 07:30:00,512,34.9,7.264,229.5,402.0,5.065,7.266,232.5,409.6,7.276,233.8,402.7,5.187,1.49,594.6,97.65,13.8,103.0,192.50868,5.937272,0.3
2025-05-09 07:35:00,512,35.2,8.161,228.4,399.2,5.63,8.153,231.1,406.0,8.151,230.9,400.0,5.728,1.62,603.1,98.3,13.85,108.0,203.97826,6.2664275,0.3
2025-05-09 07:40:00,512,35.5,9.016,234.1,407.5,6.376,8.993,234.8,414.1,9.009,236.0,408.9,6.486,1.83,606.3,98.3,13.9,113.0,215.44783,6.5955825,0.3
2025-05-09 07:45:00,512,36.0,10.701,235.9,409.7,7.615,10.675,235.5,415.9,10.696,237.1,411.0,7.746,2.18,608.4,98.32,13.95,118.0,226.9174,6.924738,0.3
2025-05-09 07:50:00,512,36.5,10.09,234.7,408.3,7.154,10.067,235.6,415.0,10.075,236.3,409.9,7.277,2.07,607.7,98.3,14.033333,123.0,241.4753,7.2673783,0.3
2025-05-09 07:55:00,512,36.9,9.532,234.1,408.5,6.749,9.519,235.6,414.6,9.517,236.3,409.3,6.866,1.99,604.4,98.3,14.116667,128.0,256.0332,7.610019,0.3
2025-05-09 08:00:00,512,37.2,10.045,234.9,411.4,7.166,10.026,237.7,416.9,10.035,237.8,411.6,7.29,2.11,605.8,98.3,14.2,133.0,270.5911,7.9526596,0.3
