collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,27.6,0.331,234.7,410.3,0.207,0.332,237.7,409.3,0.351,236.9,409.3,0.231,0.22,537.4,89.78,10.55,19.0,35.603355,5.692099,0.0
2025-05-09 06:05:00,512,28.5,0.453,233.7,409.3,0.303,0.457,237.8,410.0,0.473,237.4,408.8,0.328,0.31,544.5,92.39,10.583333,22.666666,43.6215,5.762879,0.0
2025-05-09 06:10:00,512,29.1,0.486,236.7,411.1,0.329,0.49,237.3,410.0,0.508,237.2,410.8,0.349,0.33,549.3,94.14,10.616667,26.333334,51.639637,5.833659,0.0
2025-05-09 06:15:00,512,29.8,0.549,236.0,409.9,0.376,0.552,236.8,409.7,0.569,237.1,410.1,0.398,0.36,560.5,94.53,10.65,30.0,59.65778,5.904439,0.0
2025-05-09 06:20:00,512,30.2,0.502,237.7,411.4,0.343,0.505,237.1,409.1,0.528,236.4,411.6,0.364,0.34,552.5,94.25,10.683333,34.0,68.69711,6.0728316,0.0
2025-05-09 06:25:00,512,30.7,0.737,237.7,411.9,0.519,0.743,237.2,409.8,0.766,237.1,411.8,0.541,0.49,564.3,95.83,10.716666,38.0,77.73645,6.241225,0.0
2025-05-09 06:30:00,512,31.1,0.971,237.1,411.5,0.675,0.97,237.3,409.0,0.995,236.1,410.1,0.7,0.63,572.6,96.44,10.75,42.0,86.77579,6.4096174,0.0
2025-05-09 06:35:00,512,31.5,1.1,237.3,410.9,0.774,1.107,236.6,408.1,1.13,236.0,410.7,0.8,0.71,576.0,96.71,10.783334,46.666668,96.387276,6.565675,0.0
2025-05-09 06:40:00,512,31.9,1.131,234.8,410.4,0.795,1.131,237.4,409.5,1.151,237.4,409.3,0.821,0.73,572.6,96.74,10.816667,51.333332,105.99876,6.721732,0.0
2025-05-09 06:45:00,512,32.1,1.135,237.5,411.5,0.801,1.139,237.0,408.5,1.162,236.0,410.6,0.828,0.73,576.4,96.7,10.85,56.0,115.610245,6.8777895,0.0
2025-05-09 06:50:00,512,32.4,1.209,237.6,412.2,0.846,1.211,237.7,410.8,1.23,237.2,411.3,0.873,0.78,576.0,96.95,10.900001,61.333332,124.74953,7.1307774,0.0
2025-05-09 06:55:00,512,32.7,1.407,234.9,410.4,0.988,1.409,238.0,408.3,1.432,236.2,409.5,1.017,0.9,576.4,97.14,10.95,66.666664,133.88881,7.3837647,0.0
2025-05-09 07:00:00,512,32.9,1.596,234.2,410.3,1.129,1.6,238.1,410.2,1.614,237.9,409.7,1.16,1.0,584.5,97.32,11.0,72.0,143.02809,7.6367526,0.0
2025-05-09 07:05:00,512,33.2,1.919,236.2,410.4,1.352,1.924,237.0,409.1,1.943,236.6,410.1,1.386,1.22,580.4,97.58,11.033334,77.666664,152.10716,7.8064585,0.033333335
2025-05-09 07:10:00,512,33.6,2.252,236.1,410.4,1.591,2.258,237.0,408.8,2.279,236.3,409.7,1.62,1.43,580.8,98.2,11.066667,83.333336,161.18623,7.9761643,0.06666667
2025-05-09 07:15:00,512,34.0,2.635,236.1,410.3,1.861,2.642,236.9,409.5,2.66,237.0,410.2,1.895,1.67,580.4,98.19,11.1,89.0,170.2653,8.14587,0.1
2025-05-09 07:20:00,512,34.4,3.416,234.7,409.7,2.419,3.426,236.8,407.5,3.451,236.6,409.4,2.464,2.14,584.1,98.17,11.150001,95.0,179.30179,8.320563,0.1
2025-05-09 07:25:00,512,35.0,3.383,237.1,410.8,2.406,3.394,236.5,408.5,3.419,236.4,410.7,2.449,2.14,580.7,98.21,11.2,101.0,188.33827,8.495255,0.1
2025-05-09 07:30:00,512,35.2,3.387,237.2,410.6,2.398,3.4,236.3,407.5,3.427,235.9,410.9,2.442,2.13,584.5,98.22,11.25,107.0,197.37476,8.669949,0.1
2025-05-09 07:35:00,512,35.7,3.791,238.6,412.4,2.704,3.81,237.2,409.4,3.834,237.0,413.0,2.751,2.4,584.4,98.29,11.3,112.333336,207.08109,8.839377,0.1
2025-05-09 07:40:00,512,36.2,4.11,239.5,415.0,2.942,4.127,238.6,413.2,4.146,239.8,415.5,2.993,2.61,588.4,98.3,11.349999,117.666664,216.78743,9.008806,0.1
2025-05-09 07:45:00,512,36.5,3.042,238.4,412.2,2.155,3.054,236.9,409.8,3.081,237.5,412.9,2.194,1.93,580.7,98.19,11.4,123.0,226.49376,9.178235,0.1
2025-05-09 07:50:00,512,36.7,2.724,235.8,412.3,2.086,2.729,239.0,412.1,2.748,239.2,412.5,2.124,1.69,592.5,98.19,11.45,127.0,235.11766,9.43786,0.1
2025-05-09 07:55:00,512,36.7,4.205,237.6,413.7,3.004,4.23,237.9,412.9,4.242,241.3,415.0,3.054,2.67,588.4,98.37,11.5,131.0,243.74155,9.697483,0.1
2025-05-09 08:00:00,512,37.2,2.455,234.8,407.2,1.728,2.463,235.0,405.4,2.486,234.5,407.3,1.76,1.54,580.5,98.22,11.55,135.0,252.36545,9.957108,0.1
2025-05-09 08:05:00,512,37.3,4.182,239.6,414.4,3.003,4.2,238.5,412.5,4.214,238.9,415.3,3.055,2.61,596.5,98.29,11.583333,138.33333,260.9702,10.218016,0.1
2025-05-09 08:10:00,512,37.8,3.889,238.8,412.6,2.811,3.908,237.4,409.2,3.926,236.7,413.1,2.86,2.42,592.5,98.31,11.616667,141.66667,269.57498,10.478924,0.1
2025-05-09 08:15:00,512,38.4,5.179,240.1,415.2,3.694,5.197,238.9,413.6,5.214,239.8,416.3,3.754,3.27,592.5,98.4,11.65,145.0,278.17975,10.739832,0.1
2025-05-09 08:20:00,512,38.8,2.399,238.1,411.3,1.785,2.408,236.5,409.0,2.433,237.0,412.2,1.817,1.55,576.4,98.22,11.683333,148.66667,287.80432,11.001762,0.1
2025-05-09 08:25:00,512,38.6,2.887,236.4,412.9,1.862,2.895,238.8,412.8,2.908,239.7,412.8,1.897,1.84,579.7,98.19,11.716666,152.33333,297.42892,11.263693,0.1
2025-05-09 08:30:00,512,39.0,5.385,237.9,415.3,3.964,5.403,240.3,414.2,5.416,240.7,415.8,4.029,3.4,588.4,98.39,11.75,156.0,307.0535,11.525623,0.1
2025-05-09 08:35:00,512,39.1,5.835,238.8,414.7,4.193,5.851,239.3,413.1,5.869,239.3,415.0,4.259,3.63,596.5,98.46,11.783334,160.66667,318.03128,11.694334,0.1
2025-05-09 08:40:00,512,40.0,6.198,240.0,416.8,4.459,6.21,240.8,415.6,6.232,240.5,417.2,4.53,3.92,588.7,98.44,11.816667,165.33333,329.00903,11.863046,0.1
2025-05-09 08:45:00,512,40.7,4.379,241.2,416.1,3.295,4.395,239.7,412.1,4.432,237.3,416.0,3.349,2.76,588.4,98.39,11.85,170.0,339.98682,12.031756,0.1
2025-05-09 08:50:00,512,40.3,7.419,241.9,418.0,5.375,7.437,241.0,415.0,7.474,239.0,417.7,5.459,4.74,584.9,98.45,11.900001,175.66667,353.33572,12.22117,0.1
2025-05-09 08:55:00,512,41.6,7.604,242.8,419.0,5.511,7.635,241.4,415.0,7.678,239.5,419.7,5.598,4.84,588.3,98.45,11.95,181.33333,366.6846,12.410584,0.1
2025-05-09 09:00:00,512,42.9,8.007,242.2,419.5,5.795,8.031,242.8,416.4,8.066,239.7,419.4,5.885,5.12,584.5,98.46,12.0,187.0,380.0335,12.599998,0.1
2025-05-09 09:05:00,512,44.0,8.7,237.6,415.7,6.242,8.715,241.2,414.3,8.734,239.8,414.7,6.34,5.51,584.6,98.45,12.066667,193.33333,394.70737,12.696602,0.06666667
2025-05-09 09:10:00,512,45.2,9.055,243.1,421.5,6.587,9.082,243.6,419.3,9.108,242.1,421.8,6.693,5.82,584.5,98.43,12.133333,199.66667,409.38123,12.793206,0.033333335
2025-05-09 09:15:00,512,46.4,9.785,243.8,422.5,7.143,9.812,244.0,420.0,9.839,242.1,422.0,7.256,6.33,580.4,98.44,12.2,206.0,424.05508,12.88981,0.0
2025-05-09 09:20:00,512,47.9,10.223,242.2,420.1,7.42,10.25,242.2,418.1,10.274,241.6,419.4,7.537,6.53,584.1,98.45,12.283333,212.0,437.6573,12.987566,0.0
2025-05-09 09:25:00,512,47.6,5.151,240.2,417.3,3.852,5.166,241.0,416.8,5.179,241.1,417.2,3.914,3.28,581.0,98.42,12.366667,218.0,451.2595,13.085323,0.0
2025-05-09 09:30:00,512,45.8,4.384,238.9,413.2,3.108,4.401,237.7,411.2,4.423,238.2,413.6,3.159,2.77,584.1,98.37,12.45,224.0,464.8617,13.18308,0.0
2025-05-09 09:35:00,512,45.0,4.563,239.1,412.9,3.253,4.58,237.1,410.4,4.607,237.5,412.9,3.306,2.88,580.4,98.37,12.533333,228.66667,475.70145,13.215728,0.0
2025-05-09 09:40:00,512,44.7,4.379,238.8,412.7,3.124,4.394,237.1,410.4,4.42,237.7,412.9,3.176,2.77,580.0,98.34,12.616667,233.33333,486.54117,13.248375,0.0
2025-05-09 09:45:00,512,44.2,4.803,236.5,412.9,3.428,4.81,238.4,411.1,4.833,238.6,412.1,3.484,3.01,584.4,98.38,12.7,238.0,497.38092,13.281023,0.0
2025-05-09 09:50:00,512,44.0,5.021,235.5,413.4,3.581,5.03,239.8,412.7,5.043,239.9,412.8,3.639,3.16,584.1,98.4,12.783333,242.0,505.47958,13.382326,0.0
2025-05-09 09:55:00,512,44.7,6.555,239.3,416.0,5.292,6.581,240.8,413.9,6.599,239.3,416.4,5.375,4.19,588.4,98.45,12.866667,246.0,513.57825,13.483629,0.0
2025-05-09 10:00:00,512,45.2,6.518,242.4,419.3,5.112,6.531,241.4,416.0,6.565,239.9,418.5,5.193,4.06,591.7,98.44,12.95,250.0,521.6769,13.584932,0.0
2025-05-09 10:05:00,512,44.6,6.07,241.0,416.4,4.348,6.087,239.6,412.9,6.122,238.2,415.8,4.417,3.84,584.3,98.45,13.016666,252.66667,527.7304,13.687129,0.033333335
2025-05-09 10:10:00,512,45.7,8.218,242.9,419.6,6.831,8.233,241.9,415.4,8.279,238.4,418.0,6.937,5.11,592.7,98.46,13.083333,255.33333,533.7839,13.789326,0.06666667
2025-05-09 10:15:00,512,45.7,9.289,244.2,421.0,6.533,9.307,242.2,415.7,9.366,238.8,419.5,6.636,5.85,592.2,98.44,13.15,258.0,539.8374,13.891522,0.1
2025-05-09 10:20:00,512,45.2,5.068,237.4,409.2,3.552,5.079,234.9,403.8,5.129,232.3,407.8,3.61,3.18,576.8,98.41,13.216666,260.33334,546.2246,14.056513,0.1
2025-05-09 10:25:00,512,47.7,13.126,246.2,424.4,9.537,13.144,244.3,418.7,13.234,240.5,423.1,9.693,8.24,592.0,98.39,13.283334,262.66666,552.6118,14.221503,0.1
2025-05-09 10:30:00,512,48.3,7.003,239.9,413.4,4.971,7.023,237.6,408.3,7.072,235.2,412.7,5.052,4.46,576.3,98.4,13.35,265.0,558.999,14.386494,0.1
2025-05-09 10:35:00,512,47.3,6.533,236.8,412.4,4.65,6.545,238.3,410.6,6.568,237.5,411.7,4.726,4.09,584.4,98.39,13.400001,265.66666,567.4034,14.488996,0.1
2025-05-09 10:40:00,512,48.1,9.821,242.1,418.3,7.023,9.844,240.3,414.8,9.889,239.8,418.0,7.132,6.32,576.1,98.46,13.45,266.33334,575.80774,14.591497,0.1
2025-05-09 10:45:00,512,48.7,7.616,240.7,415.6,5.45,7.633,238.7,411.1,7.677,237.2,414.6,5.538,4.86,576.2,98.41,13.5,267.0,584.2121,14.693999,0.1
2025-05-09 10:50:00,512,48.4,7.534,242.5,419.3,5.461,7.559,241.6,416.2,7.593,240.2,419.1,5.549,4.83,579.9,98.41,13.533334,266.33334,593.94684,14.655629,0.1
2025-05-09 10:55:00,512,48.4,6.407,239.5,416.8,4.629,6.423,240.9,414.0,6.451,239.3,415.9,4.706,4.09,580.3,98.38,13.566667,265.66666,603.6815,14.61726,0.1
2025-05-09 11:00:00,512,47.3,5.186,240.6,416.6,3.74,5.203,240.0,415.1,5.224,239.9,416.6,3.801,3.31,580.3,98.39,13.6,265.0,613.41626,14.57889,0.1
2025-05-09 11:05:00,512,47.1,9.579,242.7,422.9,6.315,9.598,244.2,419.5,9.64,242.7,421.5,6.414,6.11,587.9,98.46,13.583334,263.33334,624.13617,14.280838,0.1
2025-05-09 11:10:00,512,52.9,14.856,248.2,428.4,10.996,14.915,245.8,424.3,14.926,245.8,428.8,11.182,9.57,588.6,98.34,13.566667,261.66666,634.85614,13.982787,0.1
2025-05-09 11:15:00,512,56.8,14.856,247.7,428.2,10.489,14.912,246.2,425.0,14.925,245.9,428.5,10.67,9.29,606.8,98.3,13.55,260.0,645.57605,13.684735,0.1
2025-05-09 11:20:00,512,58.2,14.89,247.0,427.9,11.0,14.945,246.2,424.0,14.958,245.0,426.9,11.182,9.41,598.7,98.37,13.516666,258.33334,655.59674,13.379353,0.1
2025-05-09 11:25:00,512,60.8,14.892,245.8,428.5,10.996,14.951,247.6,423.8,14.96,244.6,426.1,11.178,9.2,598.1,98.37,13.483334,256.66666,665.61743,13.073969,0.1
2025-05-09 11:30:00,512,62.7,14.901,248.8,429.2,10.995,14.965,246.9,421.9,14.97,241.7,426.3,11.179,9.46,595.4,98.36,13.45,255.0,675.6381,12.768586,0.1
2025-05-09 11:35:00,512,64.3,14.839,249.1,430.2,10.996,14.9,248.1,424.6,14.907,243.3,428.2,11.185,9.34,603.1,98.31,13.433333,254.33333,684.9621,12.41562,0.1
2025-05-09 11:40:00,512,64.7,14.984,246.7,427.7,10.241,15.046,246.9,420.1,15.052,240.4,423.8,10.414,10.06,561.6,98.34,13.416666,253.66667,694.286,12.0626545,0.1
2025-05-09 11:45:00,512,64.9,9.642,244.5,423.5,6.523,9.647,245.0,417.4,9.717,238.7,420.6,6.629,6.65,541.9,98.39,13.4,253.0,703.61,11.709688,0.1
2025-05-09 11:50:00,512,66.2,14.921,247.8,428.0,11.0,14.986,247.5,422.0,14.994,241.1,425.8,11.189,9.4,599.8,98.31,13.45,253.66667,714.915,11.555379,0.1
2025-05-09 11:55:00,512,67.6,14.94,248.2,426.4,10.998,15.004,244.4,421.4,15.011,242.9,426.4,11.188,9.3,606.6,98.3,13.5,254.33333,726.2199,11.401069,0.1
2025-05-09 12:00:00,512,65.6,7.728,243.2,418.0,5.516,7.725,241.3,411.8,7.796,234.2,415.1,5.606,5.16,554.0,98.4,13.55,255.0,737.5249,11.246759,0.1
2025-05-09 12:05:00,512,61.7,6.247,239.6,413.8,4.463,6.252,238.0,407.8,6.305,234.1,411.5,4.534,4.04,566.7,98.44,13.7,255.66667,747.12585,11.125731,0.1
2025-05-09 12:10:00,512,59.5,5.053,240.3,414.7,3.648,5.059,239.1,410.5,5.097,235.5,413.3,3.707,3.25,570.8,98.41,13.85,256.33334,756.72687,11.0047035,0.1
2025-05-09 12:15:00,512,56.8,3.057,237.9,410.9,2.177,3.065,236.5,406.5,3.099,233.8,409.6,2.216,1.97,566.5,98.26,14.0,257.0,766.3278,10.883676,0.1
2025-05-09 12:20:00,512,54.3,3.115,235.2,409.7,2.184,3.116,236.8,406.4,3.147,234.7,408.0,2.223,1.97,574.2,98.21,14.216666,257.66666,771.5645,10.7543545,0.1
2025-05-09 12:25:00,512,52.8,4.499,238.0,410.8,3.184,4.509,235.9,405.0,4.557,233.1,409.1,3.237,2.81,578.7,98.39,14.433333,258.33334,776.80115,10.625034,0.1
2025-05-09 12:30:00,512,52.0,7.637,241.5,417.6,5.024,7.654,240.6,412.1,7.706,236.9,415.8,5.101,4.75,582.6,98.49,14.65,259.0,782.03784,10.495713,0.1
2025-05-09 12:35:00,512,52.7,8.947,241.8,417.9,6.426,8.965,240.9,412.9,9.025,237.4,416.5,6.529,5.7,578.4,98.42,14.883333,259.33334,779.60187,10.5407,0.1
2025-05-09 12:40:00,512,52.6,8.998,241.9,417.4,6.4,9.02,240.3,411.4,9.09,236.7,416.6,6.503,5.73,578.4,98.42,15.116667,259.66666,777.16583,10.585686,0.1
2025-05-09 12:45:00,512,54.3,9.165,243.6,422.1,6.74,9.192,242.8,419.2,9.229,242.8,422.0,6.849,5.96,574.2,98.41,15.35,260.0,774.72986,10.630672,0.1
2025-05-09 12:50:00,512,52.8,7.489,238.1,416.4,5.307,7.499,240.9,414.4,7.527,240.5,415.4,5.391,4.76,578.2,98.43,15.483334,259.66666,762.9965,10.85328,0.1
2025-05-09 12:55:00,512,53.6,11.415,243.0,423.1,7.885,11.41,245.7,418.3,11.482,239.7,420.4,8.015,7.48,566.5,98.37,15.616667,259.33334,751.2632,11.075888,0.1
2025-05-09 13:00:00,512,53.2,7.948,242.5,418.1,5.703,7.961,241.5,411.8,8.026,235.4,416.5,5.795,5.14,570.7,98.41,15.75,259.0,739.52985,11.298495,0.1
