collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,22.3,0.686,229.5,390.7,0.548,0.74,224.4,388.1,0.704,221.9,390.0,0.618,0.0,660.8,88.71,13.35,18.0,31.311253,5.634891,0.0
2025-05-09 06:05:00,512,22.7,0.95,230.3,398.0,0.54,0.949,228.8,395.9,0.942,228.8,397.4,0.611,0.0,659.0,88.46,13.366667,23.333334,42.68026,5.634891,0.033333335
2025-05-09 06:10:00,512,23.3,1.136,231.9,396.5,0.674,1.154,225.1,393.6,1.125,229.6,397.8,0.743,0.31,671.3,90.22,13.383333,28.666666,54.049267,5.634891,0.06666667
2025-05-09 06:15:00,512,23.9,2.231,231.6,397.7,1.479,2.24,228.1,396.6,2.216,229.5,398.2,1.585,0.51,698.5,93.29,13.4,34.0,65.418274,5.634891,0.1
2025-05-09 06:20:00,512,24.3,3.431,232.4,398.3,2.337,3.444,226.9,396.3,3.421,230.6,399.2,2.457,0.91,710.5,95.19,13.45,40.333332,78.12634,5.7429476,0.1
2025-05-09 06:25:00,512,24.9,3.139,230.8,398.3,2.112,3.158,229.9,398.0,3.116,230.1,399.2,2.237,0.91,709.2,94.83,13.5,46.666668,90.83442,5.8510036,0.1
2025-05-09 06:30:00,512,25.3,2.478,230.6,397.4,1.668,2.516,227.8,396.3,2.479,230.5,398.1,1.777,0.71,702.5,93.86,13.55,53.0,103.54249,5.95906,0.1
2025-05-09 06:35:00,512,25.7,2.65,230.4,396.6,1.791,2.683,227.3,395.4,2.638,230.4,396.0,1.897,0.71,698.5,94.2,13.6,58.666668,115.56309,6.0684166,0.1
2025-05-09 06:40:00,512,26.1,3.276,229.7,395.3,2.196,3.279,230.1,394.5,3.256,224.8,394.0,2.307,0.91,705.2,94.94,13.65,64.333336,127.583694,6.1777735,0.1
2025-05-09 06:45:00,512,26.5,3.178,229.9,397.2,2.129,3.178,228.5,395.6,3.149,228.5,397.7,2.243,0.91,710.5,94.73,13.7,70.0,139.6043,6.28713,0.1
2025-05-09 06:50:00,512,27.1,3.409,229.0,396.2,2.322,3.451,228.6,395.6,3.407,229.1,397.3,2.432,0.91,706.5,95.17,13.75,74.333336,149.66553,6.3547506,0.1
2025-05-09 06:55:00,512,27.3,3.209,228.8,396.3,2.164,3.23,226.8,394.7,3.199,229.5,397.5,2.281,0.91,710.5,94.92,13.8,78.666664,159.72676,6.4223714,0.1
2025-05-09 07:00:00,512,27.7,2.833,229.1,394.4,1.92,2.873,225.8,392.9,2.847,228.4,394.7,2.03,0.91,707.7,94.57,13.85,83.0,169.788,6.489992,0.1
2025-05-09 07:05:00,512,28.1,3.122,229.1,396.0,2.122,3.165,225.8,395.2,3.109,230.5,397.0,2.236,0.91,714.5,94.98,13.916667,85.666664,178.0175,6.6842875,0.1
2025-05-09 07:10:00,512,28.3,3.648,231.6,396.2,2.484,3.686,228.4,393.9,3.645,223.3,394.4,2.601,0.91,702.5,95.32,13.983334,88.333336,186.24702,6.8785825,0.1
2025-05-09 07:15:00,512,28.7,4.989,227.4,396.2,3.441,5.015,230.8,396.5,4.99,227.7,396.6,3.578,1.32,719.8,96.15,14.05,91.0,194.47653,7.072878,0.1
2025-05-09 07:20:00,512,29.3,7.129,232.7,403.1,5.022,7.144,235.2,404.3,7.13,232.8,403.9,5.16,1.72,726.5,97.31,14.116667,93.666664,203.41959,7.260836,0.1
2025-05-09 07:25:00,512,29.7,7.802,232.9,403.3,5.899,7.819,233.5,403.8,7.826,232.9,404.1,6.053,2.0,722.5,97.46,14.183333,96.333336,212.36263,7.4487944,0.1
2025-05-09 07:30:00,512,30.3,6.746,231.8,401.7,4.726,6.761,232.9,403.3,6.758,232.4,402.7,4.851,1.89,722.5,97.32,14.25,99.0,221.30568,7.6367526,0.1
2025-05-09 07:35:00,512,30.7,8.046,231.3,402.9,5.671,8.052,233.5,403.3,8.043,234.3,404.9,5.825,2.15,730.5,97.32,14.333333,102.333336,231.99553,7.861583,0.1
2025-05-09 07:40:00,512,31.3,8.728,232.5,402.0,6.151,8.743,234.4,401.3,8.729,229.0,401.6,6.316,2.28,743.7,97.36,14.416667,105.666664,242.6854,8.086414,0.1
2025-05-09 07:45:00,512,31.7,7.061,232.7,403.1,4.956,7.073,233.3,404.0,7.06,233.0,404.5,5.088,1.78,726.5,97.31,14.5,109.0,253.37524,8.311245,0.1
2025-05-09 07:50:00,512,32.1,10.601,227.6,398.6,7.399,10.612,231.3,399.8,10.602,232.2,399.3,7.599,2.59,734.5,97.41,14.583333,113.0,266.12823,8.54083,0.1
2025-05-09 07:55:00,512,33.1,25.704,231.4,404.5,18.112,25.68,234.4,405.0,25.674,234.6,405.4,18.523,6.41,745.2,97.82,14.666667,117.0,278.88126,8.770415,0.1
2025-05-09 08:00:00,512,36.3,23.363,232.7,402.0,16.343,23.381,229.3,400.7,23.323,234.3,403.3,16.697,5.91,738.5,97.82,14.75,121.0,291.63425,9.0,0.1
2025-05-09 08:05:00,512,36.5,12.344,228.7,398.4,8.566,12.357,230.2,398.9,12.343,231.3,399.6,8.783,3.29,723.8,97.54,14.833333,125.333336,305.72714,9.248877,0.13333334
2025-05-09 08:10:00,512,36.4,10.441,227.2,397.7,7.232,10.446,230.7,398.9,10.426,232.3,398.9,7.425,2.89,730.5,97.37,14.916667,129.66667,319.82004,9.497754,0.16666667
2025-05-09 08:15:00,512,36.4,10.319,228.4,395.5,7.135,10.322,228.9,396.3,10.314,229.0,396.7,7.328,2.68,726.5,97.37,15.0,134.0,333.91293,9.746631,0.2
2025-05-09 08:20:00,512,36.6,10.494,228.5,396.2,7.272,10.519,230.9,397.5,10.495,226.9,398.8,7.469,2.68,731.8,97.37,15.083333,138.66667,348.98834,9.996325,0.2
2025-05-09 08:25:00,512,36.6,11.055,229.6,398.1,7.697,11.056,229.5,398.7,11.034,234.1,401.4,7.89,2.88,730.5,97.52,15.166667,143.33333,364.06378,10.246019,0.2
2025-05-09 08:30:00,512,36.9,11.914,229.9,396.7,8.274,11.93,228.2,396.5,11.899,231.3,399.4,8.483,3.08,734.5,97.52,15.25,148.0,379.1392,10.495713,0.2
2025-05-09 08:35:00,512,36.9,11.121,229.9,397.1,7.715,11.13,228.6,395.0,11.107,230.9,399.6,7.904,3.08,730.5,97.52,15.333333,152.66667,393.4685,10.765219,0.2
2025-05-09 08:40:00,512,37.1,11.365,229.6,398.2,7.894,11.381,230.0,397.5,11.353,230.1,399.8,8.089,2.87,730.5,97.52,15.416667,157.33333,407.7978,11.034723,0.2
2025-05-09 08:45:00,512,37.1,10.518,230.6,397.8,7.307,10.553,229.0,398.1,10.51,231.8,400.0,7.503,2.87,730.5,97.37,15.5,162.0,422.1271,11.304229,0.2
2025-05-09 08:50:00,512,37.2,9.963,229.2,397.1,6.903,9.978,226.4,396.1,9.952,232.2,399.7,7.086,2.67,730.5,97.37,15.566667,167.0,436.75635,11.561074,0.2
2025-05-09 08:55:00,512,37.2,10.034,229.3,398.5,6.979,10.046,229.1,396.6,10.023,234.4,398.8,7.161,2.67,730.5,97.37,15.633333,172.0,451.38556,11.817921,0.2
2025-05-09 09:00:00,512,37.0,8.95,232.4,398.7,6.214,8.964,230.7,396.4,8.931,227.1,398.3,6.378,2.47,730.5,97.37,15.7,177.0,466.0148,12.074766,0.2
2025-05-09 09:05:00,512,37.0,9.906,228.4,400.0,6.938,9.916,231.2,400.8,9.898,234.0,402.0,7.124,2.47,730.5,97.37,15.733334,181.66667,479.9153,12.215417,0.16666667
2025-05-09 09:10:00,512,37.0,9.509,230.0,398.9,6.632,9.507,230.5,400.5,9.497,234.5,401.4,6.802,2.66,738.5,97.38,15.766666,186.33333,493.81583,12.356069,0.13333334
2025-05-09 09:15:00,512,37.0,9.332,228.7,399.5,6.521,9.352,231.3,400.5,9.341,234.1,401.2,6.698,2.46,738.5,97.38,15.8,191.0,507.71634,12.496719,0.1
2025-05-09 09:20:00,512,36.8,11.05,228.8,400.2,7.755,11.062,233.8,402.1,11.041,234.2,402.8,7.95,2.86,734.5,97.53,15.816667,195.66667,521.5826,12.522566,0.1
2025-05-09 09:25:00,512,40.8,38.632,236.6,410.6,27.642,38.601,236.3,412.0,38.558,240.9,413.2,28.256,10.13,730.5,97.81,15.833334,200.33333,535.4488,12.548413,0.1
2025-05-09 09:30:00,512,42.4,32.438,233.3,408.1,23.301,32.389,237.3,409.9,32.372,238.0,410.2,23.818,7.67,734.4,97.86,15.85,205.0,549.315,12.57426,0.1
2025-05-09 09:35:00,512,43.6,38.146,237.5,411.2,27.267,38.164,240.6,410.4,38.16,232.4,409.5,27.878,10.13,730.5,97.85,15.866667,209.0,562.4659,12.603361,0.1
2025-05-09 09:40:00,512,44.3,11.72,229.4,398.2,7.302,11.73,232.2,398.3,11.721,233.2,401.2,7.5,3.51,718.3,97.36,15.883333,213.0,575.6167,12.6324625,0.1
2025-05-09 09:45:00,512,43.6,37.855,235.9,409.8,26.987,37.822,237.6,410.4,37.82,236.4,410.6,27.58,10.08,730.5,97.83,15.9,217.0,588.7676,12.661564,0.1
2025-05-09 09:50:00,512,43.7,37.638,236.5,410.8,26.957,37.636,238.3,411.2,37.609,238.2,411.4,27.54,10.07,723.7,97.83,15.916666,220.66667,602.22943,12.693853,0.1
2025-05-09 09:55:00,512,43.9,38.457,235.3,409.8,27.48,38.441,235.7,409.2,38.386,237.1,410.5,28.081,10.28,714.5,97.93,15.933333,224.33333,615.6912,12.726143,0.1
2025-05-09 10:00:00,512,44.8,38.916,237.4,410.8,27.813,38.932,236.9,410.1,38.847,238.0,411.5,28.414,10.26,719.7,97.93,15.95,228.0,629.1531,12.758432,0.1
2025-05-09 10:05:00,512,45.4,39.217,237.6,410.7,28.071,39.233,234.8,410.5,39.142,240.0,412.0,28.685,10.47,718.5,97.93,16.0,231.0,641.56683,12.793838,0.1
2025-05-09 10:10:00,512,46.2,39.783,238.1,409.7,28.388,39.747,232.5,409.4,39.675,239.3,412.1,28.994,10.69,714.5,97.83,16.05,234.0,653.9806,12.829244,0.1
2025-05-09 10:15:00,512,47.0,40.426,238.0,411.1,28.929,40.389,235.0,410.9,40.355,239.7,412.9,29.55,10.69,717.3,97.83,16.1,237.0,666.39435,12.864649,0.1
2025-05-09 10:20:00,512,47.8,40.543,237.1,409.8,28.958,40.545,235.3,410.1,40.479,238.8,412.2,29.579,10.91,694.5,97.83,16.15,240.0,676.7515,12.832628,0.1
2025-05-09 10:25:00,512,48.3,40.937,237.9,411.1,29.296,40.942,235.5,410.6,40.87,239.0,412.9,29.925,11.15,686.5,97.83,16.2,243.0,687.10876,12.800607,0.1
2025-05-09 10:30:00,512,49.1,41.192,235.1,409.1,29.451,41.122,235.8,410.8,41.086,240.3,411.9,30.08,10.88,690.5,97.83,16.25,246.0,697.46594,12.768586,0.1
2025-05-09 10:35:00,512,49.9,42.159,236.3,408.9,30.0,42.191,235.4,408.0,42.2,235.2,408.8,30.659,10.93,694.8,97.93,16.316668,248.33333,704.0891,12.753334,0.1
2025-05-09 10:40:00,512,50.4,42.131,236.5,409.2,30.0,42.161,235.9,408.2,42.154,234.7,409.8,30.64,11.31,665.5,97.93,16.383333,250.66667,710.7123,12.738082,0.1
2025-05-09 10:45:00,512,50.8,42.029,238.2,409.4,30.0,42.102,235.7,410.9,42.069,234.7,413.2,30.659,11.03,683.4,97.93,16.45,253.0,717.33545,12.72283,0.1
2025-05-09 10:50:00,512,51.0,41.663,239.1,412.4,30.0,41.691,236.6,412.8,41.672,242.0,414.8,30.659,11.03,671.1,97.93,16.483334,255.33333,720.24536,12.66815,0.1
2025-05-09 10:55:00,512,51.3,41.648,240.3,413.3,30.0,41.68,237.3,413.1,41.659,239.3,414.1,30.637,11.03,667.8,97.93,16.516666,257.66666,723.1553,12.61347,0.1
2025-05-09 11:00:00,512,51.8,41.552,240.9,414.2,30.0,41.592,235.2,414.2,41.573,241.6,416.8,30.637,11.03,657.2,97.93,16.55,260.0,726.0652,12.55879,0.1
2025-05-09 11:05:00,512,52.0,41.588,239.6,412.0,30.0,41.633,233.7,412.9,41.616,242.5,416.5,30.659,11.03,661.4,97.83,16.566666,261.66666,725.9528,12.510352,0.1
2025-05-09 11:10:00,512,52.3,41.525,241.0,413.7,30.0,41.567,235.5,414.0,41.54,242.9,416.4,30.659,10.83,659.6,97.83,16.583334,263.33334,725.8405,12.461915,0.1
2025-05-09 11:15:00,512,52.0,41.485,242.6,414.0,29.975,41.474,234.2,414.5,41.356,243.5,416.6,30.612,10.32,643.7,97.93,16.6,265.0,725.72815,12.413477,0.1
2025-05-09 11:20:00,512,52.5,41.61,239.8,413.4,29.999,41.64,237.4,414.0,41.617,239.9,413.7,30.662,9.93,646.8,97.83,16.6,266.33334,724.95776,12.270047,0.1
2025-05-09 11:25:00,512,53.6,24.078,236.4,406.9,16.949,24.102,232.2,406.3,24.049,237.1,408.4,17.3,6.66,609.2,97.97,16.6,267.66666,724.18744,12.126617,0.1
2025-05-09 11:30:00,512,54.9,21.766,234.5,405.9,15.411,21.798,232.1,404.3,21.757,234.9,406.7,15.74,5.69,721.2,97.97,16.6,269.0,723.41705,11.983188,0.1
2025-05-09 11:35:00,512,51.1,41.73,237.4,412.5,30.0,41.782,237.9,413.1,41.736,240.3,413.5,30.691,9.19,746.5,97.75,16.583334,270.0,723.66504,11.853089,0.1
2025-05-09 11:40:00,512,51.5,41.528,238.6,415.0,30.0,41.578,240.6,415.3,41.54,241.3,415.4,30.659,7.73,742.5,97.85,16.566666,271.0,723.913,11.722992,0.1
2025-05-09 11:45:00,512,52.1,41.456,238.8,414.9,29.997,41.487,238.4,414.8,41.471,243.0,416.4,30.658,7.83,718.5,97.85,16.55,272.0,724.161,11.592894,0.1
2025-05-09 11:50:00,512,52.6,41.424,239.4,415.5,29.998,41.457,239.9,416.8,41.428,242.2,416.2,30.636,8.48,662.5,98.01,16.55,272.66666,724.7505,11.57047,0.1
2025-05-09 11:55:00,512,53.2,34.29,238.8,414.0,24.813,34.338,238.0,413.3,34.287,240.5,413.9,25.317,6.41,676.2,98.01,16.55,273.33334,725.33997,11.548047,0.1
2025-05-09 12:00:00,512,53.4,19.607,236.1,408.2,13.872,19.613,234.0,407.9,19.586,235.5,408.2,14.127,5.06,618.5,98.12,16.55,274.0,725.92944,11.525623,0.1
2025-05-09 12:05:00,512,53.2,41.677,238.1,413.2,30.0,41.719,237.2,413.1,41.7,239.4,413.8,30.662,9.37,658.4,97.89,16.55,274.0,725.8535,11.510601,0.1
2025-05-09 12:10:00,512,53.4,41.744,237.7,412.4,30.0,41.786,236.7,412.3,41.758,241.1,412.5,30.691,8.6,698.6,97.83,16.55,274.0,725.77765,11.49558,0.1
2025-05-09 12:15:00,512,52.1,40.127,236.5,406.1,28.654,40.145,236.2,407.3,40.107,240.3,408.4,29.293,8.15,702.6,97.9,16.55,274.0,725.7017,11.480557,0.1
