collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,513,26.9,2.154,232.1,402.2,1.439,2.148,233.7,404.0,2.152,233.4,402.0,1.528,0.4,398.1,94.18,11.0,20.0,30.938276,2.4149535,0.1
2025-05-09 06:05:00,513,27.7,1.157,232.1,401.1,0.447,1.164,233.7,403.0,1.166,233.4,400.7,0.521,0.38,448.3,85.87,11.066667,25.0,39.894314,2.4149535,0.1
2025-05-09 06:10:00,513,28.3,1.027,234.6,406.3,0.454,1.031,236.2,406.7,1.032,235.8,405.0,0.558,0.43,451.7,81.33,11.133333,30.0,48.85035,2.4149535,0.1
2025-05-09 06:15:00,513,28.9,0.408,234.6,407.4,0.0,0.393,236.2,407.6,0.39,235.8,406.0,0.0,0.19,454.1,0.0,11.2,35.0,57.80639,2.4149535,0.1
2025-05-09 06:20:00,513,29.7,0.414,234.6,407.4,0.0,0.404,236.2,407.6,0.392,235.8,406.0,0.0,0.19,454.1,0.0,11.3,41.0,67.60692,2.4149535,0.1
2025-05-09 06:25:00,513,30.3,0.669,234.6,406.4,0.0,0.615,236.2,407.6,0.641,235.8,405.0,0.0,0.19,454.1,67.46,11.4,47.0,77.407455,2.4149535,0.1
2025-05-09 06:30:00,513,30.9,0.658,234.6,406.4,0.0,0.613,236.2,407.6,0.635,235.8,405.0,0.0,0.19,455.1,67.77,11.5,53.0,87.207985,2.4149535,0.1
2025-05-09 06:35:00,513,31.5,0.621,233.5,404.2,0.002,0.598,235.2,405.1,0.607,233.8,403.0,0.002,0.19,459.1,67.46,11.6,58.666668,97.17055,2.309683,0.1
2025-05-09 06:40:00,513,31.9,0.643,232.5,403.2,0.0,0.602,234.2,404.1,0.606,233.8,402.0,0.0,0.19,459.1,67.46,11.7,64.333336,107.13311,2.204413,0.1
2025-05-09 06:45:00,513,32.5,0.661,232.5,403.2,0.0,0.626,234.2,404.0,0.629,233.8,402.0,0.0,0.19,460.1,0.0,11.8,70.0,117.09567,2.0991426,0.1
2025-05-09 06:50:00,513,33.1,0.605,231.5,401.1,0.0,0.571,233.2,401.9,0.582,232.8,400.0,0.0,0.19,461.1,0.0,11.883333,74.333336,126.21467,1.9360847,0.1
2025-05-09 06:55:00,513,33.5,0.597,233.8,405.1,0.0,0.574,235.3,404.7,0.603,234.6,403.3,0.0,0.19,460.1,0.0,11.966667,78.666664,135.33366,1.7730268,0.1
2025-05-09 07:00:00,513,33.9,0.652,233.8,403.5,0.0,0.631,235.5,405.2,0.636,234.6,403.2,0.0,0.19,458.1,0.0,12.05,83.0,144.45267,1.609969,0.1
2025-05-09 07:05:00,513,34.3,0.606,233.6,404.8,0.0,0.581,235.3,405.9,0.597,234.7,404.0,0.0,0.19,454.1,67.46,12.150001,86.666664,153.87448,1.452786,0.1
2025-05-09 07:10:00,513,34.7,0.602,233.6,403.8,0.0,0.595,235.3,404.8,0.59,233.7,403.0,0.0,0.19,454.1,0.0,12.25,90.333336,163.29631,1.2956029,0.1
2025-05-09 07:15:00,512,35.1,5.618,233.6,403.8,3.872,5.621,235.3,404.8,5.628,233.7,403.0,3.999,1.22,433.5,96.83,12.35,94.0,172.71812,1.1384199,0.1
2025-05-09 07:20:00,513,35.5,2.273,234.6,405.6,1.541,2.303,236.3,406.0,2.29,234.8,404.2,1.655,0.32,455.1,93.3,12.45,97.333336,182.44876,0.9286522,0.1
2025-05-09 07:25:00,513,35.7,4.704,233.6,405.6,3.255,4.722,235.3,406.0,4.733,234.8,404.2,3.377,0.74,446.5,96.35,12.55,100.666664,192.17938,0.7188845,0.1
2025-05-09 07:30:00,512,36.1,7.781,233.6,403.4,5.447,7.77,235.3,404.8,7.802,233.8,402.0,5.577,1.51,401.9,97.67,12.65,104.0,201.91002,0.5091169,0.1
2025-05-09 07:35:00,513,36.5,8.504,232.6,403.2,5.938,8.499,234.2,404.3,8.507,232.8,402.0,6.088,1.76,424.8,97.58,12.733333,108.333336,214.41286,0.7188845,0.1
2025-05-09 07:40:00,513,36.9,8.497,232.6,404.1,5.942,8.496,234.2,404.3,8.508,233.8,402.0,6.088,1.76,428.1,97.6,12.816667,112.666664,226.91568,0.9286522,0.1
2025-05-09 07:45:00,513,37.5,10.677,232.6,404.1,7.479,10.692,234.2,404.4,10.687,233.8,401.7,7.63,2.16,424.2,98.08,12.9,117.0,239.41852,1.1384199,0.1
2025-05-09 07:50:00,512,37.9,12.449,232.6,404.1,8.724,12.448,234.2,404.4,12.479,233.8,402.3,8.888,2.38,410.1,98.19,12.983333,122.0,254.30042,1.4586607,0.1
2025-05-09 07:55:00,513,38.5,15.591,232.6,404.1,11.139,15.632,234.2,404.4,15.606,233.8,402.4,11.353,2.64,452.6,98.12,13.066667,127.0,269.1823,1.7789017,0.1
2025-05-09 08:00:00,512,39.4,12.694,232.6,402.8,8.849,12.684,234.2,403.4,12.692,233.8,401.4,9.014,2.56,406.3,98.21,13.15,132.0,284.0642,2.0991426,0.1
2025-05-09 08:05:00,512,39.8,10.72,232.6,402.8,7.482,10.718,234.2,402.2,10.723,232.7,400.5,7.623,2.18,406.3,98.2,13.233333,137.33333,300.9534,2.5994284,0.13333334
2025-05-09 08:10:00,512,40.8,17.63,233.7,405.7,12.627,17.682,235.3,405.5,17.659,233.8,403.0,12.859,2.75,460.9,98.2,13.316667,142.66667,317.8426,3.099714,0.16666667
2025-05-09 08:15:00,512,40.7,13.174,233.7,405.7,9.228,13.168,235.3,406.2,13.188,234.8,404.0,9.398,2.98,414.8,98.21,13.4,148.0,334.73178,3.6,0.2
2025-05-09 08:20:00,512,39.3,10.574,233.7,405.8,7.363,10.577,235.3,405.9,10.581,233.8,403.8,7.503,2.3,407.4,98.2,13.483333,153.33333,351.19125,4.014435,0.2
2025-05-09 08:25:00,512,39.1,10.06,233.7,404.6,7.03,10.043,235.3,404.5,10.055,233.8,402.5,7.164,2.09,407.1,98.17,13.566667,158.66667,367.65076,4.4288697,0.2
2025-05-09 08:30:00,512,39.7,12.549,233.7,404.6,8.766,12.543,235.3,404.4,12.539,233.8,402.6,8.937,2.54,414.9,98.07,13.65,164.0,384.11023,4.8433046,0.2
2025-05-09 08:35:00,512,41.0,13.553,233.7,404.6,9.464,13.543,234.3,404.4,13.574,233.8,402.5,9.638,2.74,411.4,98.2,13.716666,168.66667,397.7458,5.3518863,0.2
2025-05-09 08:40:00,512,42.0,16.035,232.7,404.6,11.232,16.033,234.3,404.3,16.052,233.8,402.3,11.441,3.16,415.1,98.27,13.783334,173.33333,411.38132,5.860468,0.2
2025-05-09 08:45:00,512,41.2,18.03,232.7,403.4,12.637,18.009,234.3,404.2,18.033,233.8,401.8,12.841,3.65,407.5,98.38,13.85,178.0,425.01688,6.3690495,0.2
2025-05-09 08:50:00,512,41.3,21.773,232.7,402.3,15.179,21.786,234.3,403.0,21.782,232.7,400.7,15.438,4.4,415.6,98.38,13.900001,182.66667,435.8648,6.708227,0.2
2025-05-09 08:55:00,512,41.9,6.837,234.3,407.3,5.033,6.877,236.7,407.3,6.862,234.9,405.4,5.196,0.82,472.1,96.85,13.95,187.33333,446.71277,7.0474043,0.2
2025-05-09 09:00:00,512,42.5,23.926,235.3,408.4,16.958,23.904,236.7,409.3,23.928,235.9,407.5,17.222,4.66,403.7,98.47,14.0,192.0,457.5607,7.386582,0.2
2025-05-09 09:05:00,512,42.9,17.775,236.3,410.4,12.605,17.823,237.7,410.3,17.808,237.0,408.4,12.881,2.61,466.4,97.85,14.066667,196.33333,466.33563,7.475623,0.2
2025-05-09 09:10:00,513,42.5,0.635,236.3,408.8,0.0,0.626,237.2,408.4,0.642,236.1,406.8,0.0,-0.01,472.1,0.0,14.133333,200.66667,475.11053,7.564664,0.2
2025-05-09 09:15:00,513,43.1,0.637,235.6,408.7,0.0,0.633,237.2,408.4,0.682,236.1,406.9,0.0,-0.05,463.7,67.46,14.2,205.0,483.88547,7.653705,0.2
2025-05-09 09:20:00,513,43.9,0.636,235.6,408.8,0.0,0.621,237.2,408.4,0.647,236.1,406.9,0.0,-0.25,463.7,0.0,14.233334,209.33333,492.31107,7.5763335,0.2
2025-05-09 09:25:00,513,44.3,0.661,235.6,407.8,0.0,0.657,237.2,407.4,0.682,236.1,405.7,0.0,-0.25,463.7,0.0,14.266666,213.66667,500.7367,7.4989614,0.2
2025-05-09 09:30:00,513,44.7,0.655,235.6,407.8,0.0,0.623,237.2,407.3,0.675,236.1,405.9,0.0,-0.45,463.7,0.0,14.3,218.0,509.1623,7.42159,0.2
2025-05-09 09:35:00,513,44.9,0.63,235.6,407.9,0.0,0.616,237.2,407.3,0.642,236.1,406.1,0.0,-0.45,463.7,0.0,14.35,222.33333,519.2835,7.277705,0.2
2025-05-09 09:40:00,513,44.9,0.677,234.6,405.9,0.001,0.662,235.1,406.2,0.693,235.1,403.7,0.002,-0.45,462.7,67.46,14.4,226.66667,529.40466,7.1338205,0.2
2025-05-09 09:45:00,513,44.7,0.654,233.5,405.9,0.002,0.642,235.1,405.1,0.663,234.1,403.7,0.001,-0.45,457.7,67.46,14.45,231.0,539.5259,6.989936,0.2
2025-05-09 09:50:00,513,44.7,0.625,233.5,405.9,0.0,0.609,235.1,405.1,0.634,234.1,403.7,0.0,-0.45,455.7,0.0,14.5,236.0,550.64886,6.924113,0.2
2025-05-09 09:55:00,513,43.7,12.913,233.5,405.9,8.83,12.932,235.1,405.1,12.931,234.1,403.7,9.009,2.0,442.6,97.98,14.55,241.0,561.7719,6.8582892,0.2
2025-05-09 10:00:00,513,41.3,8.193,233.5,404.7,5.949,8.215,235.1,404.0,8.215,233.1,402.7,6.068,1.34,443.4,98.04,14.6,246.0,572.8949,6.792466,0.2
2025-05-09 10:05:00,512,41.3,19.645,233.5,405.7,13.796,19.631,235.1,405.2,19.66,234.1,403.8,14.03,4.19,387.4,98.4,14.7,250.66667,584.33435,6.792466,0.13333334
2025-05-09 10:10:00,512,41.6,15.696,233.5,404.7,10.927,15.703,235.1,404.2,15.71,234.1,402.8,11.117,3.39,395.6,98.3,14.8,255.33333,595.77374,6.792466,0.06666667
2025-05-09 10:15:00,513,42.8,15.608,233.5,403.7,10.901,15.617,235.1,404.2,15.614,234.1,402.8,11.091,3.17,399.6,98.3,14.9,260.0,607.2132,6.792466,0.0
2025-05-09 10:20:00,512,42.4,19.937,232.4,402.7,13.942,19.913,234.0,402.7,19.928,233.1,400.5,14.171,3.84,403.4,98.41,15.0,264.66666,617.6132,6.792466,0.0
2025-05-09 10:25:00,513,41.8,0.852,232.4,402.5,0.633,0.869,234.0,402.6,0.88,233.1,400.2,0.73,0.66,470.7,86.79,15.099999,269.33334,628.0133,6.792466,0.0
2025-05-09 10:30:00,513,41.4,0.694,232.5,403.5,0.251,0.673,234.0,403.3,0.709,233.1,401.2,0.383,0.55,456.4,75.76,15.2,274.0,638.4133,6.792466,0.0
2025-05-09 10:35:00,513,41.8,0.673,232.5,402.9,0.0,0.657,234.0,402.1,0.713,233.2,401.0,0.0,0.62,467.5,67.46,15.3,277.66666,647.4415,6.792466,0.0
2025-05-09 10:40:00,513,42.0,10.281,232.5,403.9,6.948,10.294,234.0,404.3,10.304,233.1,402.3,7.095,2.04,450.7,97.94,15.4,281.33334,656.46967,6.792466,0.0
2025-05-09 10:45:00,512,42.3,22.382,233.6,405.5,15.649,22.351,235.0,405.3,22.404,234.1,403.3,15.902,4.59,399.1,98.47,15.5,285.0,665.49786,6.792466,0.0
2025-05-09 10:50:00,513,42.5,19.606,233.6,405.5,13.772,19.606,235.0,405.3,19.621,234.1,403.3,13.997,3.93,415.7,98.37,15.566667,288.66666,675.5201,6.792466,0.0
2025-05-09 10:55:00,513,43.3,0.555,234.6,407.6,0.001,0.534,236.0,407.6,0.573,236.1,406.4,0.001,0.62,473.9,67.46,15.633333,292.33334,685.54236,6.792466,0.0
2025-05-09 11:00:00,513,43.9,0.525,235.6,408.6,0.002,0.488,237.0,408.7,0.542,236.1,406.2,0.003,0.79,468.4,67.46,15.7,296.0,695.5646,6.792466,0.0
2025-05-09 11:05:00,513,44.3,0.871,235.3,408.1,0.0,0.872,236.6,408.5,0.905,235.6,407.3,0.0,0.79,455.6,67.77,15.766666,299.0,703.54614,6.8950806,0.0
2025-05-09 11:10:00,513,44.7,1.316,236.3,411.1,0.0,1.279,237.6,410.5,1.344,237.6,409.5,0.0,0.59,461.5,67.77,15.833333,302.0,711.5277,6.9976954,0.0
2025-05-09 11:15:00,513,44.9,0.823,237.3,411.2,0.003,0.828,238.6,410.5,0.867,237.6,409.6,0.005,0.59,456.9,67.77,15.9,305.0,719.5093,7.10031,0.0
2025-05-09 11:20:00,513,44.9,0.766,236.3,410.2,0.0,0.733,237.6,409.6,0.767,236.6,408.6,0.0,0.39,446.4,68.75,15.933333,306.33334,722.1024,7.204491,0.0
2025-05-09 11:25:00,513,44.9,12.763,236.3,410.3,9.221,12.78,237.6,409.6,12.785,236.5,408.5,9.394,2.05,429.7,98.15,15.966666,307.66666,724.69556,7.308672,0.0
2025-05-09 11:30:00,512,43.0,18.343,237.3,412.4,13.099,18.327,238.6,411.7,18.36,237.5,410.7,13.319,4.04,379.9,98.38,16.0,309.0,727.2887,7.4128532,0.0
2025-05-09 11:35:00,513,41.5,0.733,238.4,411.5,0.001,0.724,238.6,410.7,0.749,237.5,410.9,0.002,0.06,453.0,67.77,16.016666,308.0,720.83246,7.576442,0.0
2025-05-09 11:40:00,513,40.7,0.817,238.4,413.8,0.0,0.794,239.6,412.8,0.794,238.5,412.0,0.0,0.06,455.0,0.0,16.033333,307.0,714.3763,7.740031,0.0
2025-05-09 11:45:00,513,41.7,0.762,239.4,413.8,0.005,0.716,239.6,412.8,0.741,238.5,413.1,0.007,0.01,457.0,68.75,16.05,306.0,707.92004,7.9036193,0.0
2025-05-09 11:50:00,513,42.1,0.713,235.0,407.1,0.0,0.705,236.0,406.2,0.708,234.9,405.5,0.0,0.01,457.0,0.0,16.066666,301.33334,689.7814,8.067936,0.0
2025-05-09 11:55:00,513,42.3,0.974,235.0,407.1,0.0,0.954,236.0,406.2,0.98,234.9,405.4,0.0,0.01,458.0,0.0,16.083334,296.66666,671.64276,8.232253,0.0
2025-05-09 12:00:00,513,42.5,0.846,235.1,406.0,0.0,0.842,235.0,405.2,0.864,233.9,405.1,0.0,0.01,458.0,67.77,16.1,292.0,653.5041,8.39657,0.0
2025-05-09 12:05:00,513,42.5,0.491,234.1,404.9,0.0,0.479,235.0,404.1,0.494,233.9,403.0,0.0,0.21,460.0,0.0,16.116667,286.33334,631.08856,8.726931,0.033333335
2025-05-09 12:10:00,513,42.5,0.71,234.1,405.0,0.001,0.689,235.0,404.1,0.704,233.9,403.0,0.001,0.21,453.0,67.77,16.133333,280.66666,608.67303,9.057291,0.06666667
2025-05-09 12:15:00,513,42.5,0.636,232.9,403.9,0.0,0.623,234.0,403.1,0.645,232.8,401.8,0.0,0.21,460.0,0.0,16.15,275.0,586.2575,9.387651,0.1
2025-05-09 12:20:00,513,42.5,0.671,232.9,405.7,0.0,0.676,234.0,404.0,0.694,232.8,404.0,0.0,0.21,468.1,0.0,16.15,269.66666,565.2532,9.620577,0.1
2025-05-09 12:25:00,513,42.5,0.733,236.6,410.1,0.0,0.728,237.4,408.8,0.752,236.5,408.5,0.0,0.21,481.3,67.46,16.15,264.33334,544.2489,9.853501,0.1
2025-05-09 12:30:00,513,42.3,0.749,237.6,411.0,0.003,0.736,238.4,409.9,0.768,237.5,409.5,0.003,0.21,484.8,65.22,16.15,259.0,523.24457,10.086427,0.1
