collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,29.9,0.428,240.3,414.1,0.296,0.423,238.4,413.7,0.438,238.6,415.2,0.332,0.2,690.3,87.55,10.9,16.0,36.291813,2.9024127,0.0
2025-05-09 06:05:00,512,30.5,0.531,241.3,414.1,0.373,0.532,238.4,413.7,0.543,237.6,415.2,0.417,0.2,710.3,89.44,10.966666,20.333334,51.87939,2.9024127,0.0
2025-05-09 06:10:00,512,31.1,0.635,241.2,414.2,0.46,0.634,238.3,413.5,0.648,237.6,415.2,0.502,0.2,718.2,90.09,11.033334,24.666666,67.466965,2.9024127,0.0
2025-05-09 06:15:00,512,31.5,0.778,242.3,414.4,0.555,0.764,239.3,413.5,0.778,236.3,414.1,0.601,0.4,730.2,91.08,11.1,29.0,83.05454,2.9024127,0.0
2025-05-09 06:20:00,512,31.9,0.88,242.3,415.4,0.64,0.892,239.3,414.5,0.881,236.3,415.1,0.689,0.4,729.9,92.1,11.183333,34.0,100.41053,2.7399263,0.0
2025-05-09 06:25:00,512,32.1,1.01,242.3,414.7,0.74,1.017,239.3,414.5,1.033,237.5,415.1,0.798,0.4,733.8,92.8,11.266667,39.0,117.766525,2.5774398,0.0
2025-05-09 06:30:00,512,32.5,1.289,242.4,414.3,0.929,1.273,238.3,414.2,1.294,237.9,416.2,0.99,0.6,750.2,93.82,11.35,44.0,135.12251,2.4149535,0.0
2025-05-09 06:35:00,512,33.1,1.727,241.4,415.1,1.243,1.733,239.4,414.5,1.727,237.9,415.6,1.314,0.8,754.5,94.58,11.45,48.666668,152.37115,2.4149535,0.0
2025-05-09 06:40:00,512,33.3,1.988,241.4,414.1,1.435,1.997,238.2,413.5,1.983,238.2,415.7,1.502,0.8,762.2,95.18,11.55,53.333332,169.6198,2.4149535,0.0
2025-05-09 06:45:00,512,33.7,2.071,241.7,416.3,1.49,2.058,239.3,416.3,2.066,239.8,417.3,1.564,1.0,754.5,95.33,11.65,58.0,186.86844,2.4149535,0.0
2025-05-09 06:50:00,512,34.1,2.18,241.7,415.7,1.577,2.188,239.2,415.7,2.178,239.8,417.3,1.643,1.0,762.2,95.51,11.766666,61.666668,203.8741,2.5774398,0.0
2025-05-09 06:55:00,512,34.5,2.511,241.7,415.7,1.818,2.51,240.2,415.7,2.502,238.6,417.1,1.89,1.21,758.2,96.06,11.883333,65.333336,220.87976,2.7399263,0.0
2025-05-09 07:00:00,512,34.9,2.779,242.5,416.5,2.009,2.774,240.2,416.9,2.768,239.6,417.5,2.091,1.21,766.2,96.06,12.0,69.0,237.88542,2.9024127,0.0
2025-05-09 07:05:00,512,35.1,3.219,240.1,414.2,2.314,3.213,239.2,414.3,3.219,238.3,414.8,2.398,1.41,766.5,96.49,12.133333,72.0,253.67331,3.1704173,0.0
2025-05-09 07:10:00,512,35.7,3.359,240.9,415.4,2.423,3.384,239.3,415.0,3.371,239.3,416.4,2.508,1.61,766.5,96.49,12.266666,75.0,269.46118,3.438422,0.0
2025-05-09 07:15:00,512,35.9,3.976,239.9,414.4,2.861,4.0,239.3,415.0,3.985,239.2,415.4,2.932,1.81,770.5,97.27,12.4,78.0,285.24908,3.7064266,0.0
2025-05-09 07:20:00,512,36.5,4.452,239.9,414.4,3.207,4.464,239.3,415.1,4.445,240.3,415.4,3.292,2.01,773.8,97.27,12.566667,81.0,300.25494,4.1380444,0.0
2025-05-09 07:25:00,512,36.9,4.166,239.9,413.5,3.004,4.178,239.3,413.7,4.164,240.4,414.2,3.099,2.21,770.2,97.27,12.733333,84.0,315.2608,4.569662,0.0
2025-05-09 07:30:00,512,37.1,3.535,239.6,413.5,2.534,3.532,239.2,416.1,3.529,238.7,415.5,2.635,1.81,766.5,96.44,12.9,87.0,330.26666,5.00128,0.0
2025-05-09 07:35:00,512,37.3,3.377,239.5,412.9,2.419,3.386,239.4,415.5,3.372,239.6,415.4,2.507,1.61,769.8,96.44,13.083333,91.666664,344.1723,5.3987446,0.0
2025-05-09 07:40:00,512,37.7,3.907,239.7,414.3,2.817,3.921,239.1,414.9,3.9,240.7,417.7,2.898,2.01,770.5,97.25,13.266666,96.333336,358.07797,5.7962093,0.0
2025-05-09 07:45:00,512,38.1,4.786,239.0,414.2,3.619,4.798,239.3,415.2,4.773,240.3,417.3,3.722,2.41,781.5,97.27,13.45,101.0,371.9836,6.193674,0.0
2025-05-09 07:50:00,512,38.7,10.22,242.3,418.7,7.566,10.252,242.0,419.4,10.196,243.0,420.9,7.742,4.99,801.9,97.77,13.599999,107.666664,384.11655,6.529116,0.0
2025-05-09 07:55:00,512,39.7,10.891,241.1,418.8,7.962,10.922,242.1,419.1,10.86,243.2,420.9,8.143,5.29,786.6,97.77,13.75,114.333336,396.24945,6.8645577,0.0
2025-05-09 08:00:00,512,40.5,10.735,240.3,417.7,7.769,10.768,241.6,419.7,10.706,242.2,420.6,7.946,5.24,781.8,97.77,13.9,121.0,408.3824,7.2,0.0
2025-05-09 08:05:00,512,41.7,11.149,239.6,414.2,7.977,11.18,239.3,415.4,11.113,241.7,418.0,8.159,5.23,778.6,97.77,14.033333,129.0,418.07663,7.520588,0.0
2025-05-09 08:10:00,512,42.9,11.415,240.9,414.8,8.285,11.449,239.1,416.3,11.376,240.9,418.9,8.475,5.64,774.5,97.77,14.166667,137.0,427.77084,7.841176,0.0
2025-05-09 08:15:00,512,44.1,12.232,240.8,415.0,8.746,12.264,240.3,417.6,12.196,240.8,418.3,8.944,5.85,770.2,97.77,14.3,145.0,437.4651,8.161764,0.0
