collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,19.9,0.506,243.3,418.8,0.353,0.507,240.8,417.9,0.505,244.8,419.8,0.45,0.1,660.3,77.87,10.25,15.0,30.690952,4.1046314,0.0
2025-05-09 06:05:00,512,20.2,0.506,242.9,417.6,0.493,0.507,240.3,416.9,0.505,244.1,418.7,0.608,0.12,636.2,80.67,10.366667,19.666666,45.54299,4.0344195,0.0
2025-05-09 06:10:00,512,20.6,0.97,242.7,416.3,0.678,0.972,240.1,416.4,0.968,243.8,418.3,0.837,0.14,672.2,81.02,10.483334,24.333334,60.39503,3.9642074,0.0
2025-05-09 06:15:00,512,20.9,0.627,242.7,416.2,0.313,0.628,240.1,415.4,0.625,243.8,417.5,0.413,0.09,684.2,77.87,10.6,29.0,75.24707,3.8939953,0.0
2025-05-09 06:20:00,512,21.2,0.007,241.7,416.4,0.457,0.007,240.1,416.1,0.007,243.8,417.5,0.581,0.08,633.2,78.73,10.783334,35.0,90.80544,3.8314724,0.0
2025-05-09 06:25:00,512,21.4,0.712,242.9,416.7,0.531,0.714,240.1,416.1,0.734,243.8,417.6,0.659,0.13,612.2,80.67,10.966666,41.0,106.363815,3.7689495,0.0
2025-05-09 06:30:00,512,21.7,1.827,242.3,415.7,1.407,1.83,240.0,415.6,1.823,243.3,416.4,1.548,0.24,663.1,90.86,11.15,47.0,121.92219,3.7064266,0.0
2025-05-09 06:35:00,512,22.0,3.512,241.8,416.2,2.602,3.522,239.4,414.9,3.507,242.6,416.5,2.752,0.37,684.2,94.33,11.333333,52.333332,137.7994,3.652814,0.0
2025-05-09 06:40:00,512,22.3,5.617,241.8,415.3,4.002,5.605,239.4,414.9,5.608,242.6,416.5,4.19,0.52,699.3,95.51,11.516666,57.666668,153.67659,3.5992014,0.0
2025-05-09 06:45:00,513,22.8,8.219,241.8,416.3,5.78,8.12,239.4,414.9,8.074,242.6,416.5,5.959,0.73,696.2,97.0,11.7,63.0,169.55379,3.5455887,0.0
