collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,23.4,0.98,233.21,403.13,0.614,0.94,233.72,404.62,0.96,233.83,402.96,0.643,0.23,588.5,95.6,11.0,20.0,30.938276,2.4149535,0.1
2025-05-09 06:05:00,512,23.6,1.34,232.88,402.81,0.894,1.3,233.28,404.04,1.32,233.33,402.11,0.935,0.35,598.9,95.6,11.066667,25.0,39.894314,2.4149535,0.1
2025-05-09 06:10:00,512,23.9,1.54,235.39,406.77,1.044,1.5,236.04,408.52,1.52,236.19,406.57,1.083,0.41,602.0,96.41,11.133333,30.0,48.85035,2.4149535,0.1
2025-05-09 06:15:00,512,24.1,1.45,236.2,408.16,0.973,1.41,236.61,409.23,1.43,236.59,407.6,1.009,0.38,599.6,96.41,11.2,35.0,57.80639,2.4149535,0.1
2025-05-09 06:20:00,512,24.3,1.47,236.15,408.44,0.997,1.44,236.68,409.34,1.46,236.72,407.66,1.034,0.39,597.2,96.41,11.3,41.0,67.60692,2.4149535,0.1
2025-05-09 06:25:00,512,24.5,1.5,235.41,406.88,1.019,1.47,236.11,408.2,1.49,236.16,406.62,1.057,0.4,593.6,96.41,11.4,47.0,77.407455,2.4149535,0.1
2025-05-09 06:30:00,512,24.6,1.63,235.66,407.19,1.119,1.59,236.0,408.03,1.62,235.95,406.61,1.161,0.44,599.3,96.41,11.5,53.0,87.207985,2.4149535,0.1
2025-05-09 06:35:00,512,25.0,2.07,234.51,405.45,1.43,2.04,235.01,406.07,2.06,234.64,404.53,1.462,0.57,607.7,97.85,11.6,58.666668,97.17055,2.309683,0.1
2025-05-09 06:40:00,512,25.1,2.19,233.89,404.28,1.52,2.15,234.39,404.95,2.19,234.3,403.24,1.555,0.61,607.2,97.79,11.7,64.333336,107.13311,2.204413,0.1
2025-05-09 06:45:00,512,25.3,2.39,233.58,404.07,1.657,2.35,234.02,404.55,2.38,233.92,402.87,1.694,0.66,610.6,97.79,11.8,70.0,117.09567,2.0991426,0.1
2025-05-09 06:50:00,512,25.6,2.86,232.79,402.46,1.985,2.83,233.24,402.96,2.85,232.93,401.46,2.029,0.79,612.1,97.79,11.883333,74.333336,126.21467,1.9360847,0.1
2025-05-09 06:55:00,512,25.8,2.32,234.9,405.52,1.926,2.32,235.2,406.56,2.32,234.99,404.98,1.969,0.77,610.2,97.79,11.966667,78.666664,135.33366,1.7730268,0.1
2025-05-09 07:00:00,512,25.9,2.5,234.14,404.92,1.743,2.47,234.86,406.06,2.5,234.68,404.06,1.781,0.7,602.8,97.85,12.05,83.0,144.45267,1.609969,0.1
2025-05-09 07:05:00,512,26.1,2.32,234.93,406.17,1.461,2.32,235.55,407.71,2.32,235.54,405.73,1.493,0.6,595.3,97.85,12.150001,86.666664,153.87448,1.452786,0.1
2025-05-09 07:10:00,512,26.1,2.12,234.32,404.99,1.468,2.09,234.71,405.72,2.11,234.61,404.21,1.5,0.6,596.8,97.85,12.25,90.333336,163.29631,1.2956029,0.1
2025-05-09 07:15:00,512,26.3,2.72,234.7,405.11,1.896,2.7,234.94,406.31,2.71,234.91,404.5,1.938,0.76,609.0,97.85,12.35,94.0,172.71812,1.1384199,0.1
2025-05-09 07:20:00,512,26.4,3.04,235.11,406.47,2.129,3.0,235.68,407.45,3.03,235.56,405.75,2.176,0.87,604.0,97.85,12.45,97.333336,182.44876,0.9286522,0.1
2025-05-09 07:25:00,512,26.5,3.32,235.2,406.65,2.144,3.32,235.57,407.87,3.32,235.59,406.01,2.191,0.89,598.4,97.85,12.55,100.666664,192.17938,0.7188845,0.1
2025-05-09 07:30:00,512,26.7,3.32,234.22,404.64,2.267,3.32,234.88,405.72,3.32,234.6,403.67,2.317,0.93,596.0,97.85,12.65,104.0,201.91002,0.5091169,0.1
2025-05-09 07:35:00,512,26.8,3.32,233.43,404.25,2.592,3.32,234.23,404.95,3.32,233.94,402.56,2.637,1.07,605.0,98.27,12.733333,108.333336,214.41286,0.7188845,0.1
2025-05-09 07:40:00,512,27.0,3.78,234.02,404.92,2.648,3.76,234.54,404.86,3.78,234.14,403.05,2.694,1.08,610.7,98.27,12.816667,112.666664,226.91568,0.9286522,0.1
2025-05-09 07:45:00,512,27.2,4.32,234.02,405.37,3.223,4.32,234.79,405.6,4.32,234.42,403.96,3.28,1.33,608.2,98.27,12.9,117.0,239.41852,1.1384199,0.1
2025-05-09 07:50:00,512,27.4,5.18,233.99,405.28,3.624,5.15,234.73,405.78,5.18,234.36,403.46,3.68,1.5,607.4,98.48,12.983333,122.0,254.30042,1.4586607,0.1
2025-05-09 07:55:00,512,27.8,7.32,233.99,404.63,5.186,7.32,234.72,405.66,7.32,234.4,403.47,5.27,2.18,610.9,98.41,13.066667,127.0,269.1823,1.7789017,0.1
2025-05-09 08:00:00,512,28.4,5.28,233.43,404.18,3.679,5.26,234.2,404.71,5.28,233.85,402.4,3.739,1.58,595.8,98.38,13.15,132.0,284.0642,2.0991426,0.1
2025-05-09 08:05:00,512,28.3,4.44,233.31,403.54,3.083,4.41,233.89,403.52,4.43,233.36,401.87,3.139,1.32,590.9,98.19,13.233333,137.33333,300.9534,2.5994284,0.13333334
2025-05-09 08:10:00,512,28.7,9.9,234.89,406.59,6.971,9.88,235.53,406.88,9.89,235.22,404.97,7.073,2.94,612.1,98.54,13.316667,142.66667,317.8426,3.099714,0.16666667
2025-05-09 08:15:00,512,29.4,5.32,234.76,406.44,3.9,5.32,235.57,406.75,5.32,235.2,404.78,3.963,1.65,614.0,98.41,13.4,148.0,334.73178,3.6,0.2
2025-05-09 08:20:00,512,29.4,5.32,234.75,406.26,3.652,5.32,235.37,406.25,5.32,234.91,404.46,3.711,1.54,604.8,98.39,13.483333,153.33333,351.19125,4.014435,0.2
