collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,38.6,2.027,234.1,407.1,-1.431,2.036,236.2,407.6,2.045,234.4,405.5,0.329,0.0,0.0,100.0,12.75,18.0,27.959873,3.6,0.1
2025-05-09 06:05:00,512,39.4,2.027,234.1,405.3,-1.431,2.036,235.2,406.5,2.045,234.4,405.8,0.36,0.0,0.0,100.0,12.766666,23.333334,38.037716,3.6,0.13333334
2025-05-09 06:10:00,512,39.8,1.789,233.0,405.4,-1.256,1.795,234.2,405.4,1.805,233.3,403.7,0.287,0.0,0.0,100.0,12.783334,28.666666,48.115562,3.6,0.16666667
2025-05-09 06:15:00,512,40.2,1.789,233.0,405.4,-1.256,1.795,234.2,405.4,1.805,233.3,403.7,0.309,0.0,0.0,100.0,12.8,34.0,58.193405,3.6,0.2
2025-05-09 06:20:00,512,40.5,1.494,233.0,405.4,-1.047,1.499,234.2,405.4,1.507,233.3,404.8,0.21,0.0,0.0,100.0,12.85,40.333332,69.86937,3.6,0.2
2025-05-09 06:25:00,512,40.5,1.494,234.0,405.4,-1.046,1.499,234.2,406.4,1.507,234.3,404.8,0.2,0.0,0.0,100.0,12.9,46.666668,81.54534,3.6,0.2
2025-05-09 06:30:00,512,40.6,1.494,234.0,405.5,-1.046,1.499,234.2,405.4,1.507,234.3,403.7,0.285,0.0,0.0,100.0,12.95,53.0,93.221306,3.6,0.2
2025-05-09 06:35:00,512,41.1,2.562,232.9,403.5,-1.795,2.575,233.2,404.4,2.585,233.3,402.7,0.457,0.0,0.0,100.0,13.016666,58.666668,104.22761,3.5063453,0.2
2025-05-09 06:40:00,512,41.9,3.329,232.9,403.5,-2.331,3.35,233.2,404.4,3.362,233.3,402.7,0.601,0.0,0.0,100.0,13.083333,64.333336,115.23392,3.4126906,0.2
2025-05-09 06:45:00,512,43.3,4.099,231.9,403.5,-2.87,4.124,233.2,403.4,4.139,233.3,402.7,0.764,0.0,0.0,100.0,13.15,70.0,126.24022,3.319036,0.2
2025-05-09 06:50:00,512,44.5,4.616,231.9,402.7,-3.234,4.643,233.2,403.4,4.661,232.2,401.3,0.842,0.0,0.0,100.0,13.216666,74.333336,135.6577,3.319036,0.2
2025-05-09 06:55:00,512,45.2,4.355,231.9,402.7,-3.047,4.38,233.2,403.4,4.397,232.2,401.3,0.705,0.0,0.0,100.0,13.283334,78.666664,145.0752,3.319036,0.2
2025-05-09 07:00:00,512,44.8,1.309,234.3,406.1,-0.913,1.317,233.9,406.2,1.324,234.5,405.5,0.54,0.0,0.0,100.0,13.35,83.0,154.49268,3.319036,0.2
2025-05-09 07:05:00,512,43.7,2.323,235.9,409.8,-1.647,2.333,237.0,411.0,2.344,236.2,408.6,0.703,0.0,0.0,100.0,13.433333,86.333336,163.50574,3.3447683,0.16666667
2025-05-09 07:10:00,512,47.2,4.013,235.6,408.9,-2.847,4.038,237.0,409.1,4.051,235.8,406.9,0.758,0.0,0.0,100.0,13.516667,89.666664,172.51878,3.3705008,0.13333334
2025-05-09 07:15:00,512,45.0,2.695,235.6,409.3,-1.915,2.71,236.9,409.6,2.718,235.9,408.3,0.88,0.0,0.0,100.0,13.6,93.0,181.53185,3.396233,0.1
2025-05-09 07:20:00,512,44.9,5.451,234.5,407.3,-3.484,5.486,235.5,407.5,5.504,234.7,405.0,1.283,0.0,0.0,100.0,13.683333,95.666664,190.51877,3.5565948,0.1
2025-05-09 07:25:00,512,45.1,1.635,233.5,406.2,-1.142,1.641,235.2,406.4,1.646,233.9,404.2,0.97,0.0,0.0,100.0,13.766667,98.333336,199.50568,3.7169566,0.1
2025-05-09 07:30:00,512,44.9,3.327,234.2,407.4,2.474,3.343,235.2,408.2,3.358,234.0,404.9,1.206,0.0,0.0,100.0,13.85,101.0,208.4926,3.8773184,0.1
2025-05-09 07:35:00,512,45.7,3.692,233.0,406.5,1.125,3.713,235.2,406.5,3.731,233.1,404.6,1.253,0.0,0.0,100.0,13.95,104.0,219.21646,4.0691967,0.1
2025-05-09 07:40:00,512,48.8,8.886,232.5,402.3,6.226,8.95,233.1,404.5,8.979,232.9,401.1,1.409,0.0,0.0,100.0,14.05,107.0,229.94032,4.2610755,0.1
2025-05-09 07:45:00,512,51.9,9.328,231.4,404.2,6.533,9.405,233.5,404.4,9.43,232.9,400.4,1.664,0.0,0.0,100.0,14.15,110.0,240.66418,4.452954,0.1
2025-05-09 07:50:00,512,53.5,9.358,230.3,401.4,6.535,9.437,233.1,404.5,9.471,231.8,399.6,1.654,0.0,0.0,100.0,14.25,113.0,253.44511,4.7845654,0.1
2025-05-09 07:55:00,512,55.0,9.87,233.0,403.9,6.928,9.953,233.7,406.2,9.977,233.5,400.1,2.172,0.0,0.0,100.0,14.349999,116.0,266.22604,5.1161766,0.1
2025-05-09 08:00:00,512,56.8,4.382,231.5,405.5,7.335,4.412,235.4,405.4,4.437,231.7,399.5,2.459,0.0,0.0,100.0,14.45,119.0,279.00696,5.4477882,0.1
2025-05-09 08:05:00,512,58.3,10.909,230.8,401.8,7.492,10.987,230.9,403.4,11.019,232.2,400.6,2.71,0.0,0.0,100.0,14.566667,122.0,292.42685,5.9118586,0.1
2025-05-09 08:10:00,512,56.1,3.37,228.4,397.3,2.296,3.383,230.4,398.5,3.375,228.8,395.4,2.298,0.0,0.0,100.0,14.683333,125.0,305.84677,6.3759294,0.1
2025-05-09 08:15:00,512,53.4,3.732,229.9,398.7,2.574,3.736,232.1,401.1,3.77,230.1,399.5,2.608,0.0,0.0,100.0,14.8,128.0,319.26666,6.8399997,0.1
2025-05-09 08:20:00,512,52.2,3.423,227.2,395.8,2.322,3.431,227.1,396.7,3.433,227.5,395.5,2.319,0.0,0.0,100.0,14.916667,131.66667,334.01816,7.4424987,0.1
2025-05-09 08:25:00,512,51.1,3.164,231.0,401.4,2.179,3.163,232.6,402.5,3.17,231.3,399.7,2.172,0.0,0.0,100.0,15.033333,135.33333,348.76962,8.044997,0.1
2025-05-09 08:30:00,512,50.4,3.326,228.0,395.2,2.265,3.35,229.3,396.1,3.362,227.7,394.2,2.261,0.0,0.0,100.0,15.15,139.0,363.52112,8.647496,0.1
2025-05-09 08:35:00,512,49.9,3.466,228.1,395.7,2.366,3.479,228.8,396.5,3.499,228.4,395.0,2.376,0.0,0.0,100.0,15.266666,143.0,377.52682,9.144228,0.1
2025-05-09 08:40:00,512,49.7,3.847,230.4,400.8,2.662,3.871,232.3,400.6,3.887,229.2,398.7,2.72,0.0,0.0,100.0,15.383333,147.0,391.5325,9.64096,0.1
2025-05-09 08:45:00,512,49.6,4.286,230.4,400.7,2.969,4.313,232.3,400.1,4.332,229.9,399.0,2.983,0.0,0.0,100.0,15.5,151.0,405.5382,10.1376915,0.1
2025-05-09 08:50:00,512,49.9,5.986,230.1,400.4,4.038,6.032,232.0,399.4,6.049,230.3,398.7,4.134,0.0,0.0,100.0,15.6,155.66667,419.49936,10.526537,0.1
2025-05-09 08:55:00,512,50.3,4.883,231.6,402.7,3.387,4.885,233.3,401.7,4.903,230.7,400.8,3.386,0.0,0.0,100.0,15.7,160.33333,433.4605,10.915383,0.1
2025-05-09 09:00:00,512,50.5,5.645,231.3,402.8,3.894,5.647,232.6,402.3,5.658,231.0,401.3,3.894,0.0,0.0,100.0,15.8,165.0,447.42166,11.304229,0.1
2025-05-09 09:05:00,512,50.6,5.368,231.8,404.0,3.752,5.408,232.9,403.2,5.422,231.3,402.4,3.778,0.0,0.0,100.0,15.85,170.66667,461.3426,11.443069,0.1
2025-05-09 09:10:00,512,51.5,9.145,234.5,407.2,6.041,9.182,235.7,408.0,9.196,233.4,406.3,6.181,0.0,0.0,100.0,15.9,176.33333,475.26352,11.58191,0.1
2025-05-09 09:15:00,512,54.0,7.637,233.2,405.6,5.333,7.643,234.9,407.6,7.644,233.7,405.1,5.333,0.0,0.0,100.0,15.95,182.0,489.18445,11.720751,0.1
2025-05-09 09:20:00,512,57.4,6.849,235.2,407.8,3.916,6.897,236.9,409.2,6.919,234.9,405.7,8.675,0.0,0.0,100.0,16.0,187.33333,502.72647,11.744636,0.1
2025-05-09 09:25:00,512,57.2,9.629,233.2,405.6,6.817,9.637,235.0,408.1,9.639,232.3,404.7,6.815,0.0,0.0,100.0,16.05,192.66667,516.2685,11.768519,0.1
2025-05-09 09:30:00,512,59.8,5.832,234.0,406.9,3.29,5.87,235.8,408.4,5.893,233.8,406.0,8.06,0.0,0.0,100.0,16.1,198.0,529.8105,11.792404,0.1
2025-05-09 09:35:00,512,61.4,8.189,234.8,403.6,5.349,8.247,236.5,405.0,8.27,235.1,402.3,8.411,0.0,0.0,100.0,16.116667,203.33333,542.97894,11.819784,0.1
2025-05-09 09:40:00,512,67.0,11.271,234.0,406.9,7.194,11.355,236.0,408.6,11.393,234.9,405.6,8.586,0.0,0.0,100.0,16.133333,208.66667,556.1474,11.847164,0.1
2025-05-09 09:45:00,512,65.7,15.304,233.3,406.4,10.776,15.385,234.8,407.0,15.362,234.5,404.9,8.296,0.0,0.0,100.0,16.15,214.0,569.31586,11.874544,0.1
2025-05-09 09:50:00,512,69.5,11.806,233.3,406.8,8.284,11.825,235.8,407.9,11.827,234.1,405.0,8.289,0.0,0.0,100.0,16.199999,219.33333,582.7934,11.789966,0.1
