collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,22.5,0.93,236.25,407.18,0.58,0.91,236.55,407.18,0.94,235.91,406.55,0.602,0.22,594.9,96.21,11.45,22.0,32.649235,5.8603754,0.0
2025-05-09 06:05:00,512,22.7,0.92,236.02,407.06,0.579,0.91,236.23,407.24,0.92,235.5,406.28,0.602,0.23,595.2,96.14,11.55,27.666666,43.148685,5.8603754,0.0
2025-05-09 06:10:00,512,22.8,0.93,235.46,406.0,0.583,0.92,235.87,405.91,0.94,235.09,405.26,0.606,0.23,594.4,96.13,11.65,33.333332,53.648132,5.8603754,0.0
2025-05-09 06:15:00,512,23.0,0.97,235.22,405.84,0.613,0.96,235.48,405.72,0.97,234.88,405.12,0.637,0.24,595.0,96.14,11.75,39.0,64.14758,5.8603754,0.0
2025-05-09 06:20:00,512,23.2,1.05,235.56,406.14,0.677,1.03,235.74,406.41,1.06,235.29,405.8,0.704,0.27,597.7,96.12,11.883333,45.0,75.35858,5.841859,0.0
2025-05-09 06:25:00,512,23.3,1.08,235.77,406.01,0.709,1.08,235.71,406.25,1.1,235.43,405.64,0.737,0.28,594.6,96.21,12.016666,51.0,86.56957,5.823342,0.0
2025-05-09 06:30:00,512,23.4,1.13,235.8,405.96,0.748,1.12,236.0,406.09,1.13,235.57,405.52,0.777,0.3,599.2,96.22,12.15,57.0,97.78057,5.8048253,0.0
2025-05-09 06:35:00,512,23.5,1.2,234.99,404.81,0.816,1.22,235.24,404.91,1.23,234.68,404.36,0.848,0.32,594.3,96.24,12.283333,62.666668,109.4846,5.9134097,0.0
2025-05-09 06:40:00,512,23.7,1.32,234.94,404.9,0.898,1.32,235.37,404.81,1.35,234.94,404.01,0.933,0.36,596.1,96.25,12.416667,68.333336,121.18863,6.0219946,0.0
2025-05-09 06:45:00,512,23.9,1.53,234.76,404.9,1.072,1.54,235.2,404.85,1.54,234.6,404.32,1.116,0.4,618.4,96.05,12.55,74.0,132.89265,6.130579,0.0
2025-05-09 06:50:00,512,24.1,2.98,235.14,405.1,2.087,2.97,235.27,405.46,2.99,234.97,404.6,2.149,0.96,569.4,97.11,12.666667,79.0,144.80888,6.2470527,0.0
2025-05-09 06:55:00,512,24.2,2.7,234.71,403.78,1.898,2.71,234.54,404.22,2.71,234.47,404.38,1.954,0.87,553.1,97.12,12.783333,84.0,156.7251,6.363526,0.0
2025-05-09 07:00:00,512,24.7,5.87,233.93,402.82,4.105,5.88,233.96,402.77,5.89,233.46,402.37,4.176,2.09,554.3,98.29,12.9,89.0,168.64133,6.4799995,0.0
2025-05-09 07:05:00,512,25.3,6.42,234.01,403.7,4.501,6.41,234.86,404.38,6.49,234.44,403.14,4.578,2.23,580.5,98.31,13.0,93.333336,181.1744,6.842855,0.0
2025-05-09 07:10:00,512,25.7,6.94,235.24,405.26,4.869,6.92,236.19,406.47,6.97,235.8,404.95,4.947,2.43,570.0,98.43,13.099999,97.666664,193.70746,7.205711,0.0
2025-05-09 07:15:00,512,26.0,6.71,235.09,405.4,4.713,6.7,235.62,406.6,6.72,235.5,404.7,4.813,2.36,575.0,97.93,13.2,102.0,206.24052,7.5685663,0.0
2025-05-09 07:20:00,512,26.4,7.71,235.51,406.71,5.455,7.73,236.3,407.24,7.74,235.64,405.59,5.546,2.69,604.6,98.36,13.283333,106.0,219.40129,7.9356937,0.0
2025-05-09 07:25:00,512,26.9,8.27,235.51,406.02,5.835,8.27,236.38,407.38,8.29,235.98,405.76,5.952,2.87,588.7,98.02,13.366667,110.0,232.56206,8.302821,0.0
2025-05-09 07:30:00,512,27.5,8.71,234.86,405.47,6.136,8.72,235.8,406.7,8.74,235.68,405.31,6.236,3.09,604.2,98.39,13.45,114.0,245.72282,8.669949,0.0
2025-05-09 07:35:00,512,28.1,9.49,235.66,406.21,6.691,9.48,236.48,407.11,9.51,236.01,405.88,6.825,3.22,592.1,98.03,13.533333,118.333336,259.86935,9.055328,0.0
2025-05-09 07:40:00,512,28.6,10.09,235.31,405.71,7.111,10.12,236.21,406.78,10.13,235.83,405.51,7.255,3.34,592.6,98.0,13.616667,122.666664,274.01587,9.440708,0.0
