collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,36.4,1.195,235.2,406.8,0.772,1.208,235.0,408.0,1.175,235.8,407.9,0.827,0.6,840.4,93.17,12.35,17.0,27.158333,2.8116899,0.1
2025-05-09 06:05:00,512,38.0,1.304,235.2,405.6,0.828,1.305,235.0,407.7,1.296,235.8,407.8,0.885,0.64,845.7,93.75,12.366667,21.0,35.052383,2.8116899,0.13333334
2025-05-09 06:10:00,512,39.4,1.056,234.1,405.4,0.664,1.047,233.8,406.3,1.048,234.8,406.7,0.711,0.53,829.9,93.86,12.383333,25.0,42.946438,2.8116899,0.16666667
2025-05-09 06:15:00,512,40.8,1.125,235.2,406.4,0.682,1.117,234.8,407.5,1.102,235.8,408.0,0.72,0.56,837.9,93.93,12.4,29.0,50.84049,2.8116899,0.2
2025-05-09 06:20:00,512,42.1,1.343,235.2,407.3,0.87,1.343,234.8,408.5,1.327,235.8,408.0,0.919,0.69,829.8,94.62,12.433333,34.0,59.97564,2.8419309,0.2
2025-05-09 06:25:00,512,43.2,1.338,235.2,406.3,0.874,1.343,234.8,407.3,1.34,235.8,408.0,0.92,0.69,817.8,94.71,12.466666,39.0,69.110794,2.8721716,0.2
2025-05-09 06:30:00,512,44.4,1.596,235.2,407.4,1.06,1.592,234.8,408.4,1.573,235.8,409.1,1.113,0.85,811.2,95.27,12.5,44.0,78.24594,2.9024127,0.2
2025-05-09 06:35:00,512,45.3,1.683,234.1,404.8,1.108,1.684,233.7,406.2,1.672,234.5,406.9,1.164,0.86,823.2,95.77,12.55,49.333332,88.28002,2.9024127,0.2
2025-05-09 06:40:00,512,46.2,1.999,234.1,404.8,1.336,2.011,233.7,405.2,1.995,234.5,405.9,1.391,1.01,815.2,96.15,12.599999,54.666668,98.31411,2.9024127,0.2
2025-05-09 06:45:00,512,47.1,2.047,234.1,405.6,1.375,2.053,233.7,406.3,2.038,234.5,406.8,1.428,1.04,825.8,96.22,12.65,60.0,108.34819,2.9024127,0.2
2025-05-09 06:50:00,512,47.9,2.091,236.5,408.8,1.423,2.096,235.9,409.5,2.071,237.1,410.3,1.485,1.07,823.1,96.19,12.716666,66.333336,119.6868,2.8721716,0.2
2025-05-09 06:55:00,512,48.7,2.06,237.5,410.7,1.399,2.068,236.9,411.2,2.049,238.3,411.8,1.462,1.06,821.8,96.27,12.783334,72.666664,131.0254,2.8419309,0.2
2025-05-09 07:00:00,512,49.4,2.063,236.5,409.6,1.411,2.082,236.9,410.2,2.043,237.3,410.7,1.46,1.06,824.5,96.24,12.85,79.0,142.36401,2.8116899,0.2
2025-05-09 07:05:00,512,50.0,2.536,236.5,408.7,1.736,2.543,235.9,409.8,2.522,236.6,409.9,1.793,1.32,801.7,96.86,12.933333,85.333336,154.6543,2.739792,0.2
2025-05-09 07:10:00,512,50.8,3.044,236.5,408.1,2.109,3.051,235.9,409.5,3.027,236.6,410.0,2.171,1.55,828.3,97.14,13.016667,91.666664,166.94458,2.6678946,0.2
