collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,22.7,1.234,222.0,391.5,0.819,1.242,225.4,389.4,1.223,221.7,388.8,0.895,0.0,563.9,91.52,13.4,18.0,31.311253,5.634891,0.0
2025-05-09 06:05:00,512,23.2,1.246,222.3,390.7,0.818,1.257,225.0,389.1,1.245,221.2,389.0,0.894,0.0,564.5,91.5,13.416666,23.333334,42.68026,5.634891,0.033333335
2025-05-09 06:10:00,512,23.6,1.593,223.7,391.4,1.0,1.604,224.8,389.2,1.587,220.7,389.3,1.079,0.0,574.2,92.64,13.433333,28.666666,54.049267,5.634891,0.06666667
2025-05-09 06:15:00,512,24.0,3.066,223.9,391.5,2.064,3.083,223.9,390.8,3.067,223.1,390.7,2.152,0.55,588.6,95.91,13.45,34.0,65.418274,5.634891,0.1
2025-05-09 06:20:00,512,24.5,4.039,224.8,392.7,2.728,4.057,224.1,392.1,4.053,224.1,391.9,2.83,0.65,638.1,96.39,13.483334,40.333332,78.12634,5.7429476,0.1
2025-05-09 06:25:00,512,25.0,4.365,224.5,392.4,2.979,4.379,224.2,392.3,4.391,224.4,392.2,3.08,0.82,590.3,96.73,13.516666,46.666668,90.83442,5.8510036,0.1
2025-05-09 06:30:00,512,25.3,3.413,223.1,391.7,2.287,3.423,224.9,390.6,3.415,222.6,390.2,2.377,0.61,591.1,96.23,13.55,53.0,103.54249,5.95906,0.1
2025-05-09 06:35:00,512,25.7,3.48,223.8,392.1,2.344,3.494,224.4,391.1,3.482,223.3,390.8,2.437,0.64,589.5,96.16,13.6,58.666668,115.56309,6.0684166,0.1
2025-05-09 06:40:00,512,26.0,4.131,223.6,391.1,2.798,4.153,223.0,390.2,4.149,223.4,390.2,2.898,0.75,591.2,96.55,13.65,64.333336,127.583694,6.1777735,0.1
2025-05-09 06:45:00,512,26.4,4.084,223.7,391.2,2.776,4.099,223.0,390.4,4.107,223.6,390.2,2.876,0.75,590.3,96.51,13.7,70.0,139.6043,6.28713,0.1
2025-05-09 06:50:00,513,26.6,3.875,223.8,390.9,2.6,3.895,223.0,388.9,3.884,222.2,390.0,2.706,0.62,638.1,96.08,13.766666,74.333336,149.66553,6.3547506,0.1
2025-05-09 06:55:00,512,27.0,4.205,222.9,391.1,2.835,4.222,223.7,390.2,4.221,223.5,390.2,2.937,0.78,589.4,96.53,13.833333,78.666664,159.72676,6.4223714,0.1
2025-05-09 07:00:00,512,27.2,3.638,220.5,389.1,2.426,3.653,222.6,387.9,3.634,222.7,386.9,2.522,0.66,587.1,96.18,13.9,83.0,169.788,6.489992,0.1
2025-05-09 07:05:00,512,27.4,4.002,220.9,391.4,2.696,4.013,224.9,390.3,4.013,223.8,389.0,2.793,0.73,595.2,96.55,13.966666,85.666664,178.0175,6.6842875,0.1
2025-05-09 07:10:00,512,27.7,4.601,222.5,391.9,2.904,4.621,224.7,391.4,4.611,224.1,390.4,3.023,0.76,638.8,96.07,14.033334,88.333336,186.24702,6.8785825,0.1
2025-05-09 07:15:00,512,28.0,3.701,223.1,391.1,2.679,3.719,224.0,390.6,3.723,223.1,390.0,2.788,0.57,674.2,96.09,14.1,91.0,194.47653,7.072878,0.1
2025-05-09 07:20:00,512,28.2,4.608,224.3,393.7,3.322,4.624,225.4,392.8,4.621,224.6,392.4,3.435,0.72,683.2,96.71,14.166667,93.666664,203.41959,7.260836,0.1
2025-05-09 07:25:00,512,28.4,4.614,224.1,393.0,3.315,4.632,224.7,392.4,4.629,224.4,391.5,3.453,0.75,698.8,95.98,14.233334,96.333336,212.36263,7.4487944,0.1
2025-05-09 07:30:00,513,28.7,4.458,221.8,392.8,2.804,4.485,225.3,392.0,4.479,225.0,390.3,2.921,0.7,675.5,95.99,14.3,99.0,221.30568,7.6367526,0.1
2025-05-09 07:35:00,512,29.0,3.79,224.2,393.4,2.758,3.815,225.2,392.4,3.808,224.2,391.9,2.862,0.59,681.8,96.35,14.383333,102.333336,231.99553,7.861583,0.1
2025-05-09 07:40:00,512,29.2,3.485,223.4,392.3,2.134,3.505,224.8,391.7,3.5,224.1,391.5,2.24,0.56,679.6,95.28,14.466667,105.666664,242.6854,8.086414,0.1
2025-05-09 07:45:00,512,29.5,4.272,224.8,393.4,2.669,4.293,224.8,392.3,4.283,224.1,392.2,2.783,0.68,672.1,95.88,14.55,109.0,253.37524,8.311245,0.1
2025-05-09 07:50:00,513,29.7,2.924,222.5,392.1,1.742,2.95,224.0,391.6,2.935,225.3,390.8,1.863,0.44,691.5,93.49,14.633333,113.0,266.12823,8.54083,0.1
2025-05-09 07:55:00,512,30.1,5.637,224.2,392.7,3.973,5.642,224.1,392.7,5.638,225.3,392.1,4.125,0.88,700.1,96.3,14.716667,117.0,278.88126,8.770415,0.1
2025-05-09 08:00:00,512,30.4,4.647,223.5,392.0,3.349,4.655,224.0,391.6,4.656,224.5,391.3,3.49,0.76,691.4,95.97,14.8,121.0,291.63425,9.0,0.1
2025-05-09 08:05:00,512,30.7,4.811,222.3,391.9,3.454,4.818,224.1,391.5,4.82,225.3,391.0,3.567,0.78,680.1,96.83,14.883333,125.333336,305.72714,9.248877,0.13333334
