collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,29.3,1.447,233.0,409.2,0.985,1.502,235.2,408.4,1.488,234.2,409.3,1.103,0.3,735.1,89.09,13.95,16.0,23.183739,7.4128532,0.3
2025-05-09 06:05:00,512,29.9,1.825,233.3,408.8,1.142,1.899,235.2,408.4,1.845,235.4,409.3,1.266,0.5,740.8,90.36,13.966666,20.666666,30.916424,7.4733047,0.3
2025-05-09 06:10:00,512,30.5,1.924,235.2,411.9,1.21,1.982,236.4,412.1,1.903,236.6,412.6,1.341,0.5,750.7,90.29,13.983334,25.333334,38.64911,7.5337567,0.3
2025-05-09 06:15:00,512,31.1,2.017,235.6,413.3,1.206,2.062,236.6,412.4,2.085,236.8,414.1,1.329,0.5,750.8,90.44,14.0,30.0,46.381794,7.5942082,0.3
2025-05-09 06:20:00,512,31.7,1.892,236.4,414.2,1.219,1.922,237.6,413.9,1.894,237.9,415.2,1.356,0.5,749.5,90.52,14.016666,35.666668,54.814075,7.6973453,0.3
2025-05-09 06:25:00,512,32.3,1.959,236.2,414.0,1.262,2.009,238.7,414.1,1.971,237.9,414.7,1.408,0.5,762.6,89.64,14.033334,41.333332,63.246353,7.8004823,0.3
2025-05-09 06:30:00,512,32.9,2.131,235.8,413.5,1.376,2.193,237.4,413.7,2.137,237.5,414.0,1.498,0.5,734.4,91.78,14.05,47.0,71.678635,7.9036193,0.3
2025-05-09 06:35:00,512,33.3,2.721,235.9,414.1,1.885,2.778,237.1,414.3,2.711,237.1,414.9,2.031,0.7,751.7,92.83,14.083333,52.333332,80.6546,8.00813,0.3
2025-05-09 06:40:00,512,33.9,3.34,236.9,414.0,2.276,3.371,237.3,413.7,3.33,237.1,415.0,2.427,0.7,755.7,93.78,14.116667,57.666668,89.63057,8.112641,0.3
2025-05-09 06:45:00,512,34.3,3.035,236.4,413.7,2.092,3.092,237.0,413.1,3.048,237.1,414.5,2.237,0.7,750.3,93.34,14.15,63.0,98.60654,8.217153,0.3
