collectTime,inverter_state,inv_temperature,a_i,a_u,ab_u,active_power,b_i,b_u,bc_u,c_i,c_u,ca_u,mppt_power,pv1_i,pv1_u,efficiency,temperature_2m,diffuse_radiation,global_tilted_irradiance,wind_speed_10m,precipitation
2025-05-09 06:00:00,512,19.3,1.278,239.2,413.4,0.907,1.273,238.0,412.3,1.339,237.4,411.4,1.013,0.0,676.7,89.28,10.9,16.0,36.291813,2.9024127,0.0
2025-05-09 06:05:00,512,19.7,1.682,239.2,414.5,1.118,1.684,238.0,411.2,1.729,236.4,411.4,1.242,0.0,681.0,89.45,10.966666,20.333334,51.87939,2.9024127,0.0
2025-05-09 06:10:00,512,20.3,1.832,239.2,414.5,1.32,1.854,237.8,411.3,1.907,236.7,410.7,1.446,0.35,679.2,90.75,11.033334,24.666666,67.466965,2.9024127,0.0
2025-05-09 06:15:00,512,20.8,2.43,240.4,414.4,1.636,2.406,237.8,411.4,2.457,235.5,410.6,1.779,0.42,693.0,91.81,11.1,29.0,83.05454,2.9024127,0.0
2025-05-09 06:20:00,512,21.3,2.735,240.4,414.4,1.879,2.718,238.8,412.5,2.76,235.5,411.7,2.025,0.49,695.2,92.58,11.183333,34.0,100.41053,2.7399263,0.0
2025-05-09 06:25:00,512,21.9,3.122,240.4,414.7,2.172,3.08,238.7,412.2,3.158,236.7,412.5,2.33,0.56,701.0,93.24,11.266667,39.0,117.766525,2.5774398,0.0
2025-05-09 06:30:00,512,22.4,3.811,240.4,414.2,2.691,3.784,237.7,411.9,3.864,236.9,412.5,2.868,0.68,710.1,93.83,11.35,44.0,135.12251,2.4149535,0.0
2025-05-09 06:35:00,512,23.2,5.036,239.1,414.7,3.598,5.003,238.7,411.8,5.089,236.8,411.5,3.785,0.9,713.0,94.98,11.45,48.666668,152.37115,2.4149535,0.0
2025-05-09 06:40:00,512,23.9,5.806,239.6,413.7,4.15,5.772,237.4,411.9,5.846,237.0,412.1,4.347,1.02,720.0,95.37,11.55,53.333332,169.6198,2.4149535,0.0
2025-05-09 06:45:00,512,24.5,5.935,240.6,416.0,4.273,5.933,238.4,413.6,6.025,238.6,413.4,4.486,1.07,717.0,95.35,11.65,58.0,186.86844,2.4149535,0.0
2025-05-09 06:50:00,512,25.1,6.274,239.7,414.6,4.535,6.282,238.4,413.3,6.348,238.3,413.3,4.749,1.13,717.0,95.49,11.766666,61.666668,203.8741,2.5774398,0.0
2025-05-09 06:55:00,512,25.9,7.197,239.7,415.6,5.219,7.219,239.5,412.5,7.247,237.8,413.2,5.425,1.28,722.0,96.2,11.883333,65.333336,220.87976,2.7399263,0.0
2025-05-09 07:00:00,512,26.7,7.911,239.7,416.4,5.748,7.94,238.7,414.1,7.988,238.7,413.2,5.975,1.42,717.0,96.25,12.0,69.0,237.88542,2.9024127,0.0
2025-05-09 07:05:00,512,27.6,9.154,237.6,414.2,6.629,9.185,238.7,411.6,9.231,237.0,410.6,6.863,1.61,727.8,96.59,12.133333,72.0,253.67331,3.1704173,0.0
2025-05-09 07:10:00,512,28.5,9.578,239.5,414.7,6.931,9.6,237.5,412.3,9.646,238.4,411.4,7.171,1.69,724.9,96.62,12.266666,75.0,269.46118,3.438422,0.0
2025-05-09 07:15:00,512,29.4,11.355,237.4,413.6,8.184,11.366,238.5,412.2,11.409,238.4,411.7,8.401,2.0,728.9,97.32,12.4,78.0,285.24908,3.7064266,0.0
2025-05-09 07:20:00,512,30.5,12.706,237.3,414.5,9.164,12.709,238.5,413.2,12.743,239.5,411.3,9.414,2.23,727.9,97.35,12.566667,81.0,300.25494,4.1380444,0.0
2025-05-09 07:25:00,512,31.6,11.825,237.4,413.1,8.516,11.861,238.5,410.7,11.905,239.3,410.1,8.752,2.07,728.9,97.3,12.733333,84.0,315.2608,4.569662,0.0
2025-05-09 07:30:00,512,32.4,10.003,237.4,413.5,7.221,10.018,238.5,412.5,10.077,237.8,410.6,7.477,1.77,725.0,96.61,12.9,87.0,330.26666,5.00128,0.0
2025-05-09 07:35:00,512,32.9,9.582,237.4,412.3,6.938,9.598,238.3,412.6,9.658,238.6,411.0,7.18,1.69,728.0,96.63,13.083333,91.666664,344.1723,5.3987446,0.0
2025-05-09 07:40:00,512,33.7,11.137,237.5,413.5,8.038,11.157,238.2,412.0,11.204,239.3,413.2,8.256,1.94,732.9,97.36,13.266666,96.333336,358.07797,5.7962093,0.0
2025-05-09 07:45:00,512,35.2,13.4,236.7,412.5,9.445,13.428,238.6,412.7,13.462,240.2,412.5,9.704,2.4,735.0,97.33,13.45,101.0,371.9836,6.193674,0.0
2025-05-09 07:50:00,512,36.4,29.232,239.7,418.2,20.949,29.277,240.9,416.2,29.283,241.5,416.5,21.462,5.01,757.0,97.61,13.599999,107.666664,384.11655,6.529116,0.0
2025-05-09 07:55:00,512,36.0,31.15,239.0,417.7,22.411,31.175,240.9,415.8,31.201,241.9,417.0,22.958,5.32,745.0,97.62,13.75,114.333336,396.24945,6.8645577,0.0
2025-05-09 08:00:00,512,36.8,30.624,238.2,417.6,22.045,30.639,240.3,416.7,30.688,240.9,416.7,22.558,5.25,738.9,97.73,13.9,121.0,408.3824,7.2,0.0
2025-05-09 08:05:00,512,37.9,31.803,237.0,412.9,22.785,31.845,238.1,411.7,31.848,239.4,411.9,23.307,5.46,733.0,97.76,14.033333,129.0,418.07663,7.520588,0.0
