feature,importance
pv1_u_diff_std,0.02354172510980713
pv1_u_max,0.023530276803553324
pv1_u_roll_mean_range,0.02049275936364808
pv1_u_range,0.018754056778766275
pv1_u_median,0.01781554304166262
pv1_i_diff_neg_count,0.017647533893102238
pv1_u_q75,0.016693286543010156
mppt_power_diff_neg_count,0.016670585956613523
active_power_diff_neg_count,0.015231674899005097
pv1_u_roll_vol_mean,0.015119338741670233
b_i_diff_neg_count,0.01369740013607162
c_i_roll_mean_range,0.013165968684937367
active_power_roll_corr,0.012266199712004648
c_i_diff_neg_count,0.012262941224326092
b_i_max,0.0121259314696024
a_i_range,0.011962861883520392
b_i_diff_abs_mean,0.01157554124449823
c_i_range,0.01147707946728291
a_i_diff_neg_count,0.011177555740375923
pv1_u_diff_abs_mean,0.01111994820707477
