feature,importance
pv1_u_max,0.02397626815329813
efficiency_roll_vol_mean,0.020649181249039958
pv1_u_range,0.02043618190027804
pv1_i_diff_neg_count,0.019452866660975753
pv1_u_diff_std,0.019224344833852814
pv1_u_median,0.01802907137265196
pv1_u_q75,0.017509942640115406
efficiency_diff_abs_mean,0.01635647795131611
pv1_u_diff_abs_mean,0.015808893668771695
pv1_u_roll_mean_range,0.015320516705648567
pv1_u_roll_vol_mean,0.013669321012560035
mppt_power_median,0.012622290911104842
efficiency_diff_std,0.012420984756940484
pv1_i_median,0.012363704316851824
active_power_roll_corr,0.01233767748408218
pv1_u_roll_vol_std,0.012287750826605468
efficiency_roll_vol_std,0.012188524294689024
b_i_roll_corr,0.011928033505796107
a_i_roll_corr,0.011169702931898241
c_i_diff_neg_count,0.010994073474271658
