feature,importance
pv1_u_diff_pos_count,0.048209485
pv1_u_diff_std,0.041804813
pv1_u_roll_mean_mean,0.02823568
a_i_diff_abs_mean,0.02809283
efficiency_roll_corr,0.027523383
efficiency_var,0.024136648
b_i_roll_vol_std,0.021764845
pv1_u_median,0.02086624
precipitation_std,0.02043328
precipitation_diff_std,0.0188704
pv1_u_mean,0.015678372
mppt_power_diff_std,0.013928988
pv1_u_diff_neg_count,0.012499551
pv1_i_roll_corr,0.01246265
pv1_u_q75,0.0118469475
pv1_i_roll_vol_mean,0.011522882
pv1_u_roll_mean_range,0.011358878
active_power_diff_abs_mean,0.010499857
pv1_u_roll_vol_std,0.010455385
temperature_2m_diff_std,0.010263713
